source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe
493302763869056,44.72461932608509,1.5715814331657045,10.125383843568468,0.016863588243722916,15.410731202171743,-46.32206521649402,13.411212921142578,1.9295177459716797,1.0244019031524658
517530674915456,44.529504861667704,1.8717169538707483,11.629275605061206,0.01940847374498844,25.59680432018412,5.806323079052996,12.911925315856934,1.9016923904418945,1.060305118560791
630505494719360,46.613135424105224,1.961063920576691,67.9335016849359,0.02743450365960598,389.253050210783,-925.0262599814663,8.457595825195312,1.7276906967163086,1.1065348386764526
1345596073973376,43.92072822596168,2.35364303725976,10.967883828475141,0.017335595563054085,114.38327781950477,70.9562300556234,10.624955177307129,1.0435876846313477,1.0538445711135864
1425830358705024,42.75566381518906,2.013454183290677,12.597970348051607,0.017678016796708107,-35.45529671560606,-5.134115465067503,10.961438179016113,1.2305059432983398,0.9064968228340149
5818276232395264,42.109436876128,4.8122896839697145,10.253373503002518,0.017192326486110687,15.259129859810688,-47.60864139963332,11.179966926574707,1.2219820022583008,1.1235624551773071
6803507370438528,45.59435150490446,5.405538389095466,13.872131322482465,0.01615140400826931,23.567634234653795,-23.310238142790915,13.330000877380371,2.274686813354492,1.0812586545944214
7575295813658368,47.30044816734151,7.438920983843512,12.14072136644834,0.025759341195225716,-3.422192648533877,3.8708323266919007,7.695892333984375,0.602630615234375,1.0293315649032593
11143687789164544,50.432559026607144,8.756074759555675,10.080456572830984,0.02561495453119278,-22.30407566297786,-93.13462978521738,8.808845520019531,0.8132925033569336,1.09853196144104
12086729462694912,55.37945999490662,9.826623076169305,11.245311438711148,0.01926896721124649,-21.192057903385546,-52.72427135975583,13.303299903869629,2.21694278717041,1.233816146850586
13749397200877568,48.12359540628975,8.433346706010289,11.245104610034176,0.017321649938821793,17.48631625612521,-9.312554222147812,11.53735065460205,1.3689804077148438,1.0916560888290405
14621378641166336,49.11580351070447,10.449513384650452,11.082105019687278,0.016184208914637566,22.055848511480384,-28.389826674441196,13.513528823852539,2.174192428588867,1.2000374794006348
14803828852040064,47.10899434204619,9.29744001167673,10.640392496723335,0.017384786158800125,-83.9836733530255,-104.89515920881071,13.339200973510742,2.0762720108032227,1.2496203184127808
15962198711564032,51.42561595372275,10.83297115683721,20.565668083070225,0.01801609992980957,92.8055483573451,-49.49843610589663,13.403661727905273,2.616976737976074,1.030449390411377
19139851739930752,40.782475285952174,8.334921387830436,10.102807721252317,0.017682813107967377,99.59227853330233,-32.97859105324666,13.679279327392578,2.064824104309082,1.133801817893982
19704111658844800,39.410766674068064,7.25371182830886,22.583919964299774,0.018003806471824646,-72.0117859269805,-146.98001126946127,13.881736755371094,2.5305652618408203,1.1380982398986816
19846189177062016,40.162713582230836,7.873276754818741,13.058432110920378,0.017816824838519096,156.87268976504913,-196.6015226865713,13.368767738342285,2.222806930541992,1.235168695449829
19943770833973760,39.84300932398394,8.529078921429946,12.412163150053575,0.020887816324830055,87.29547752199227,-55.86405851796741,13.616155624389648,2.322737693786621,1.0597984790802002
