source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe,distance_pc
63585036608738048,56.22036355889966,21.57101441962209,7.786119609386528,0.0626309141516685,21.318435514140948,-47.12835262252343,16.548654556274414,3.2188215255737305,1.0417203903198242,128.4336807251784
63677326867342464,58.10251694951161,21.506109143477744,7.419674106187213,0.0323374196887016,19.852902320182725,-44.94200921290559,15.199719429016112,2.598586082458496,1.069514274597168,134.77680901996857
63795593086958848,58.60906405416162,21.8923364567423,7.354076784121969,0.019178258255124,25.159106010057798,-36.87629068332017,10.016210556030272,0.8630838394165039,1.1432645320892334,135.9789990443231
63826448131945984,57.9663345193002,21.822564566552924,7.463877991507574,0.0429453775286674,20.386327802554828,-45.64281530094115,15.84136199951172,2.796046257019043,1.0005018711090088,133.97861019939012
63889085934846208,58.472251631731964,22.510271900178736,7.639202700746432,0.1408627033233642,20.753872670227032,-47.2661626127644,17.923688888549805,3.385904312133789,1.0111068487167358,130.9037132765556
64912009705490304,56.849467055307045,23.149004829363463,7.346863076857361,0.0517149232327938,19.44531824588345,-45.5403292607655,15.890426635742188,2.8284597396850586,1.099645972251892,136.11251353655993
64933759417767424,57.18418961094356,23.260465412980825,7.471546737251657,0.1682957410812378,17.13655076339148,-42.40674599011606,17.388992309570312,0.9155864715576172,1.0067896842956543,133.84109544737203
64933759417769984,57.18299036630866,23.2596150203104,7.318904571155356,0.0310114510357379,19.293731697883047,-44.88499205938077,8.336930274963379,0.3846473693847656,1.3925788402557373,136.63246873597927
64982344089813248,56.46988426929079,23.46487435939193,7.216786495064386,0.0586471669375896,20.00364146712356,-46.246385433920125,16.274539947509766,2.936716079711914,1.0719283819198608,138.56582852823863
65010239900405504,56.77834370556732,23.71495241087836,7.3503939491290735,0.0159281734377145,19.425567035566697,-44.40913844613404,11.99485969543457,1.2156610488891602,1.1385349035263062,136.04712984376667
65020414679879296,56.96895425474899,23.94102406851244,7.376293478669214,0.0204935632646083,19.684597110725647,-46.393807800230576,9.761055946350098,0.7080078125,1.3117672204971311,135.56944322942178
65136791113382912,55.70385233585675,23.580003136612984,7.410691983881695,0.094580240547657,21.67933864275433,-46.49129154083005,16.743003845214844,3.0774459838867188,1.0497592687606812,134.94016512560592
65165653294149760,56.30591985851103,23.51671671299534,7.172780984631883,0.0567894279956817,20.675289820301945,-44.85616584762688,16.157358169555664,3.204347610473633,1.0579131841659546,139.41593952785684
65200283613608704,56.61546284551448,23.812491723079685,7.3976813023598815,0.1094978377223014,19.371365646455065,-43.87192840251005,17.136478424072266,3.370454788208008,0.838110089302063,135.17749131487957
65226092073881856,56.724915748846826,24.132370680376567,7.117155933037084,0.1106125637888908,19.309047531519298,-44.32380590885371,17.303077697753906,2.82608699798584,0.9730997085571288,140.5055628131043
65241863193865856,56.05066499276738,23.876887924642983,7.423976552521405,0.0634634420275688,19.99343255069661,-45.11111429836059,16.52288055419922,2.992063522338867,1.0594522953033447,134.69870128568363
65247704349267584,56.05452292932521,24.030615863047565,7.594803806906587,0.0199916157871484,21.404856037527303,-45.88621865204381,11.16722297668457,1.0097103118896484,0.954213559627533,131.668970710029
65249250535404928,56.06105910286945,24.10191467207473,7.1375867450273605,0.0177893564105033,20.708631306878623,-43.43679844036549,10.878019332885742,1.2813434600830078,1.1756079196929932,140.10337607408886
65257187636977536,55.6716335456923,24.02839578955625,7.165841660739484,0.0917026624083519,21.0177193533052,-44.67677495515933,17.16837501525879,3.255331993103028,1.118544101715088,139.5509484222687
65283094877491200,56.48651262988783,24.368679378469437,7.309588337637114,0.1447666138410568,20.47253405385219,-44.49840350420613,17.706953048706055,2.6659107208251958,0.9898644089698792,136.8066098676165
65701527774387840,58.59373152659763,23.63651277018731,7.4050316715605184,0.0608409419655799,18.36910938785275,-45.979828036328726,16.4733943939209,2.970597267150879,1.0372041463851929,135.0433116769185
65864427293364864,58.99343210356197,24.54973327420377,7.504791433754841,0.0160977095365524,18.608912286604085,-46.92634401642668,12.307621955871582,1.328176498413086,1.0008076429367063,133.24820667263688
66517468482370176,57.07512164513408,23.89127367845793,7.295109846533388,0.0216863397508859,19.104444028563226,-45.3486188239001,13.97589874267578,1.9212398529052732,1.1090309619903564,137.0781278194456
66555573432261376,57.55368104569376,24.3516155481885,7.243086363411307,0.0292912404984235,17.833343166460896,-44.351060633719605,14.46253776550293,2.2067527770996094,1.0713759660720823,138.06269176238646
66558249192653952,57.48590927641627,24.348794070150262,7.315576014582632,0.031920026987791,19.505374073802887,-44.59959947139736,7.54600715637207,0.0898981094360351,0.8341919183731079,136.6946359393481
66639720430624640,58.009555879988575,24.36313812012763,6.613685161635862,0.0228351112455129,25.05697446311024,-46.82158724085947,14.48275089263916,1.987630844116211,1.0306270122528076,151.20163351601923
66710845088732160,56.94337881610533,24.050481718343995,7.555830848391911,0.0287088602781295,20.17273269375809,-46.51394500518607,14.752962112426758,2.3096790313720703,1.079342484474182,132.34811896468375
66728265476081408,56.73055847874693,24.187798191519004,7.225399757694413,0.1479813456535339,20.39259051535456,-44.02063830180597,17.192359924316406,3.579869270324707,1.047638773918152,138.40064682027983
66729261908482048,56.791988143840086,24.276453622807093,7.357064223916837,0.0206063594669103,19.959460137901697,-44.498036812412536,9.376593589782717,0.6450881958007812,1.0107601881027222,135.92378285201494
66732423004453376,56.72344711251792,24.28729417689776,7.368695724018906,0.0365700386464595,19.249077626062416,-47.50404014517325,14.97303295135498,2.7211971282958984,1.010996699333191,135.70922690435063
66800592725851776,56.54907922003248,24.622119094596144,7.550076412992421,0.020766420289874,21.19521619118576,-44.69592411866067,11.405896186828612,1.0540122985839844,1.2001574039459229,132.4489906193753
66801623517295104,56.53633699233952,24.675721556933823,7.373604115597466,0.0857917815446853,20.873189844183816,-45.69153438245064,16.680500030517578,2.9957475662231445,0.9929430484771729,135.61888925996027
66951466337428480,57.21790500711882,25.375515207081115,6.659725300304907,0.0789887532591819,17.51634670364892,-40.92145648568612,17.001445770263672,3.18020248413086,1.0323985815048218,150.15634352879633
66969676998824576,57.77650195986893,25.594492433140854,7.309821489243173,0.0188442394137382,20.12835332681689,-45.27003628820477,9.013484954833984,0.6151847839355469,0.8951205611228943,136.80224633003118
67278158729741696,58.24497934067102,25.43848141011749,7.570511532362098,0.116718553006649,18.051648108880084,-46.65833667184357,17.481782913208008,3.057626724243164,1.0004035234451294,132.0914704013385
67988615037924096,53.64827525953711,23.64528208335387,7.505259297500794,0.1862802952528,20.42959099455326,-45.12786062673306,17.90098762512207,3.405130386352539,1.074282169342041,133.23990023009517
68223017172733056,54.84202762101422,24.044107991649803,8.039909407999385,0.1196601688861846,12.213828517013226,-31.67512362213961,17.339990615844727,3.1221179962158203,1.0052846670150757,124.37951091899623
63502259702709888,56.38338265127784,21.246480352393984,7.7480712178475075,0.029144812375307,20.65280679243452,-47.762058421602056,7.72831916809082,0.2420687675476074,1.0431212186813354,129.06437897686362
63953819680971008,57.07348073664716,22.066808749749143,7.598022917417946,0.0546575151383876,20.28401711880765,-45.30198551821394,16.48320198059082,2.961862564086914,0.9693371057510376,131.61318554430372
64644484781444864,55.33339566545284,22.631451536825736,7.011106189930256,0.0475435480475425,18.66745548131216,-42.98995068857028,15.709704399108888,2.699822425842285,1.0174055099487305,142.63084496370288
64843805623922688,55.85491728898192,22.895492287024965,7.5264024127197535,0.0735199078917503,20.22244223371612,-46.15960948932732,16.93433380126953,3.104941368103028,0.9773953557014464,132.8656036660998
64864593265614464,56.15749648469315,22.92084569104336,7.194518033619004,0.0333538837730884,20.301380268297027,-41.24391102884243,14.60241413116455,2.368351936340332,1.372379183769226,138.9947172732261
64913452814489216,56.95058643018479,23.21788377589549,7.411184638689342,0.0204580686986446,20.05366161056612,-45.84753613421944,10.945833206176758,0.9447975158691406,0.9087655544281006,134.9311950453374
64966916567283456,56.730541115448666,23.38021298877048,7.294694239567216,0.1192215159535408,18.858429537627444,-45.66888505121055,17.453899383544922,3.198993682861328,1.056134581565857,137.0859376909715
64974574492213248,56.42870174000814,23.336589161292384,7.492486097833367,0.0977831035852432,21.406088529779183,-45.052319844566526,17.36367416381836,3.247478485107422,0.9524142146110536,133.46704777859702
64981863053470592,56.59367990042645,23.485427897777026,7.150415256448715,0.0872635394334793,19.859186488699244,-44.830015852542616,17.219703674316406,3.3249387741088867,0.9135020971298218,139.85201755913883
65012408860856832,56.93613786706123,23.700704540102134,7.252925571892042,0.0770036280155181,20.328177414703305,-45.2162921326636,16.648164749145508,3.0387678146362305,0.9428905248641968,137.87539801530517
65019246448775424,57.02449569519243,23.883443039373205,7.392645465941637,0.1058520674705505,20.181137542829056,-43.46642919787849,17.37894058227539,3.1116485595703125,1.0650707483291626,135.26957360623612
65190220507070208,56.373319246952896,23.760302335308378,7.399616619911859,0.0153524130582809,19.06502132392825,-45.755836459670746,12.855756759643556,1.5521526336669922,1.0100722312927246,135.1421365951675
