source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe,distance_pc,M_G
47760521664503296,65.11560537190881,18.89705576636259,19.67296483860973,0.0223422665148973,104.71947674211428,-32.569704428144654,13.98825740814209,2.788179397583008,1.2785263061523438,50.831179143746645,10.457606486848434
50298125783225088,61.35753568748664,19.44200665087869,21.198268225584627,0.0231468714773654,122.02644919286638,-32.58516730288186,10.836195945739746,1.6597318649291992,1.3560333251953125,47.17366481819866,7.4676978610455915
3287450745264292864,66.40562804145627,8.591355844852567,22.61907055195553,0.0664094761013984,112.61499000772233,0.2689988257774989,15.941397666931152,3.769034385681152,1.1410502195358276,44.210481491846494,12.71377144298838
3300059394856687488,63.95086454934791,8.966106240287248,24.769914260658656,0.0226520784199237,131.94057322100932,-3.007024120871176,13.599587440490724,2.8209123611450195,1.340863823890686,40.371556779599814,10.569209957031683
3307782570688378496,67.65616639413629,13.72431676410995,21.491451797641616,0.0737484544515609,106.56507793489249,-19.248993711890343,5.34058141708374,0.3679499626159668,0.9745147228240968,46.530127858078714,2.0019101875162892
3308433069254919424,70.55226837461355,14.147501012619594,20.093219300579644,0.0321632027626037,88.04415314083236,-21.27923758759796,15.006905555725098,3.0558996200561523,1.1021504402160645,49.7680329389105,11.52215317686525
3312602348628348032,68.63451075082207,15.827466076708385,19.196267295270147,0.0249682683497667,90.27940471974104,-20.41792654543152,9.41629123687744,1.085057258605957,1.1803109645843506,52.09346091187189,5.83237517970068
3312644885984344704,68.24817726690902,15.818854771000632,21.35731378098158,0.019992783665657,100.37574321605688,-25.47369149898669,8.475605010986328,0.9044513702392578,0.9613800048828124,46.822367749753596,5.123338152708277
3312908906213736320,66.92021718932686,16.248607862645795,18.8055441535833,0.0242353305220603,92.26337778265044,-21.21159228544068,14.299376487731934,2.805253028869629,1.2251561880111694,53.17580772101483,10.670806010738168
3314213025787054592,67.38219601870492,17.89303687476587,22.00647700341757,0.0166128706187009,107.65175197214356,-32.96408044400983,8.74072551727295,0.9833555221557616,0.9210177063941956,45.441167154774554,5.453478128849648
3392664627834274688,74.49115621734242,14.45189798785836,20.61019442733577,0.0270991008728742,78.78936510641863,-24.47312983808204,14.371617317199709,2.9334373474121094,1.1845626831054688,48.51967813916773,10.94202776088975
3405297324946333440,74.79342198610871,16.07151210536761,20.749106987616347,0.0242170859128236,72.59468477969725,-41.05373800285782,9.731514930725098,1.2043170928955078,1.1239222288131714,48.19484523342755,6.316511980858136
3406943091991364608,73.09841989086748,18.996750859145006,19.71679403643101,0.016131667420268,79.16550244704479,-35.23325178709539,9.937406539916992,1.271183967590332,0.951793134212494,50.718184617249904,6.4115880388156405
45770783575075968,63.89569436950035,16.762287744082474,20.881553135526133,0.0212718248367309,111.02996428477658,-23.49033945351936,13.976099967956545,2.739720344543457,1.1216771602630615,47.88915812486589,10.574913956155381
46458115782368384,59.813208220111264,16.66430695266399,23.772311569431768,0.027816055342555,140.91602205947726,-26.36458631822669,14.316654205322266,3.001826286315918,1.3792961835861206,42.06574514553627,11.197011273626297
