file,group_id,x_guess,y_guess,x_centroid,y_centroid
hd21p11.fits,1,102,133,102.02892824215272,132.71960703911844
hd21p12.fits,1,102,133,102.05368936097605,132.7870883139277
hd21p13.fits,1,102,133,101.96495497019015,132.96596500128078
hd21p14.fits,1,102,133,101.88612816118294,133.03154329182556
hd21p15.fits,1,102,133,101.80551151124713,133.05377647325014
