DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,residual_M,mu_tf,d_tf_mpc,d_catalog_mpc
*,2,UGC12889,52,4,5004,437,16,15.713,0.185,,,11.86,,,0.51,,,,,0.01,0.0,1.06,0.51,0.05,0,5,0,0,LEDA       2,LEDA,0.00684,47.2746,ivo://CDS.VizieR/J/ApJ/902/145:table1:1,5296,4726,1.013,34.24,0.29,,,,,,,,,,34.24,0.29,0.48,2.640481436970422,-22.380000000000003,-21.895228022706977,-0.48477197729302546,33.75522802270697,56.369684558662414,70.46930689671474
*,4,PGC000004,85,2,4458,154,5,16.688,0.076,17.57,15.91,16.06,0.25,0.21,0.27,0.81,0.12,0.36,0.06,0.01,0.0,0.79,0.34,0.01,5,4,1,1,LEDA       4,LEDA,0.01462,23.08753,ivo://CDS.VizieR/J/ApJ/902/145:table1:2,4706,4109,1.011,33.29,0.17,33.31,0.16,0.56,33.29,0.17,0.6,33.28,0.17,0.59,33.26,0.17,0.66,2.187520720836463,-17.23,-18.05185635133688,0.82185635133688,34.11185635133688,66.43107346041863,45.498806015004845
*,12,PGC000012,82,3,6548,400,19,16.071,0.185,,,13.6,,,0.25,,,,,0.05,0.01,1.24,0.71,0.07,0,5,0,1,LEDA      12,LEDA,0.03605,-6.374,ivo://CDS.VizieR/J/ApJ/902/145:table1:3,6685,6195,1.016,35.03,0.22,,,,,,,,,,35.03,0.22,0.48,2.6020599913279625,-21.43,-21.569222056857075,0.13922205685707567,35.16922205685707,108.10465904261666,101.39113857366799
*,16,PGC000016,65,4,5667,297,14,17.207,0.185,16.08,14.21,13.98,0.22,0.19,0.21,0.46,0.08,0.26,0.05,0.03,0.0,1.23,0.7,0.07,5,5,0,1,LEDA      16,LEDA,0.04699,-5.15886,ivo://CDS.VizieR/J/ApJ/902/145:table1:4,5809,5312,1.014,34.7,0.24,34.7,0.23,0.39,34.7,0.24,0.4,34.69,0.24,0.4,34.71,0.25,0.53,2.4727564493172123,-20.720000000000002,-20.472081504330752,-0.24791849566924995,34.45208150433075,77.69915591481058,87.09635899560818
*,55,UGC12898,80,3,4779,179,10,15.757,0.076,16.82,15.71,16.18,0.28,0.23,0.22,0.59,0.1,0.26,0.04,0.01,0.0,0.78,0.34,0.01,5,4,0,1,LEDA      55,LEDA,0.156,33.60058,ivo://CDS.VizieR/J/ApJ/902/145:table1:5,5052,4454,1.012,34.0,0.24,34.0,0.23,0.56,34.0,0.24,0.59,34.01,0.24,0.59,34.09,0.25,0.65,2.2528530309798933,-17.82,-18.60620100217889,0.7862010021788883,34.786201002178885,90.6233683801897,63.09573444801933
*,68,ESO538-017,57,4,7664,206,18,16.883,0.185,16.31,14.86,14.99,0.16,0.16,0.19,0.31,0.05,0.18,0.03,0.01,0.0,1.16,0.66,0.06,5,5,0,1,LEDA      68,LEDA,0.23072,-18.95911,ivo://CDS.VizieR/J/ApJ/902/145:table1:6,7740,7338,1.019,34.81,0.37,34.8,0.36,0.52,34.82,0.37,0.52,34.81,0.38,0.52,34.72,0.41,0.61,2.3138672203691533,-19.82,-19.12390639846968,-0.6960936015303218,34.11390639846968,66.49381942811075,91.62204901220007
*,76,UGC12901,68,4,6920,390,5,15.778,0.076,15.83,13.65,13.21,0.34,0.27,0.3,0.53,0.09,0.3,0.05,0.02,0.0,1.24,0.71,0.07,5,5,2,1,LEDA      76,LEDA,0.24556,28.91171,ivo://CDS.VizieR/J/ApJ/902/145:table1:8,7183,6583,1.017,34.73,0.16,34.73,0.16,0.35,34.73,0.16,0.39,34.74,0.16,0.4,34.77,0.15,0.48,2.591064607026499,-21.519999999999996,-21.475926221181176,-0.04407377881882013,34.68592622118118,86.53369414213613,88.30799004185613
*,102,IC5376,82,3,5048,427,7,15.411,0.076,15.81,13.45,12.85,0.43,0.33,0.33,1.04,0.19,0.61,0.11,0.04,0.01,1.24,0.71,0.07,5,5,1,1,LEDA     102,LEDA,0.33238,34.52568,ivo://CDS.VizieR/J/ApJ/902/145:table1:12,5323,4726,1.013,34.2,0.13,34.19,0.13,0.35,34.2,0.13,0.39,34.2,0.13,0.4,34.41,0.11,0.48,2.630427875025024,-21.35,-21.809923549711844,0.45992354971184213,34.65992354971184,85.50366093726193,69.18309709189373
*,124,UGC12913,86,2,6350,252,6,15.782,0.076,17.23,15.26,15.18,0.29,0.31,0.32,0.98,0.16,0.48,0.08,0.01,0.0,0.88,0.42,0.02,5,5,1,1,LEDA     124,LEDA,0.4029,3.50559,ivo://CDS.VizieR/J/ApJ/902/145:table1:13,6529,5988,1.016,34.49,0.14,34.49,0.14,0.51,34.49,0.14,0.51,34.49,0.14,0.51,34.54,0.13,0.61,2.401400540781544,-19.310000000000002,-19.86662662119745,0.5566266211974487,35.04662662119745,102.17045424535024,79.06786279998258
*,146,UGC12916,50,4,6360,162,5,16.716,0.076,16.8,15.22,15.43,0.24,0.21,0.24,0.19,0.04,0.1,0.02,0.0,0.0,0.99,0.52,0.03,4,4,1,1,LEDA     146,LEDA,0.51367,17.57389,ivo://CDS.VizieR/J/ApJ/902/145:table1:15,6590,6004,1.016,34.39,0.27,34.4,0.26,0.55,34.38,0.27,0.57,34.38,0.27,0.56,34.24,0.29,0.64,2.2095150145426308,-18.96,-18.238477933189642,-0.7215220668103584,33.66847793318964,54.16211146756822,75.50922276654342
*,155,PGC000155,71,3,7943,212,20,17.599,0.076,16.92,15.28,15.01,0.12,0.12,0.16,0.59,0.08,0.34,0.05,0.03,0.0,1.2,0.69,0.06,5,5,0,1,LEDA     155,LEDA,0.5164,12.53101,ivo://CDS.VizieR/J/ApJ/902/145:table1:16,8156,7582,1.02,34.51,0.37,34.52,0.35,0.54,34.52,0.37,0.55,34.5,0.37,0.55,34.34,0.4,0.63,2.326335860928751,-19.5,-19.229702813479502,-0.27029718652049795,34.239702813479504,70.45966316603656,79.7994687267976
*,165,UGC12920,82,3,7620,275,5,16.215,0.076,16.67,15.06,14.78,0.31,0.27,0.21,0.96,0.17,0.54,0.1,0.04,0.0,1.13,0.64,0.05,4,4,2,1,LEDA     165,LEDA,0.59628,27.21072,ivo://CDS.VizieR/J/ApJ/902/145:table1:17,7878,7280,1.019,34.69,0.13,34.69,0.13,0.48,34.69,0.13,0.48,34.69,0.13,0.47,34.72,0.12,0.58,2.439332693830263,-19.909999999999997,-20.188480939394893,0.27848093939489615,34.968480939394894,98.55897718747255,86.69618757582157
*,171,UGC12921,53,4,2449,233,10,15.232,0.217,,,13.08,,,0.43,,,,,0.02,0.0,1.21,0.7,0.06,0,5,0,0,LEDA     171,LEDA,0.58764,77.25698,ivo://CDS.VizieR/J/ApJ/902/145:table1:18,2725,2326,1.006,33.29,0.29,,,,,,,,,,33.29,0.29,0.57,2.367355921026019,-20.21,-19.577758022949617,-0.6322419770503842,32.657758022949615,34.00569103120457,45.498806015004845
*,176,PGC000176,54,4,6465,349,14,16.079,0.076,15.29,13.54,13.19,0.31,0.27,0.26,0.27,0.05,0.15,0.03,0.01,0.0,1.2,0.65,0.06,5,5,0,1,LEDA     176,LEDA,0.64511,-3.71062,ivo://CDS.VizieR/J/ApJ/902/145:table1:19,6612,6109,1.016,34.97,0.26,34.96,0.25,0.35,34.98,0.26,0.39,34.98,0.26,0.4,34.94,0.28,0.48,2.5428254269591797,-21.78,-21.066616778845283,-0.713383221154718,34.256616778845284,71.01062837819077,98.627948563121
*,179,PGC000179,85,2,5537,289,20,17.086,0.076,16.74,14.5,13.84,0.26,0.21,0.24,1.27,0.19,0.74,0.11,0.05,0.0,1.23,0.71,0.07,5,5,0,1,LEDA     179,LEDA,0.66633,8.73704,ivo://CDS.VizieR/J/ApJ/902/145:table1:20,5736,5175,1.014,34.04,0.27,34.04,0.26,0.46,34.05,0.27,0.46,34.04,0.28,0.45,34.07,0.3,0.57,2.4608978427565478,-20.2,-20.37146122779511,0.17146122779510975,34.21146122779511,69.54921709349908,64.26877173170195
*,181,ESO012-014,85,7,1960,95,13,13.967,0.185,,,14.79,,,0.9,,,,,0.03,0.01,0.84,0.38,0.04,0,4,0,1,LEDA     181,LEDA,0.68417,-80.34639,ivo://CDS.VizieR/J/ApJ/902/145:table1:21,1745,1944,1.005,30.42,0.58,,,,,,,,,,30.42,0.58,0.66,1.9777236052888478,-15.630000000000003,-16.271727828243503,0.6417278282434999,31.0617278282435,16.305929701388635,12.13388850464978
*,186,UGC00003,67,4,7894,473,5,15.365,0.076,15.98,13.52,13.1,0.3,0.27,0.27,0.5,0.09,0.29,0.05,0.02,0.0,1.23,0.69,0.07,5,5,1,1,LEDA     186,LEDA,0.6932,18.88615,ivo://CDS.VizieR/J/ApJ/902/145:table1:23,8128,7539,1.02,35.16,0.16,35.16,0.16,0.35,35.16,0.16,0.39,35.16,0.16,0.4,35.29,0.16,0.48,2.6748611407378116,-22.059999999999995,-22.186939808791763,0.12693980879176792,35.286939808791765,114.12688448579667,107.64652136298328
*,201,UGC00004,55,4,8629,302,19,17.044,0.076,16.07,14.25,13.99,0.19,0.18,0.2,0.29,0.05,0.17,0.03,0.02,0.0,1.22,0.69,0.07,5,5,0,1,LEDA     201,LEDA,0.73754,4.20873,ivo://CDS.VizieR/J/ApJ/902/145:table1:24,8810,8267,1.022,35.3,0.31,35.3,0.3,0.35,35.31,0.31,0.39,35.29,0.31,0.4,35.32,0.34,0.49,2.4800069429571505,-21.309999999999995,-20.533601942785168,-0.776398057214827,34.52360194278517,80.30089551545454,114.81536214968817
*,205,UGC00005,64,4,7267,447,20,15.628,0.076,15.1,13.08,12.61,0.33,0.32,0.3,0.41,0.07,0.21,0.04,0.02,0.0,1.15,0.61,0.06,5,5,0,1,LEDA     205,LEDA,0.77355,-1.91386,ivo://CDS.VizieR/J/ApJ/902/145:table1:25,7422,6910,1.018,34.72,0.23,34.71,0.23,0.35,34.73,0.23,0.39,34.73,0.24,0.4,34.73,0.25,0.48,2.6503075231319366,-22.11,-21.978602363678387,-0.13139763632161205,34.58860236367839,82.74094423570756,87.90225168308838
*,212,IC5381,80,3,11230,677,11,15.991,0.076,16.16,13.7,13.04,0.28,0.2,0.25,0.86,0.14,0.45,0.08,0.04,0.01,1.15,0.6,0.06,5,5,2,1,LEDA     212,LEDA,0.79693,15.96572,ivo://CDS.VizieR/J/ApJ/902/145:table1:26,11455,10872,1.029,35.77,0.14,35.8,0.14,0.35,35.76,0.14,0.39,35.75,0.14,0.4,35.95,0.13,0.48,2.8305886686851442,-22.730000000000004,-23.50828788169676,0.7782878816967553,36.54828788169676,204.01287512280754,142.56075936021907
*,216,PGC000216,64,4,7989,269,7,15.671,0.076,15.87,14.03,13.57,0.23,0.2,0.2,0.44,0.08,0.25,0.04,0.03,0.0,1.23,0.71,0.07,5,5,1,1,LEDA     216,LEDA,0.82176,3.62199,ivo://CDS.VizieR/J/ApJ/902/145:table1:27,8168,7628,1.02,34.16,0.19,34.17,0.19,0.44,34.17,0.19,0.45,34.15,0.2,0.44,33.87,0.2,0.56,2.429752280002408,-20.589999999999996,-20.10719112817186,-0.48280887182813714,33.677191128171856,54.37987758822452,67.92036326171836
*,250,UGC00014,61,5,7265,343,5,15.295,0.076,15.19,13.32,12.87,0.35,0.36,0.37,0.39,0.08,0.22,0.05,0.02,0.0,1.24,0.71,0.07,5,5,1,1,LEDA     250,LEDA,0.89592,23.20075,ivo://CDS.VizieR/J/ApJ/902/145:table1:31,7512,6917,1.018,34.2,0.21,34.19,0.21,0.35,34.21,0.21,0.39,34.21,0.22,0.4,34.19,0.23,0.48,2.5352941200427703,-21.330000000000005,-21.002713639743128,-0.32728636025687763,33.872713639743125,59.50352962706972,69.18309709189373
*,259,PGC000259,63,4,6407,243,9,16.411,0.076,16.39,14.88,14.73,0.12,0.11,0.16,0.41,0.07,0.23,0.04,0.02,0.0,1.19,0.68,0.06,5,5,1,1,LEDA     259,LEDA,0.93468,16.1869,ivo://CDS.VizieR/J/ApJ/902/145:table1:34,6632,6050,1.016,34.82,0.21,34.83,0.21,0.48,34.82,0.21,0.49,34.82,0.22,0.48,34.68,0.22,0.59,2.385606273598312,-20.09,-19.732612264323,-0.3573877356770012,34.462612264323,78.07688045538288,92.04495717531712
*,279,NGC7817,81,3,2311,404,5,14.339,0.076,13.98,11.61,10.79,0.79,0.75,0.58,0.92,0.16,0.49,0.09,0.04,0.01,1.16,0.61,0.06,5,5,1,1,LEDA     279,LEDA,0.99541,20.75234,ivo://CDS.VizieR/J/ApJ/902/145:table1:35,2550,1959,1.005,32.18,0.12,32.18,0.12,0.35,32.19,0.12,0.39,32.18,0.13,0.4,32.12,0.11,0.48,2.606381365110605,-21.39,-21.605888913354843,0.21588891335484206,32.39588891335484,30.14239679999808,27.289777828080403
*,293,PGC000293,74,3,7292,401,20,16.52,0.185,,,13.66,,,0.18,,,,,0.04,0.0,1.21,0.67,0.07,0,5,0,0,LEDA     293,LEDA,1.05026,-14.52364,ivo://CDS.VizieR/J/ApJ/902/145:table1:36,7388,6956,1.018,35.28,0.23,,,,,,,,,,35.28,0.23,0.48,2.603144372620182,-21.62,-21.578423032109527,-0.04157696789047449,35.23842303210952,111.60524531804617,113.7627285823431
*,298,UGC00024,53,4,4452,173,5,15.719,0.076,16.0,14.51,14.49,0.31,0.28,0.37,0.22,0.04,0.12,0.02,0.01,0.0,1.03,0.55,0.04,4,4,1,1,LEDA     298,LEDA,1.06196,22.58806,ivo://CDS.VizieR/J/ApJ/902/145:table1:37,4697,4103,1.011,33.75,0.24,33.74,0.24,0.55,33.75,0.24,0.56,33.75,0.25,0.56,33.32,0.26,0.64,2.2380461031287955,-19.259999999999998,-18.480564219526638,-0.77943578047336,32.970564219526636,39.27469706465177,56.23413251903491
*,303,NGC7819,52,4,4974,239,5,14.894,0.076,14.91,13.3,13.14,0.44,0.4,0.36,0.25,0.05,0.15,0.03,0.02,0.0,1.21,0.7,0.06,5,5,2,1,LEDA     303,LEDA,1.10206,31.47203,ivo://CDS.VizieR/J/ApJ/902/145:table1:39,5241,4645,1.012,33.63,0.24,33.62,0.23,0.43,33.63,0.24,0.44,33.63,0.24,0.43,33.48,0.26,0.56,2.3783979009481375,-20.490000000000002,-19.671449222466258,-0.8185507775337442,32.81144922246626,36.49974619001855,53.210825926679476
*,305,UGC00027,65,4,3121,213,5,14.74,0.076,15.34,13.74,13.95,0.49,0.45,0.43,0.36,0.06,0.19,0.03,0.01,0.0,0.97,0.5,0.03,5,5,1,1,LEDA     305,LEDA,1.12008,5.84719,ivo://CDS.VizieR/J/ApJ/902/145:table1:40,3308,2760,1.007,33.03,0.18,33.03,0.18,0.53,33.03,0.18,0.54,33.03,0.19,0.53,33.01,0.19,0.62,2.3283796034387376,-19.080000000000002,-19.247043968654058,0.16704396865405613,33.19704396865406,43.59220063208022,40.364539296760526
*,312,PGC000312,68,4,3810,301,14,14.708,0.185,14.3,12.76,12.66,0.52,0.43,0.39,0.51,0.09,0.3,0.05,0.02,0.0,1.22,0.7,0.06,5,5,0,1,LEDA     312,LEDA,1.27235,-7.09342,ivo://CDS.VizieR/J/ApJ/902/145:table1:42,3941,3460,1.009,33.22,0.23,33.2,0.22,0.4,33.22,0.23,0.4,33.23,0.23,0.4,33.23,0.24,0.54,2.4785664955938436,-20.56,-20.521379746923493,-0.038620253076505406,33.1813797469235,43.27887363273377,44.0554863506553
*,329,PGC000329,69,3,7180,274,13,15.014,0.185,15.57,14.13,13.81,0.2,0.19,0.2,0.53,0.07,0.31,0.04,0.03,0.0,1.2,0.69,0.06,5,5,0,0,LEDA     329,LEDA,1.19674,-1.57025,ivo://CDS.VizieR/J/ApJ/902/145:table1:43,7336,6823,1.018,34.3,0.22,34.29,0.21,0.45,34.3,0.22,0.45,34.31,0.22,0.44,34.03,0.23,0.57,2.437750562820388,-20.489999999999995,-20.175056557793663,-0.3149434422063315,33.98505655779366,62.66301855608918,72.44359600749891
*,354,NGC7824,56,4,6154,472,18,16.587,0.076,15.11,12.59,12.15,0.32,0.24,0.25,0.18,0.04,0.04,0.02,0.0,0.0,0.74,0.18,0.0,5,5,1,1,LEDA     354,LEDA,1.276,6.92014,ivo://CDS.VizieR/J/ApJ/902/145:table1:45,6345,5793,1.015,34.35,0.25,34.36,0.24,0.35,34.36,0.25,0.39,34.34,0.25,0.4,34.56,0.27,0.48,2.673941998634088,-22.200000000000003,-22.17914088805187,-0.020859111948134057,34.32914088805187,73.42233257468222,74.1310241300918
*,367,NGC7821,71,3,7423,510,12,15.837,0.185,,,12.49,,,0.24,,,,,0.02,0.0,1.02,0.47,0.04,0,5,0,1,LEDA     367,LEDA,1.3196,-16.47691,ivo://CDS.VizieR/J/ApJ/902/145:table1:48,7509,7092,1.019,34.76,0.15,,,,,,,,,,34.76,0.15,0.48,2.7075701760979363,-22.269999999999996,-22.464475973459447,0.19447597345945056,34.954475973459445,97.92536403286162,89.53647655495928
*,393,UGC00039,64,4,9523,501,17,15.974,0.185,,,13.12,,,0.27,,,,,0.02,0.0,1.19,0.65,0.06,0,5,0,1,LEDA     393,LEDA,1.39296,53.63135,ivo://CDS.VizieR/J/ApJ/902/145:table1:49,9817,9274,1.024,35.6,0.22,,,,,,,,,,35.6,0.22,0.48,2.699837725867246,-22.480000000000004,-22.398866133337847,-0.0811338666621566,35.518866133337845,126.99108291994251,131.82567385564073
*,415,UGC00040,58,4,7532,382,5,16.432,0.076,16.31,13.86,13.34,0.26,0.21,0.21,0.33,0.06,0.17,0.03,0.01,0.0,1.18,0.63,0.06,5,5,2,1,LEDA     415,LEDA,1.45162,27.44937,ivo://CDS.VizieR/J/ApJ/902/145:table1:50,7789,7193,1.019,35.14,0.2,35.16,0.19,0.35,35.15,0.2,0.39,35.13,0.2,0.4,35.18,0.21,0.48,2.582063362911709,-21.8,-21.39955066496707,-0.40044933503293123,34.73955066496707,88.69724550038435,106.65961212302578
*,431,UGC00041,76,3,6615,244,5,15.936,0.076,16.66,15.18,15.18,0.28,0.22,0.24,0.6,0.09,0.31,0.05,0.02,0.0,0.98,0.51,0.03,5,5,1,1,LEDA     431,LEDA,1.48384,22.49259,ivo://CDS.VizieR/J/ApJ/902/145:table1:51,6859,6267,1.017,34.58,0.14,34.58,0.14,0.51,34.58,0.14,0.52,34.57,0.14,0.51,34.62,0.13,0.61,2.387389826338729,-19.4,-19.747745709305644,0.3477457093056451,34.92774570930564,96.72731706255081,82.41381150130017
*,448,ESO409-018,69,3,9048,340,19,16.594,0.185,,,14.18,,,0.22,,,,,0.03,0.0,1.23,0.71,0.07,0,5,0,0,LEDA     448,LEDA,1.51699,-30.62872,ivo://CDS.VizieR/J/ApJ/902/145:table1:52,9062,8763,1.023,35.36,0.26,,,,,,,,,,35.36,0.26,0.5,2.531478917042255,-21.18,-20.97034164232609,-0.20965835767390928,35.15034164232609,107.16879028884813,118.03206356517298
*,461,UGC00045,71,3,5493,279,19,16.997,0.185,,,13.97,,,0.28,,,,,0.03,0.0,1.23,0.71,0.07,0,4,0,0,LEDA     461,LEDA,1.55557,54.53195,ivo://CDS.VizieR/J/ApJ/902/145:table1:54,5787,5249,1.014,34.3,0.3,,,,,,,,,,34.3,0.3,0.57,2.4456042032735974,-20.33,-20.241694696951992,-0.08830530304800632,34.211694696951994,69.55669518529601,72.44359600749891
*,462,ESO472-014,81,3,8119,355,20,17.158,0.185,,,13.44,,,0.19,,,,,0.04,0.01,1.17,0.62,0.06,0,5,0,0,LEDA     462,LEDA,1.55212,-22.85248,ivo://CDS.VizieR/J/ApJ/902/145:table1:55,8173,7807,1.021,34.52,0.25,,,,,,,,,,34.52,0.25,0.5,2.550228353055094,-21.080000000000005,-21.12943060668697,0.04943060668696475,34.56943060668697,82.01364637944903,80.16780633876802
*,465,PGC000465,65,4,11538,421,19,17.166,0.076,16.55,14.41,13.94,0.25,0.2,0.22,0.45,0.08,0.25,0.04,0.02,0.0,1.21,0.67,0.07,5,5,1,1,LEDA     465,LEDA,1.55938,8.88772,ivo://CDS.VizieR/J/ApJ/902/145:table1:56,11736,11177,1.029,35.87,0.23,35.87,0.22,0.35,35.87,0.23,0.39,35.87,0.23,0.4,36.01,0.25,0.48,2.6242820958356683,-21.93,-21.75777661335836,-0.17222338664164027,35.69777661335836,137.8971602298007,149.27944095789942
*,507,UGC00050,74,3,7559,392,11,16.231,0.076,16.37,14.13,13.44,0.22,0.2,0.21,0.68,0.1,0.38,0.05,0.03,0.0,1.22,0.68,0.07,4,5,2,1,LEDA     507,LEDA,1.66723,26.15438,ivo://CDS.VizieR/J/ApJ/902/145:table1:58,7812,7218,1.019,35.06,0.16,35.06,0.16,0.35,35.06,0.16,0.39,35.05,0.17,0.4,34.92,0.16,0.48,2.593286067020457,-21.620000000000005,-21.49477530920526,-0.12522469079474519,34.93477530920526,97.04095499556932,102.80162981264746
*,511,UGC00051,57,4,5370,274,10,16.51,0.076,15.78,13.84,13.67,0.22,0.19,0.2,0.33,0.06,0.19,0.03,0.02,0.0,1.23,0.7,0.07,5,5,1,1,LEDA     511,LEDA,1.66827,5.1135,ivo://CDS.VizieR/J/ApJ/902/145:table1:59,5553,5010,1.013,34.38,0.24,34.37,0.23,0.39,34.38,0.24,0.4,34.37,0.24,0.4,34.39,0.25,0.54,2.437750562820388,-20.71,-20.175056557793663,-0.5349434422063375,33.84505655779366,58.75046543748061,75.16228940182064
*,558,ESO538-022,86,2,10154,505,20,16.29,0.185,,,13.54,,,0.33,,,,,0.06,0.0,1.23,0.71,0.07,0,5,0,1,LEDA     558,LEDA,1.79266,-21.7866,ivo://CDS.VizieR/J/ApJ/902/145:table1:61,10213,9839,1.026,35.72,0.19,,,,,,,,,,35.72,0.19,0.48,2.7032913781186614,-22.18,-22.428170372652783,0.2481703726527833,35.96817037265278,156.1831128957269,139.3156802945302
*,559,PGC000559,78,3,5411,197,5,16.394,0.076,16.56,15.5,15.68,0.21,0.21,0.23,0.63,0.1,0.32,0.05,0.02,0.0,0.94,0.47,0.03,5,5,1,1,LEDA     559,LEDA,1.79917,13.76639,ivo://CDS.VizieR/J/ApJ/902/145:table1:62,5626,5053,1.013,34.06,0.15,34.06,0.15,0.56,34.06,0.15,0.58,34.05,0.15,0.57,34.11,0.15,0.64,2.294466226161593,-18.380000000000003,-18.959288962833824,0.5792889628338216,34.639288962833824,84.69500394156096,64.86344335482391
*,567,NGC0002,60,4,7547,375,5,16.582,0.076,15.82,13.86,13.42,0.24,0.22,0.21,0.36,0.06,0.19,0.03,0.01,0.0,1.18,0.64,0.06,5,5,0,1,LEDA     567,LEDA,1.82131,27.67834,ivo://CDS.VizieR/J/ApJ/902/145:table1:63,7804,7209,1.019,35.11,0.19,35.11,0.19,0.35,35.11,0.19,0.39,35.11,0.19,0.4,35.13,0.2,0.48,2.574031267727719,-21.689999999999998,-21.331398337420044,-0.35860166257995374,34.75139833742004,89.18250512980924,105.19618738232224
*,569,NGC7831,81,3,5087,465,5,15.461,0.076,15.06,13.01,12.32,0.45,0.38,0.39,0.98,0.17,0.56,0.1,0.05,0.01,1.23,0.69,0.07,5,5,1,1,LEDA     569,LEDA,1.83157,32.60922,ivo://CDS.VizieR/J/ApJ/902/145:table1:64,5355,4761,1.013,34.07,0.12,34.06,0.12,0.35,34.07,0.12,0.39,34.07,0.12,0.4,34.14,0.11,0.48,2.667452952889954,-21.75,-22.1240813349849,0.3740813349849006,34.4440813349849,77.41342226145896,65.16283940608427
*,613,UGC00066,57,4,6434,369,6,16.399,0.076,15.82,13.5,12.92,0.29,0.2,0.22,0.29,0.05,0.15,0.03,0.02,0.0,1.1,0.55,0.05,5,5,1,1,LEDA     613,LEDA,2.02836,9.71773,ivo://CDS.VizieR/J/ApJ/902/145:table1:65,6634,6074,1.016,34.61,0.21,34.61,0.2,0.35,34.62,0.21,0.39,34.61,0.21,0.4,34.63,0.22,0.48,2.56702636615906,-21.689999999999998,-21.271961747687712,-0.41803825231228586,34.191961747687714,68.9274718471183,83.56030182312479
*,619,UGC00069,53,4,4641,169,5,15.234,0.076,15.5,13.86,13.95,0.35,0.32,0.31,0.23,0.04,0.13,0.02,0.01,0.0,1.08,0.6,0.04,5,4,2,1,LEDA     619,LEDA,2.04565,27.52815,ivo://CDS.VizieR/J/ApJ/902/145:table1:67,4897,4303,1.011,32.96,0.25,32.97,0.24,0.55,32.97,0.25,0.57,32.96,0.25,0.56,32.72,0.26,0.64,2.2278867046136734,-19.01,-18.394361723238568,-0.6156382767614339,32.34436172323856,29.435562856059228,39.084089579240214
*,627,NGC0007,85,2,1497,158,9,14.549,0.076,,,13.91,,,0.52,,,,,0.01,0.0,0.86,0.4,0.02,0,5,0,1,LEDA     627,LEDA,2.08458,-29.91694,ivo://CDS.VizieR/J/ApJ/902/145:table1:68,1514,1210,1.003,31.28,0.24,,,,,,,,,,31.28,0.24,0.66,2.1986570869544226,-17.37,-18.146348417724187,0.7763484177241864,32.05634841772419,25.77921470195478,18.030177408595698
*,634,NGC0010,58,4,6800,554,19,15.372,0.076,,,11.84,,,0.48,,,,,0.01,0.0,1.03,0.48,0.04,0,5,0,1,LEDA     634,LEDA,2.14391,-33.85839,ivo://CDS.VizieR/J/ApJ/902/145:table1:69,6796,6529,1.017,34.55,0.25,,,,,,,,,,34.55,0.25,0.48,2.74350976472843,-22.709999999999997,-22.76942338259036,0.059423382590363616,34.609423382590364,83.53811598833263,81.28305161640982
*,638,UGC00071,52,4,8215,217,17,16.883,0.185,,,15.39,,,0.2,,,,,0.01,0.0,1.1,0.61,0.05,0,5,0,1,LEDA     638,LEDA,2.14964,44.09658,ivo://CDS.VizieR/J/ApJ/902/145:table1:70,8501,7927,1.021,35.62,0.4,,,,,,,,,,35.62,0.4,0.59,2.3364597338485296,-20.229999999999997,-19.315603875091476,-0.9143961249085208,34.70560387509148,87.32141709079272,133.04544179780902
*,644,UGC00076,83,4,4580,190,13,16.068,0.076,16.89,15.3,15.5,0.2,0.23,0.24,0.79,0.2,0.38,0.1,0.01,0.0,0.89,0.43,0.02,5,5,2,1,LEDA     644,LEDA,2.20518,24.54011,ivo://CDS.VizieR/J/ApJ/902/145:table1:72,4828,4237,1.011,33.81,0.28,33.81,0.27,0.56,33.81,0.28,0.58,33.82,0.29,0.58,33.78,0.31,0.65,2.278753600952829,-18.310000000000002,-18.825967338111827,0.5159673381118246,34.32596733811182,73.31510613586259,57.80960474057187
*,650,NGC0013,80,3,4828,442,5,15.877,0.076,15.05,12.76,12.24,0.45,0.35,0.42,0.92,0.15,0.51,0.09,0.05,0.01,1.22,0.68,0.07,5,5,1,1,LEDA     650,LEDA,2.19881,33.43333,ivo://CDS.VizieR/J/ApJ/902/145:table1:73,5097,4505,1.012,33.67,0.13,33.66,0.12,0.35,33.67,0.13,0.39,33.67,0.13,0.4,33.91,0.11,0.48,2.645422269349092,-21.43,-21.937150985385163,0.507150985385163,34.17715098538516,68.4589442124526,54.20008904016244
