DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,residual_M,mu_tf,d_tf_mpc,d_catalog_mpc
*,55346,ESO582-018,74,3,6747,246,18,16.436,0.185,,,15.14,,,0.24,,,,,0.02,0.0,1.04,0.56,0.04,0,3,0,1,LEDA   55346,LEDA,233.0749,-20.47347,ivo://CDS.VizieR/J/ApJ/902/145:table1:6319,6656,6908,1.018,34.84,0.32,,,,,,,,,,34.84,0.32,0.6,2.3909351071033793,-19.700000000000003,-19.77782741655436,0.07782741655435643,34.91782741655436,96.28651837031586,92.89663867799378
*,55349,PGC055349,59,4,7031,356,18,15.143,0.076,16.24,14.03,13.52,0.47,0.35,0.32,0.35,0.06,0.2,0.04,0.02,0.0,1.21,0.7,0.06,5,5,0,1,LEDA   55349,LEDA,233.07687,-2.82232,ivo://CDS.VizieR/J/ApJ/902/145:table1:6320,7013,7188,1.019,34.98,0.26,34.96,0.25,0.35,34.99,0.26,0.39,35.0,0.27,0.4,35.07,0.28,0.48,2.5514499979728753,-21.459999999999997,-21.139796263800783,-0.3202037361992147,34.659796263800786,85.4986490879926,99.08319448927661
*,55355,UGC09890,72,3,5864,247,19,16.876,0.185,16.42,14.68,14.76,0.33,0.32,0.3,0.56,0.08,0.31,0.04,0.02,0.0,1.1,0.61,0.05,5,5,0,0,LEDA   55355,LEDA,233.13624,41.98046,ivo://CDS.VizieR/J/ApJ/902/145:table1:6321,6024,5949,1.016,34.42,0.31,34.42,0.29,0.5,34.42,0.31,0.5,34.41,0.31,0.5,34.54,0.34,0.6,2.392696953259666,-19.660000000000004,-19.7927766811709,0.13277668117089547,34.5527766811709,81.38705546188068,76.55966069112569
*,55367,UGC09887,70,3,12406,455,19,16.759,0.076,15.78,14.2,13.93,0.38,0.3,0.28,0.58,0.08,0.33,0.04,0.03,0.0,1.24,0.71,0.07,4,4,2,1,LEDA   55367,LEDA,233.1844,4.74855,ivo://CDS.VizieR/J/ApJ/902/145:table1:6322,12421,12556,1.033,35.89,0.2,35.86,0.2,0.35,35.89,0.2,0.39,35.91,0.2,0.4,36.1,0.21,0.48,2.6580113966571126,-21.96,-22.043969730454016,0.08396973045401523,35.973969730454016,156.60078909459847,150.66070661867417
*,55378,UGC09950,62,4,6505,363,19,16.967,0.185,,,13.23,,,0.28,,,,,0.02,0.0,1.18,0.63,0.06,0,5,0,0,LEDA   55378,LEDA,233.3235,82.22942,ivo://CDS.VizieR/J/ApJ/902/145:table1:6323,6748,6481,1.017,34.81,0.28,,,,,,,,,,34.81,0.28,0.48,2.5599066250361124,-21.580000000000002,-21.211550744338506,-0.36844925566149556,34.44155074433851,77.3232587503801,91.62204901220007
*,55380,PGC055380,50,4,10071,258,7,16.993,0.076,16.84,15.18,15.08,0.15,0.14,0.17,0.23,0.04,0.13,0.03,0.02,0.0,1.2,0.69,0.06,5,4,2,1,LEDA   55380,LEDA,233.25199,25.56862,ivo://CDS.VizieR/J/ApJ/902/145:table1:6324,10172,10191,1.027,36.12,0.26,36.11,0.25,0.37,36.12,0.26,0.39,36.13,0.26,0.4,36.08,0.28,0.53,2.41161970596323,-21.04,-19.953336237650653,-1.086663762349346,35.03333623765065,101.5470350611126,167.49428760264348
*,55385,PGC055385,78,3,4605,194,18,16.805,0.185,16.55,15.23,15.39,0.15,0.14,0.17,0.71,0.11,0.38,0.06,0.02,0.0,1.05,0.57,0.04,5,4,0,0,LEDA   55385,LEDA,233.25868,36.47376,ivo://CDS.VizieR/J/ApJ/902/145:table1:6326,4747,4702,1.012,34.14,0.36,34.14,0.34,0.56,34.15,0.36,0.58,34.14,0.36,0.57,34.07,0.39,0.65,2.287801729930226,-18.75,-18.902740712384634,0.1527407123846345,34.292740712384635,72.20181957703039,67.29766562843179
*,55388,IC1125,57,4,2797,197,15,14.924,0.076,14.8,13.26,12.97,0.33,0.29,0.33,0.32,0.06,0.18,0.03,0.01,0.0,1.19,0.69,0.06,5,5,0,1,LEDA   55388,LEDA,233.27333,-1.62829,ivo://CDS.VizieR/J/ApJ/902/145:table1:6327,2785,2952,1.008,32.62,0.34,32.62,0.33,0.53,32.62,0.34,0.54,32.61,0.34,0.53,32.34,0.37,0.62,2.294466226161593,-19.65,-18.959288962833824,-0.6907110371661744,31.929288962833823,24.31407727099377,33.41950400261139
*,55406,ESO449-013,84,5,5428,386,19,16.72,0.185,,,13.43,,,0.21,,,,,0.05,0.01,1.22,0.68,0.07,0,5,0,0,LEDA   55406,LEDA,233.32953,-30.07329,ivo://CDS.VizieR/J/ApJ/902/145:table1:6329,5301,5584,1.015,34.74,0.22,,,,,,,,,,34.74,0.22,0.48,2.586587304671755,-21.310000000000002,-21.437936310750857,0.12793631075085443,34.867936310750856,94.09948837579346,88.71560120379617
*,55435,NGC5951,81,3,1779,260,5,14.157,0.076,14.19,12.59,12.5,0.79,0.75,0.65,0.86,0.15,0.47,0.08,0.03,0.0,1.08,0.59,0.04,5,5,2,1,LEDA   55435,LEDA,233.42946,15.00729,ivo://CDS.VizieR/J/ApJ/902/145:table1:6330,1838,1915,1.005,32.02,0.14,32.02,0.13,0.5,32.02,0.14,0.5,32.02,0.14,0.49,32.04,0.12,0.6,2.4149733479708178,-19.520000000000003,-19.98179189004782,0.4617918900478166,32.481791890047816,31.35872365827406,25.35128630497911
*,55454,PGC055454,64,4,5141,301,17,16.306,0.076,15.47,13.92,13.58,0.22,0.19,0.21,0.44,0.08,0.25,0.04,0.02,0.0,1.24,0.71,0.07,5,5,0,1,LEDA   55454,LEDA,233.51717,22.93423,ivo://CDS.VizieR/J/ApJ/902/145:table1:6331,5233,5264,1.014,34.56,0.26,34.54,0.25,0.38,34.57,0.26,0.39,34.58,0.27,0.4,34.4,0.28,0.53,2.4785664955938436,-20.980000000000004,-20.521379746923493,-0.45862025307651066,34.10137974692349,66.1113384001386,81.65823713585931
*,55459,NGC5965,88,2,3422,593,18,13.317,0.076,14.06,11.7,11.12,1.22,0.96,0.69,1.63,0.27,0.97,0.21,0.06,0.0,1.24,0.71,0.07,5,5,0,1,LEDA   55459,LEDA,233.50958,56.6857,ivo://CDS.VizieR/J/ApJ/902/145:table1:6332,3625,3468,1.009,32.98,0.16,32.96,0.16,0.35,32.98,0.16,0.39,32.99,0.16,0.4,33.45,0.16,0.48,2.7730546933642626,-21.86,-23.02011210173754,1.160112101737539,34.140112101737536,67.30113994381001,39.44573020752779
*,55475,UGC09901,83,3,3178,222,5,15.416,0.076,16.1,14.5,14.48,0.36,0.3,0.34,0.82,0.16,0.41,0.08,0.02,0.0,0.91,0.45,0.02,5,5,2,1,LEDA   55475,LEDA,233.61217,12.27106,ivo://CDS.VizieR/J/ApJ/902/145:table1:6333,3226,3317,1.009,33.33,0.14,33.34,0.14,0.54,33.33,0.14,0.55,33.32,0.14,0.55,33.27,0.13,0.63,2.346352974450639,-18.849999999999998,-19.399548021490588,0.5495480214905903,33.87954802149059,59.69110303251995,46.34469197362877
*,55507,UGC09916,80,3,9335,340,5,16.279,0.076,17.17,15.25,14.86,0.29,0.24,0.3,0.79,0.13,0.43,0.07,0.03,0.0,1.05,0.57,0.04,5,5,2,1,LEDA   55507,LEDA,233.78381,24.10068,ivo://CDS.VizieR/J/ApJ/902/145:table1:6337,9432,9455,1.025,35.65,0.13,35.66,0.13,0.36,35.64,0.13,0.39,35.63,0.13,0.4,35.71,0.11,0.52,2.531478917042255,-20.79,-20.97034164232609,0.1803416423260913,35.83034164232609,146.57784368229397,134.89628825916532
*,55515,NGC5961,72,3,1835,235,5,14.59,0.076,14.71,13.29,13.13,0.21,0.19,0.22,0.6,0.08,0.35,0.05,0.03,0.0,1.19,0.68,0.06,5,5,1,1,LEDA   55515,LEDA,233.81859,30.86409,ivo://CDS.VizieR/J/ApJ/902/145:table1:6341,1958,1941,1.005,32.76,0.15,32.76,0.15,0.52,32.76,0.15,0.52,32.76,0.15,0.52,32.52,0.14,0.61,2.3710678622717363,-19.629999999999995,-19.609253844378337,-0.020746155621658602,32.73925384437834,35.30618307710362,35.64511334262439
*,55517,UGC09920,85,2,9451,475,6,16.289,0.076,16.4,14.18,13.3,0.34,0.28,0.34,1.28,0.19,0.74,0.11,0.06,0.0,1.24,0.71,0.07,5,5,1,1,LEDA   55517,LEDA,233.82391,30.80313,ivo://CDS.VizieR/J/ApJ/902/145:table1:6342,9574,9557,1.025,35.21,0.12,35.21,0.12,0.35,35.21,0.12,0.39,35.21,0.12,0.4,35.25,0.1,0.48,2.6766936096248664,-21.91,-22.202488307278088,0.29248830727808794,35.502488307278085,126.03688511712326,110.15393095414156
*,55518,UGC09917,58,4,3047,180,14,15.589,0.076,15.68,14.17,14.29,0.3,0.26,0.27,0.29,0.05,0.16,0.03,0.01,0.0,1.07,0.59,0.04,5,5,0,1,LEDA   55518,LEDA,233.82918,20.84243,ivo://CDS.VizieR/J/ApJ/902/145:table1:6343,3131,3172,1.008,33.34,0.34,33.34,0.33,0.55,33.34,0.34,0.56,33.33,0.35,0.56,33.2,0.38,0.64,2.255272505103306,-19.050000000000004,-18.626730240089195,-0.4232697599108093,32.916730240089194,38.31299015488878,46.55860935229596
*,55530,PGC055530,50,4,12569,258,17,16.876,0.076,17.07,15.13,15.03,0.19,0.19,0.19,0.23,0.04,0.13,0.02,0.02,0.0,1.19,0.68,0.06,4,4,0,1,LEDA   55530,LEDA,233.90448,21.50408,ivo://CDS.VizieR/J/ApJ/902/145:table1:6344,12656,12692,1.033,36.12,0.34,36.11,0.32,0.38,36.12,0.34,0.39,36.13,0.34,0.4,36.13,0.37,0.53,2.41161970596323,-21.089999999999996,-19.953336237650653,-1.1366637623493432,34.983336237650654,99.23554233942404,167.49428760264348
*,55532,UGC09919,88,2,3184,253,5,15.629,0.076,16.07,14.26,13.9,0.32,0.33,0.35,1.38,0.23,0.78,0.17,0.04,0.0,1.05,0.57,0.04,5,5,2,1,LEDA   55532,LEDA,233.91531,12.60645,ivo://CDS.VizieR/J/ApJ/902/145:table1:6345,3235,3321,1.009,33.28,0.13,33.28,0.13,0.51,33.28,0.13,0.51,33.28,0.13,0.51,33.3,0.12,0.61,2.403120521175818,-19.380000000000003,-19.881220654823778,0.5012206548237756,33.78122065482378,57.04848701467797,45.28975799036209
*,55533,UGC09921,74,3,9927,348,5,16.312,0.076,16.85,14.96,14.62,0.24,0.21,0.25,0.63,0.09,0.36,0.05,0.03,0.0,1.15,0.65,0.05,5,4,2,1,LEDA   55533,LEDA,233.9201,26.31942,ivo://CDS.VizieR/J/ApJ/902/145:table1:6346,10033,10042,1.026,35.66,0.13,35.67,0.13,0.35,35.65,0.13,0.39,35.65,0.14,0.4,35.7,0.12,0.5,2.5415792439465807,-21.04,-21.05604291599721,0.016042915997211082,35.67604291599721,136.52386767586881,135.51894123510337
*,55540,UGC09944,78,3,7414,389,12,16.306,0.185,,,12.71,,,0.25,,,,,0.01,0.01,0.79,0.23,0.01,0,5,0,1,LEDA   55540,LEDA,233.94872,73.4507,ivo://CDS.VizieR/J/ApJ/902/145:table1:6347,7649,7414,1.02,34.05,0.16,,,,,,,,,,34.05,0.16,0.48,2.5899496013257077,-21.339999999999996,-21.466465397822333,0.12646539782233646,34.176465397822334,68.43733344176857,64.56542290346546
*,55541,ESO450-002,72,4,6723,400,18,16.515,0.185,,,13.62,,,0.2,,,,,0.03,0.01,1.21,0.67,0.07,0,4,0,0,LEDA   55541,LEDA,233.94627,-28.91489,ivo://CDS.VizieR/J/ApJ/902/145:table1:6348,6602,6876,1.018,35.26,0.23,,,,,,,,,,35.26,0.23,0.48,2.6020599913279625,-21.64,-21.569222056857075,-0.07077794314292518,35.189222056857076,109.10493913709702,112.71974561755093
*,55587,UGC09925,61,4,1911,170,6,16.587,0.076,16.24,14.46,14.72,0.31,0.31,0.32,0.32,0.05,0.16,0.03,0.01,0.0,1.0,0.53,0.03,5,5,0,1,LEDA   55587,LEDA,234.1329,16.44038,ivo://CDS.VizieR/J/ApJ/902/145:table1:6350,1979,2041,1.005,33.19,0.23,33.2,0.22,0.56,33.19,0.23,0.58,33.19,0.23,0.58,33.07,0.24,0.65,2.230448921378274,-18.47,-18.41610213245777,-0.05389786754222925,33.13610213245777,42.385804093228984,43.4510224171571
*,55588,NGC5962,52,4,1957,337,5,14.3,0.076,12.82,11.15,10.76,0.55,0.46,0.38,0.19,0.04,0.07,0.02,0.0,0.0,0.9,0.35,0.03,5,5,1,1,LEDA   55588,LEDA,234.132,16.60776,ivo://CDS.VizieR/J/ApJ/902/145:table1:6351,2025,2087,1.006,32.29,0.23,32.28,0.23,0.35,32.3,0.23,0.39,32.3,0.24,0.4,32.29,0.25,0.48,2.5276299008713385,-21.53,-20.93768274015858,-0.5923172598414226,31.697682740158577,21.854282265245317,28.70780582024689
*,55594,ESO582-021,75,3,6510,423,18,16.034,0.185,,,12.65,,,0.23,,,,,0.03,0.0,1.13,0.58,0.06,0,5,0,1,LEDA   55594,LEDA,234.15861,-18.78635,ivo://CDS.VizieR/J/ApJ/902/145:table1:6352,6429,6666,1.018,34.33,0.2,,,,,,,,,,34.33,0.2,0.48,2.6263403673750423,-21.68,-21.775241047347105,0.09524104734710548,34.42524104734711,76.74466761306236,73.45138681571143
