DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,mu_tf,d_tf_mpc,d_catalog_mpc
*,39052,PGC039052,82,3,2430,151,20,17.373,0.076,16.36,14.36,14.4,0.23,0.24,0.26,0.94,0.17,0.53,0.1,0.03,0.01,1.11,0.62,0.05,5,5,2,0,LEDA   39052,LEDA,183.50899,6.72307,ivo://CDS.VizieR/J/ApJ/902/145:table1:4566,2302,2777,1.007,32.27,0.49,32.28,0.47,0.56,32.28,0.49,0.6,32.25,0.5,0.59,32.32,0.55,0.66,2.1789769472931693,-17.870000000000005,-18.038831100582524,32.438831100582526,30.744414033398634,28.444611074479198
*,39109,PGC039109,62,4,1788,117,5,15.829,0.076,16.98,16.03,16.69,0.23,0.17,0.18,0.25,0.04,0.1,0.02,0.0,0.0,0.76,0.31,0.01,5,4,2,1,LEDA   39109,LEDA,183.6486,9.19979,ivo://CDS.VizieR/J/ApJ/902/145:table1:4569,1672,2131,1.006,33.43,0.24,33.42,0.23,0.56,33.42,0.24,0.6,33.45,0.24,0.59,33.28,0.25,0.66,2.0681858617461617,-16.74,-17.123897341417713,33.813897341417714,57.913454125730496,48.5288500162121
*,39113,UGC07249,75,3,622,120,5,15.565,0.076,16.16,14.95,15.54,0.47,0.45,0.42,0.44,0.06,0.18,0.03,0.03,0.0,0.75,0.31,0.01,4,3,2,1,LEDA   39113,LEDA,183.6539,12.81186,ivo://CDS.VizieR/J/ApJ/902/145:table1:4570,523,958,1.003,31.86,0.2,31.85,0.2,0.56,31.85,0.2,0.6,31.88,0.2,0.59,31.73,0.21,0.66,2.0791812460476247,-16.32,-17.21469930660047,32.75469930660047,35.5582076135104,23.55049283896009
*,39114,NGC4197,86,3,2062,258,5,13.931,0.076,13.95,12.59,12.5,0.65,0.58,0.46,1.25,0.3,0.72,0.19,0.04,0.0,1.13,0.64,0.05,5,5,2,0,LEDA   39114,LEDA,183.66043,5.80572,ivo://CDS.VizieR/J/ApJ/902/145:table1:4571,1930,2410,1.006,31.86,0.13,31.86,0.13,0.5,31.85,0.13,0.51,31.86,0.13,0.5,32.0,0.12,0.6,2.41161970596323,-19.36,-19.96003904508054,32.460039045080535,31.04615411480485,23.55049283896009
*,39152,IC3061,85,2,2316,293,5,14.924,0.076,15.27,13.45,13.09,0.56,0.48,0.36,1.2,0.18,0.7,0.11,0.05,0.0,1.17,0.67,0.06,4,5,2,1,LEDA   39152,LEDA,183.76883,14.02897,ivo://CDS.VizieR/J/ApJ/902/145:table1:4573,2223,2649,1.007,33.05,0.13,33.05,0.13,0.45,33.05,0.13,0.45,33.05,0.13,0.44,33.16,0.11,0.57,2.4668676203541096,-19.959999999999997,-20.41628678153056,33.50628678153056,50.26403583202552,40.73802778041122
*,39155,PGC039155,65,4,4295,254,19,15.985,0.185,,,14.19,,,0.32,,,,,0.02,0.0,1.14,0.65,0.05,0,5,0,1,LEDA   39155,LEDA,183.77144,-13.23396,ivo://CDS.VizieR/J/ApJ/902/145:table1:4574,4086,4650,1.012,34.31,0.35,,,,,,,,,,34.31,0.35,0.58,2.404833716619938,-20.120000000000005,-19.903999060375483,34.09399906037548,65.88701192322917,72.7779804536825
*,39163,ESO441-022,79,3,6476,560,13,14.568,0.076,,,12.21,,,0.42,,,,,0.04,0.01,1.23,0.69,0.07,0,5,0,1,LEDA   39163,LEDA,183.7829,-30.76634,ivo://CDS.VizieR/J/ApJ/902/145:table1:4575,6215,6804,1.018,34.58,0.14,,,,,,,,,,34.58,0.14,0.48,2.7481880270062002,-22.369999999999997,-22.739483958606346,34.94948395860635,97.7005012184391,82.41381150130017
*,39181,IC3066,83,3,381,132,8,16.958,0.076,16.7,14.84,15.14,0.22,0.25,0.29,0.79,0.15,0.39,0.08,0.02,0.0,0.89,0.43,0.02,5,5,0,1,LEDA   39181,LEDA,183.81718,13.4748,ivo://CDS.VizieR/J/ApJ/902/145:table1:4577,286,715,1.002,32.06,0.24,32.06,0.23,0.56,32.05,0.24,0.6,32.06,0.25,0.59,31.9,0.26,0.66,2.12057393120585,-16.92,-17.55652793700659,32.69652793700659,34.61828806133297,25.822601906345984
*,39183,NGC4206,86,3,706,269,5,13.435,0.076,13.71,12.03,11.9,1.29,1.09,0.72,1.23,0.29,0.7,0.18,0.04,0.0,1.11,0.62,0.05,5,5,0,1,LEDA   39183,LEDA,183.8201,13.024,ivo://CDS.VizieR/J/ApJ/902/145:table1:4578,609,1041,1.003,31.34,0.13,31.34,0.13,0.49,31.34,0.13,0.49,31.34,0.13,0.48,31.54,0.12,0.59,2.429752280002408,-19.439999999999998,-20.109781274313956,32.00978127431396,25.232266028841398,18.535316234148116
*,39201,ESO321-016,72,6,3180,229,8,13.798,0.185,,,12.71,,,0.69,,,,,0.01,0.0,1.0,0.53,0.03,0,5,0,1,LEDA   39201,LEDA,183.86142,-38.14405,ivo://CDS.VizieR/J/ApJ/902/145:table1:4580,2905,3486,1.009,31.9,0.22,,,,,,,,,,31.9,0.22,0.62,2.359835482339888,-19.189999999999998,-19.53239512272694,32.24239512272694,28.08529723772039,23.988329190194886
*,39206,NGC4207,88,3,600,192,5,15.425,0.076,14.44,12.35,11.81,0.37,0.34,0.25,1.55,0.39,0.87,0.28,0.05,0.0,1.18,0.64,0.06,5,5,2,1,LEDA   39206,LEDA,183.87682,9.58494,ivo://CDS.VizieR/J/ApJ/902/145:table1:4582,486,942,1.003,30.35,0.15,30.36,0.15,0.56,30.34,0.15,0.58,30.34,0.15,0.58,30.16,0.14,0.65,2.2833012287035497,-18.54,-18.90036076690634,30.71036076690634,13.869862426545927,11.748975549395302
*,39212,ESO380-006,68,4,2944,435,14,14.757,0.185,,,10.7,,,0.68,,,,,0.02,0.0,1.07,0.52,0.05,0,5,0,1,LEDA   39212,LEDA,183.8928,-35.62979,ivo://CDS.VizieR/J/ApJ/902/145:table1:4583,2673,3258,1.009,32.49,0.2,,,,,,,,,,32.49,0.2,0.48,2.6384892569546374,-21.790000000000003,-21.833570747597616,32.533570747597615,32.115460191242676,31.47748314101319
*,39224,NGC4212,53,4,-83,252,5,14.734,0.076,12.71,10.9,10.67,0.59,0.58,0.56,0.23,0.04,0.11,0.02,0.01,0.0,1.06,0.5,0.05,5,5,2,1,LEDA   39224,LEDA,183.9139,13.9015,ivo://CDS.VizieR/J/ApJ/902/145:table1:4584,-176,250,1.001,31.2,0.23,31.2,0.22,0.41,31.21,0.23,0.42,31.2,0.23,0.41,31.12,0.25,0.55,2.401400540781544,-20.53,-19.875647244340946,30.545647244340948,12.856698186270888,17.378008287493746
*,39233,IC3074,88,2,1982,202,5,14.361,0.076,15.72,14.2,14.62,0.57,0.61,0.51,1.01,0.17,0.44,0.09,0.01,0.0,0.77,0.32,0.01,5,5,0,1,LEDA   39233,LEDA,183.94167,10.70093,ivo://CDS.VizieR/J/ApJ/902/145:table1:4587,1874,2322,1.006,32.56,0.15,32.56,0.14,0.56,32.55,0.15,0.57,32.56,0.15,0.57,32.77,0.14,0.64,2.305351369446624,-17.940000000000005,-19.082455003645396,33.7024550036454,55.0162520152035,32.50872973854347
*,39237,NGC4218,54,7,722,116,7,15.211,0.076,14.16,13.0,13.35,0.22,0.22,0.25,0.26,0.08,0.14,0.05,0.01,0.0,1.12,0.63,0.05,4,5,0,1,LEDA   39237,LEDA,183.94241,48.13129,ivo://CDS.VizieR/J/ApJ/902/145:table1:4588,800,925,1.002,31.1,0.41,31.1,0.39,0.56,31.1,0.41,0.6,31.09,0.41,0.59,30.82,0.45,0.66,2.0644579892269186,-17.75,-17.093111864401415,30.443111864401416,12.263724138212655,16.595869074375614
*,39241,NGC4217,88,4,1030,379,13,13.924,0.076,12.78,10.75,9.87,1.87,1.4,0.88,1.46,0.5,0.78,0.33,0.04,0.0,1.11,0.56,0.05,5,5,0,1,LEDA   39241,LEDA,183.96208,47.09179,ivo://CDS.VizieR/J/ApJ/902/145:table1:4589,1103,1238,1.003,31.0,0.17,30.99,0.16,0.35,31.0,0.17,0.39,31.01,0.17,0.4,30.92,0.17,0.48,2.578639209968072,-21.130000000000003,-21.339317728907094,31.209317728907095,17.452737062174247,15.848931924611133
*,39246,NGC4216,84,3,139,511,5,13.752,0.076,12.11,9.64,9.04,1.76,1.27,1.0,0.81,0.17,0.29,0.07,0.01,0.0,0.85,0.29,0.02,4,5,2,1,LEDA   39246,LEDA,183.97685,13.1494,ivo://CDS.VizieR/J/ApJ/902/145:table1:4592,42,473,1.001,30.89,0.12,30.88,0.12,0.35,30.89,0.12,0.39,30.9,0.12,0.4,30.99,0.1,0.48,2.708420900134713,-21.85,-22.41107949627913,31.451079496279128,19.50814159977211,15.066070661867425
*,39253,ESO441-024,83,3,3338,207,15,15.391,0.185,,,14.48,,,0.27,,,,,0.03,0.0,0.98,0.51,0.03,0,4,0,1,LEDA   39253,LEDA,183.98387,-29.05633,ivo://CDS.VizieR/J/ApJ/902/145:table1:4593,3082,3669,1.01,33.16,0.31,,,,,,,,,,33.16,0.31,0.64,2.315970345456918,-18.679999999999996,-19.170148517898912,33.65014851789891,53.706852792682795,42.854852039743875
*,39265,PGC039265,69,3,2182,123,7,15.967,0.076,15.71,14.35,14.95,0.21,0.24,0.25,0.4,0.05,0.2,0.03,0.01,0.0,0.9,0.44,0.02,5,5,0,0,LEDA   39265,LEDA,184.00224,4.65089,ivo://CDS.VizieR/J/ApJ/902/145:table1:4595,2046,2531,1.007,31.85,0.25,31.85,0.24,0.56,31.84,0.25,0.6,31.85,0.25,0.59,31.74,0.26,0.66,2.089905111439398,-16.900000000000002,-17.303259017223667,32.25325901722367,28.226160288710293,23.44228815319924
*,39308,NGC4222,90,1,231,220,5,14.293,0.076,14.68,12.9,12.43,0.89,0.83,0.52,1.64,0.02,1.02,0.01,0.05,0.0,1.12,0.63,0.05,5,5,2,1,LEDA   39308,LEDA,184.09384,13.30707,ivo://CDS.VizieR/J/ApJ/902/145:table1:4599,136,565,1.002,31.22,0.14,31.23,0.14,0.55,31.22,0.14,0.56,31.21,0.14,0.55,31.22,0.13,0.63,2.342422680822206,-18.79,-19.388596911241738,31.818596911241738,23.10571340722883,17.5388050184176
*,39315,NGC4219,77,3,1989,358,13,12.99,0.185,,,10.46,,,0.68,,,,,0.04,0.01,1.23,0.69,0.07,0,5,0,1,LEDA   39315,LEDA,184.1138,-43.32428,ivo://CDS.VizieR/J/ApJ/902/145:table1:4600,1707,2277,1.006,31.43,0.18,,,,,,,,,,31.43,0.18,0.5,2.5538830266438746,-20.97,-21.13487648023126,31.59487648023126,20.843723144671564,19.31968317016924
*,39328,NGC4224,80,4,2593,508,16,16.387,0.076,13.86,11.45,11.11,0.67,0.57,0.52,0.59,0.13,0.18,0.05,0.01,0.0,0.79,0.23,0.01,5,5,2,1,LEDA   39328,LEDA,184.14077,7.46209,ivo://CDS.VizieR/J/ApJ/902/145:table1:4605,2470,2938,1.008,32.88,0.17,32.87,0.16,0.35,32.88,0.17,0.39,32.88,0.17,0.4,33.13,0.16,0.48,2.7058637122839193,-21.770000000000003,-22.389961754886258,33.49996175488626,50.1178406531945,37.67037989839093
*,39344,UGC07301,90,2,706,139,14,15.073,0.076,16.1,14.62,15.1,0.62,0.64,0.53,1.1,0.0,0.49,0.0,0.01,0.0,0.75,0.3,0.01,5,4,0,1,LEDA   39344,LEDA,184.17534,46.07877,ivo://CDS.VizieR/J/ApJ/902/145:table1:4607,775,919,1.002,31.71,0.38,31.71,0.37,0.56,31.71,0.38,0.6,31.72,0.39,0.59,31.92,0.43,0.66,2.143014800254095,-16.61,-17.741848882061543,32.84184888206154,37.01432009896796,21.97859872784825
*,39346,NGC4236,76,3,-8,182,10,11.555,0.185,,,10.55,,,3.26,,,,,0.01,0.0,0.86,0.41,0.02,0,5,0,1,LEDA   39346,LEDA,184.17549,69.46257,ivo://CDS.VizieR/J/ApJ/902/145:table1:4608,167,74,1.0,28.55,0.25,,,,,,,,,,28.55,0.25,0.65,2.2600713879850747,-18.0,-18.70852434443229,29.258524344432292,7.107303623805587,5.12861383991365
*,39390,IC3099,88,2,2132,205,5,15.591,0.076,15.78,14.12,14.14,0.47,0.46,0.36,1.28,0.22,0.7,0.15,0.03,0.0,0.98,0.51,0.03,5,5,2,1,LEDA   39390,LEDA,184.28845,12.45395,ivo://CDS.VizieR/J/ApJ/902/145:table1:4611,2033,2467,1.007,32.48,0.14,32.49,0.14,0.56,32.48,0.14,0.57,32.47,0.15,0.57,32.6,0.13,0.64,2.311753861055754,-18.339999999999996,-19.13532799145882,33.27532799145882,45.19242004039372,31.332857243155807
*,39393,NGC4237,52,4,864,231,6,16.061,0.076,13.42,11.42,11.08,0.45,0.45,0.43,0.2,0.04,0.08,0.02,0.01,0.0,0.94,0.38,0.03,5,5,2,1,LEDA   39393,LEDA,184.29758,15.32404,ivo://CDS.VizieR/J/ApJ/902/145:table1:4612,779,1193,1.003,31.4,0.25,31.41,0.24,0.45,31.41,0.25,0.46,31.39,0.25,0.45,31.25,0.26,0.57,2.3636119798921444,-20.32,-19.563582154471444,30.643582154471446,13.449818721405917,19.054607179632463
*,39422,NGC4244,88,2,245,192,7,11.04,0.076,11.35,9.93,10.16,3.33,2.96,2.3,1.17,0.2,0.58,0.13,0.02,0.0,0.89,0.43,0.02,5,4,0,1,LEDA   39422,LEDA,184.37358,37.80711,ivo://CDS.VizieR/J/ApJ/902/145:table1:4615,273,496,1.001,28.19,0.18,28.2,0.18,0.56,28.17,0.18,0.58,28.2,0.18,0.58,28.21,0.18,0.65,2.2833012287035497,-18.03,-18.90036076690634,29.06036076690634,6.487422061714455,4.3451022417157175
*,39423,NGC4242,50,4,514,116,8,13.35,0.076,12.48,10.9,11.16,1.4,1.41,1.46,0.2,0.04,0.11,0.02,0.01,0.0,1.06,0.57,0.04,5,5,0,1,LEDA   39423,LEDA,184.37576,45.61931,ivo://CDS.VizieR/J/ApJ/902/145:table1:4616,581,729,1.002,29.05,0.35,29.05,0.33,0.56,29.04,0.35,0.6,29.05,0.35,0.59,28.66,0.38,0.66,2.0644579892269186,-17.89,-17.093111864401415,28.253111864401415,4.473241783419911,6.456542290346557
*,39452,ESO573-006,67,4,7657,219,17,16.354,0.185,,,15.56,,,0.2,,,,,0.02,0.0,1.03,0.55,0.04,0,3,0,1,LEDA   39452,LEDA,184.43671,-22.17336,ivo://CDS.VizieR/J/ApJ/902/145:table1:4621,7420,8001,1.021,34.98,0.35,,,,,,,,,,34.98,0.35,0.62,2.3404441148401185,-19.419999999999995,-19.372257538784023,34.93225753878402,96.9285035298162,99.08319448927661
*,39461,NGC4248,73,3,484,96,15,15.857,0.217,14.01,12.2,12.44,0.67,0.7,0.69,0.57,0.08,0.31,0.05,0.02,0.0,1.08,0.59,0.04,5,5,0,0,LEDA   39461,LEDA,184.45768,47.40919,ivo://CDS.VizieR/J/ApJ/902/145:table1:4623,560,690,1.002,29.04,0.59,29.05,0.56,0.56,29.05,0.59,0.6,29.04,0.6,0.59,29.21,0.66,0.66,1.9822712330395684,-16.6,-16.414398072395564,28.85439807239556,5.900375003414554,6.426877173170194
*,39482,ESO380-011,87,2,5402,265,17,16.031,0.185,,,14.55,,,0.21,,,,,0.04,0.0,1.11,0.62,0.05,0,4,0,0,LEDA   39482,LEDA,184.49902,-35.6811,ivo://CDS.VizieR/J/ApJ/902/145:table1:4626,5132,5715,1.015,34.34,0.28,,,,,,,,,,34.34,0.28,0.59,2.423245873936808,-19.790000000000003,-20.056050141246157,34.60605014124616,83.40844569447445,73.79042301291022
*,39537,NGC4252,81,3,864,151,5,15.729,0.076,15.26,13.95,14.3,0.35,0.33,0.28,0.77,0.13,0.4,0.07,0.3,0.0,1.0,0.53,0.03,5,3,2,0,LEDA   39537,LEDA,184.62889,5.55957,ivo://CDS.VizieR/J/ApJ/902/145:table1:4630,733,1211,1.003,31.71,0.17,31.72,0.17,0.56,31.7,0.17,0.6,31.7,0.17,0.59,31.32,0.17,0.66,2.1789769472931693,-17.41,-18.038831100582524,32.338831100582524,29.360687463469073,21.97859872784825
*,39556,PGC039556,89,1,1997,130,7,16.993,0.076,16.55,15.02,15.36,0.25,0.26,0.29,1.21,0.08,0.61,0.07,0.01,0.0,0.85,0.4,0.02,5,5,2,1,LEDA   39556,LEDA,184.66112,6.70822,ivo://CDS.VizieR/J/ApJ/902/145:table1:4631,1872,2342,1.006,31.96,0.22,31.96,0.21,0.56,31.95,0.22,0.6,31.97,0.22,0.59,32.01,0.23,0.66,2.113943352306837,-16.6,-17.501771361172345,32.861771361172345,37.3554757833858,24.6603933723434
*,39573,IC3104,64,4,430,26,20,14.749,0.185,,,11.53,,,1.45,,,,,0.0,0.0,0.77,0.32,0.01,0,4,0,1,LEDA   39573,LEDA,184.69208,-79.72583,ivo://CDS.VizieR/J/ApJ/902/145:table1:4632,161,537,1.001,26.79,3.26,,,,,,,,,,26.79,3.26,0.66,1.414973347970818,-15.26,-11.729544737945892,23.25954473794589,0.4486513176655857,2.2803420720004173
*,39600,NGC4258,73,5,446,429,5,11.876,0.185,10.02,8.05,7.88,3.22,2.87,2.45,0.57,0.13,0.28,0.07,0.02,0.01,1.09,0.54,0.05,5,5,0,0,LEDA   39600,LEDA,184.74008,47.30372,ivo://CDS.VizieR/J/ApJ/902/145:table1:4635,522,652,1.002,29.21,0.15,29.19,0.15,0.35,29.22,0.15,0.39,29.24,0.16,0.4,29.46,0.15,0.48,2.6324572921847245,-21.330000000000002,-21.783757640569753,29.663757640569752,8.565476504131,6.950243175887971
*,39613,IC0776,56,4,2467,157,5,14.8,0.076,14.92,13.79,14.21,0.49,0.46,0.48,0.23,0.04,0.11,0.02,0.0,0.0,0.91,0.45,0.02,5,4,2,1,LEDA   39613,LEDA,184.763,8.85615,ivo://CDS.VizieR/J/ApJ/902/145:table1:4637,2352,2808,1.007,32.55,0.24,32.55,0.23,0.56,32.55,0.24,0.59,32.55,0.24,0.58,32.37,0.25,0.65,2.1958996524092336,-18.339999999999996,-18.17858200319922,32.38858200319922,30.041139405469263,32.359365692962776
*,39656,NGC4260,68,5,1732,564,18,15.75,0.185,13.91,11.38,11.06,0.58,0.54,0.53,0.34,0.08,0.09,0.03,0.0,0.0,0.78,0.23,0.01,5,5,0,0,LEDA   39656,LEDA,184.84267,6.09869,ivo://CDS.VizieR/J/ApJ/902/145:table1:4643,1604,2078,1.006,33.28,0.21,33.28,0.2,0.35,33.28,0.21,0.39,33.29,0.21,0.4,33.5,0.22,0.48,2.751279103983342,-22.22,-22.765010657479284,33.82501065747928,58.21060747117102,45.28975799036209
*,39698,NGC4263,60,4,4175,268,17,15.637,0.185,,,12.46,,,0.27,,,,,0.02,0.0,1.18,0.64,0.06,0,5,0,1,LEDA   39698,LEDA,184.9258,-12.22555,ivo://CDS.VizieR/J/ApJ/902/145:table1:4646,3972,4529,1.012,32.99,0.32,,,,,,,,,,32.99,0.32,0.55,2.428134794028789,-20.53,-20.096423768925025,32.55642376892503,32.45523467805597,39.62780342554397
*,39726,PGC039726,77,3,8003,481,18,15.865,0.185,,,13.15,,,0.24,,,,,0.04,0.0,1.21,0.67,0.07,0,5,0,0,LEDA   39726,LEDA,184.96313,-6.85622,ivo://CDS.VizieR/J/ApJ/902/145:table1:4650,7820,8358,1.022,35.24,0.19,,,,,,,,,,35.24,0.19,0.48,2.682145076373832,-22.090000000000003,-22.194088769182276,35.34408876918228,117.1703571845232,111.68632477805623
*,39738,NGC4273,53,4,2374,267,5,14.308,0.076,13.05,11.57,11.33,0.41,0.41,0.36,0.25,0.05,0.13,0.02,0.01,0.0,1.13,0.58,0.06,5,5,2,1,LEDA   39738,LEDA,184.9836,5.34337,ivo://CDS.VizieR/J/ApJ/902/145:table1:4652,2243,2720,1.007,32.2,0.23,32.19,0.22,0.38,32.21,0.23,0.39,32.21,0.23,0.4,32.04,0.25,0.53,2.4265112613645754,-20.870000000000005,-20.08301632882042,31.41301632882042,19.16916809595683,27.542287033381704
*,39768,ESO506-002,88,2,4019,443,19,14.784,0.076,,,12.8,,,0.45,,,,,0.05,0.0,1.18,0.68,0.06,0,5,0,1,LEDA   39768,LEDA,185.04234,-26.06671,ivo://CDS.VizieR/J/ApJ/902/145:table1:4654,3773,4355,1.012,34.41,0.2,,,,,,,,,,34.41,0.2,0.48,2.6464037262230695,-21.609999999999996,-21.898929933165743,34.69892993316574,87.05344987779476,76.20790100254106
*,39813,PGC039813,57,4,2558,104,6,16.837,0.076,16.13,14.55,14.89,0.29,0.29,0.29,0.25,0.04,0.13,0.02,0.01,0.0,0.96,0.49,0.03,5,5,2,0,LEDA   39813,LEDA,185.10537,6.90837,ivo://CDS.VizieR/J/ApJ/902/145:table1:4658,2435,2902,1.008,31.87,0.28,31.88,0.27,0.56,31.87,0.28,0.6,31.86,0.29,0.59,31.56,0.31,0.66,2.0170333392987803,-16.98,-16.701470126967436,31.591470126967437,20.811051569365695,23.659196974857586
*,39822,IC3174,57,4,9526,336,5,16.55,0.076,16.77,14.81,14.39,0.16,0.14,0.16,0.32,0.06,0.19,0.03,0.02,0.0,1.24,0.71,0.07,5,4,2,1,LEDA   39822,LEDA,185.12302,10.24516,ivo://CDS.VizieR/J/ApJ/902/145:table1:4660,9418,9864,1.026,36.18,0.21,36.18,0.2,0.35,36.18,0.21,0.39,36.18,0.21,0.4,35.96,0.21,0.48,2.526339277389844,-21.79,-20.907414984371194,35.297414984371194,114.67876224963165,172.1868574986006
*,39851,PGC039851,59,4,4336,183,16,15.341,0.185,,,14.16,,,0.31,,,,,0.01,0.0,1.05,0.57,0.04,0,4,0,1,LEDA   39851,LEDA,185.1861,-13.80526,ivo://CDS.VizieR/J/ApJ/902/145:table1:4665,4128,4688,1.012,33.14,0.41,,,,,,,,,,33.14,0.41,0.64,2.2624510897304293,-18.98,-18.72817637196518,32.88817637196518,37.81248976067568,42.4619563946313
*,39855,PGC039855,89,1,5439,374,12,15.691,0.076,,,13.44,,,0.31,,,,,0.05,0.0,1.21,0.7,0.06,0,5,0,1,LEDA   39855,LEDA,185.1979,-6.97167,ivo://CDS.VizieR/J/ApJ/902/145:table1:4666,5257,5794,1.015,34.53,0.16,,,,,,,,,,34.53,0.16,0.49,2.5728716022004803,-21.090000000000003,-21.29168773205187,34.73168773205187,88.37665228172725,80.53784411990668
*,39860,NGC4287,86,3,2149,193,17,17.316,0.076,15.97,14.03,13.76,0.3,0.31,0.27,1.35,0.32,0.8,0.2,0.05,0.01,1.22,0.7,0.06,5,5,2,0,LEDA   39860,LEDA,185.20204,5.6398,ivo://CDS.VizieR/J/ApJ/902/145:table1:4667,2020,2495,1.007,32.36,0.34,32.38,0.33,0.56,32.37,0.34,0.58,32.35,0.34,0.58,32.34,0.37,0.65,2.285557309007774,-18.6,-18.91899190517464,32.67899190517464,34.339848991764605,29.648313895243422
*,39886,NGC4289,90,1,2539,353,5,14.289,0.076,13.67,13.0,12.29,3.06,0.9,0.38,1.77,0.01,1.13,0.01,0.06,0.0,1.21,0.7,0.06,3,5,1,1,LEDA   39886,LEDA,185.2596,3.72196,ivo://CDS.VizieR/J/ApJ/902/145:table1:4668,2402,2887,1.008,32.76,0.12,32.76,0.12,0.35,32.77,0.12,0.39,32.76,0.12,0.4,33.08,0.1,0.51,2.5477747053878224,-20.47,-21.08443280688522,33.374432806885224,47.3027687006779,35.64511334262439
*,39909,ESO573-013,77,3,7879,445,19,16.161,0.185,,,13.46,,,0.21,,,,,0.04,0.01,1.22,0.68,0.07,0,5,0,1,LEDA   39909,LEDA,185.30762,-17.93954,ivo://CDS.VizieR/J/ApJ/902/145:table1:4671,7657,8227,1.022,35.35,0.2,,,,,,,,,,35.35,0.2,0.48,2.6483600109809315,-21.89,-21.915085303055573,35.37508530305557,118.85489168918201,117.48975549395303
*,39920,ESO573-014,53,4,6867,214,14,16.989,0.076,,,14.58,,,0.2,,,,,0.01,0.0,1.21,0.7,0.06,0,3,0,1,LEDA   39920,LEDA,185.31586,-21.99581,ivo://CDS.VizieR/J/ApJ/902/145:table1:4672,6633,7210,1.019,34.62,0.36,,,,,,,,,,34.62,0.36,0.59,2.330413773349191,-20.04,-19.28942507983039,33.86942507983039,59.41348343407234,83.94599865193965
*,39925,NGC4294,73,3,347,192,5,13.462,0.076,13.12,11.91,12.09,0.67,0.71,0.59,0.58,0.08,0.32,0.04,0.03,0.0,1.09,0.6,0.05,5,5,2,1,LEDA   39925,LEDA,185.32411,11.51111,ivo://CDS.VizieR/J/ApJ/902/145:table1:4673,246,682,1.002,30.68,0.16,30.69,0.16,0.56,30.68,0.16,0.58,30.68,0.16,0.57,30.5,0.15,0.65,2.2833012287035497,-18.59,-18.90036076690634,30.99036076690634,15.778733947055814,13.677288255958487
*,39950,NGC4298,56,4,1133,224,9,14.406,0.076,12.93,10.98,10.72,0.8,0.8,0.75,0.31,0.05,0.17,0.03,0.01,0.0,1.21,0.67,0.07,4,5,0,1,LEDA   39950,LEDA,185.38649,14.60612,ivo://CDS.VizieR/J/ApJ/902/145:table1:4674,1047,1462,1.004,30.8,0.25,30.8,0.24,0.49,30.81,0.25,0.49,30.79,0.25,0.48,30.59,0.27,0.59,2.3502480183341627,-20.08,-19.453220029890666,30.173220029890665,10.830387761099155,14.45439770745928
*,39974,NGC4302,90,2,1146,358,5,13.767,0.076,13.29,11.13,10.14,2.05,1.62,0.95,1.79,0.01,1.1,0.01,0.06,0.0,1.22,0.68,0.07,4,5,0,1,LEDA   39974,LEDA,185.42699,14.59776,ivo://CDS.VizieR/J/ApJ/902/145:table1:4676,1060,1475,1.004,30.84,0.12,30.83,0.12,0.35,30.85,0.12,0.39,30.85,0.12,0.4,30.96,0.1,0.5,2.5538830266438746,-20.7,-21.13487648023126,31.27487648023126,17.98768592944545,14.723125024327185
*,39979,ESO321-025,68,4,2150,305,9,14.032,0.217,,,12.04,,,0.58,,,,,0.03,0.0,1.22,0.7,0.06,0,4,0,0,LEDA   39979,LEDA,185.42871,-39.76951,ivo://CDS.VizieR/J/ApJ/902/145:table1:4677,1875,2449,1.006,32.61,0.19,,,,,,,,,,32.61,0.19,0.53,2.484299839346786,-20.57,-20.560245346200333,32.60024534620033,33.11685368104944,33.265955329400434
*,39982,PGC039982,82,3,4105,312,13,15.61,0.185,,,13.04,,,0.22,,,,,0.05,0.01,1.23,0.7,0.07,0,5,0,0,LEDA   39982,LEDA,185.43317,-12.47221,ivo://CDS.VizieR/J/ApJ/902/145:table1:4678,3902,4458,1.012,33.5,0.19,,,,,,,,,,33.5,0.19,0.55,2.494154594018443,-20.46,-20.64162777595873,33.68162777595873,54.491097514528384,50.11872336272722
*,39992,ESO506-003,88,2,3976,310,18,15.109,0.185,,,13.54,,,0.32,,,,,0.05,0.0,1.16,0.66,0.06,0,5,0,1,LEDA   39992,LEDA,185.45616,-25.07574,ivo://CDS.VizieR/J/ApJ/902/145:table1:4680,3733,4313,1.011,33.92,0.25,,,,,,,,,,33.92,0.25,0.55,2.4913616938342726,-20.380000000000003,-20.618563477492312,34.15856347749231,67.87544587563818,60.813500127871826
