DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,mu_tf,d_tf_mpc,d_catalog_mpc
*,6030,ESO114-001,72,3,5422,330,20,15.618,0.185,,,13.69,,,0.24,,,,,0.03,0.0,1.22,0.71,0.07,0,5,0,0,LEDA    6030,LEDA,24.41917,-60.86493,ivo://CDS.VizieR/J/ApJ/902/145:table1:735,5257,5317,1.014,34.61,0.27,,,,,,,,,,34.61,0.27,0.52,2.5185139398778875,-20.92,-20.842791865722265,34.53279186572227,80.64145835551946,83.56030182312479
*,6044,ESO297-016,82,3,5987,320,10,15.087,0.185,,,13.54,,,0.36,,,,,0.04,0.0,1.11,0.62,0.05,0,5,0,1,LEDA    6044,LEDA,24.49967,-40.0674,ivo://CDS.VizieR/J/ApJ/902/145:table1:736,5907,5789,1.015,34.02,0.16,,,,,,,,,,34.02,0.16,0.54,2.505149978319906,-20.480000000000004,-20.73242974114149,34.272429741141494,71.52962500045987,63.67955209079168
*,6045,UGC01160,90,1,5469,319,20,16.649,0.076,17.05,14.6,13.77,0.4,0.41,0.4,1.7,0.03,1.06,0.03,0.05,0.0,1.16,0.66,0.06,5,5,1,1,LEDA    6045,LEDA,24.5154,32.49416,ivo://CDS.VizieR/J/ApJ/902/145:table1:737,5687,5195,1.014,34.17,0.25,34.17,0.24,0.41,34.18,0.25,0.41,34.18,0.26,0.4,34.29,0.27,0.54,2.503790683057181,-20.400000000000002,-20.721204423523204,34.4912044235232,79.1117305501326,68.233869414167
*,6057,UGC01141,67,4,8262,337,19,16.225,0.076,,,14.09,,,0.19,,,,,0.02,0.0,1.23,0.71,0.07,0,5,0,1,LEDA    6057,LEDA,24.58698,80.6631,ivo://CDS.VizieR/J/ApJ/902/145:table1:740,8521,8169,1.022,35.3,0.28,,,,,,,,,,35.3,0.28,0.5,2.5276299008713385,-21.209999999999997,-20.918073197419293,35.00807319741929,100.3724764563965,114.81536214968817
*,6059,NGC0634,83,3,4929,471,8,15.493,0.076,,,11.95,,,0.37,,,,,0.05,0.01,1.15,0.6,0.06,0,4,1,1,LEDA    6059,LEDA,24.57783,35.36485,ivo://CDS.VizieR/J/ApJ/902/145:table1:741,5154,4662,1.012,33.79,0.12,,,,,,,,,,33.79,0.12,0.48,2.673020907128896,-21.84,-22.11873965219052,34.068739652190516,65.12502911101481,57.27960309858289
*,6074,UGC01165,86,2,10917,409,6,16.367,0.076,16.84,15.04,14.45,0.35,0.26,0.25,1.32,0.21,0.78,0.13,0.05,0.0,1.19,0.68,0.06,5,5,2,1,LEDA    6074,LEDA,24.63064,28.72356,ivo://CDS.VizieR/J/ApJ/902/145:table1:742,11124,10636,1.028,35.71,0.12,35.7,0.12,0.35,35.72,0.12,0.39,35.71,0.12,0.4,36.0,0.11,0.48,2.611723308007342,-21.26,-21.612532473921963,36.06253247392196,163.1197303264628,138.67558288718897
*,6105,NGC0639,81,3,5884,406,17,14.813,0.185,,,13.56,,,0.18,,,,,0.04,0.01,1.24,0.71,0.07,0,5,0,0,LEDA    6105,LEDA,24.74688,-29.92426,ivo://CDS.VizieR/J/ApJ/902/145:table1:743,5849,5651,1.015,35.05,0.2,,,,,,,,,,35.05,0.2,0.48,2.6085260335771943,-21.489999999999995,-21.58612877637704,35.14612877637704,106.96107405739403,102.32929922807526
*,6108,PGC006108,90,1,5564,216,17,16.792,0.185,17.42,15.67,15.95,0.34,0.4,0.34,1.18,0.03,0.57,0.03,0.01,0.0,0.8,0.35,0.01,4,4,0,0,LEDA    6108,LEDA,24.78779,-10.50389,ivo://CDS.VizieR/J/ApJ/902/145:table1:744,5618,5282,1.014,34.37,0.31,34.37,0.29,0.55,34.38,0.31,0.56,34.37,0.31,0.56,34.72,0.34,0.64,2.3344537511509307,-18.419999999999998,-19.322787981356612,35.272787981356615,113.38552003693442,74.81695005111534
*,6138,PGC006138,76,3,5163,131,5,16.982,0.076,,,15.01,,,0.23,,,,,0.02,0.0,0.99,0.51,0.03,0,4,1,1,LEDA    6138,LEDA,24.88798,35.15996,ivo://CDS.VizieR/J/ApJ/902/145:table1:746,5387,4896,1.013,31.93,0.19,,,,,,,,,,31.93,0.19,0.66,2.1172712956557644,-16.92,-17.529254147386492,32.539254147386494,32.19962615575146,24.322040090738145
*,6147,UGC01172,86,2,3254,192,5,16.332,0.076,16.25,14.53,14.35,0.21,0.24,0.26,1.21,0.19,0.68,0.12,0.04,0.0,1.09,0.6,0.05,5,5,1,1,LEDA    6147,LEDA,24.91046,5.78286,ivo://CDS.VizieR/J/ApJ/902/145:table1:747,3379,2956,1.008,32.73,0.15,32.74,0.15,0.56,32.72,0.15,0.58,32.72,0.15,0.58,32.64,0.14,0.65,2.2833012287035497,-18.379999999999995,-18.90036076690634,33.25036076690634,44.67578100154179,35.15604405282976
