pair_id,group_id,r_ap,x_o,y_o,x_e,y_e,flux_o,flux_e,sky_o,sky_e
0,1,3,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,9.662284775280114,15.327231835529346,-47.0,-47.0
0,1,4,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,144.6293288447514,11.767759912983365,-47.0,-47.0
0,1,5,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,474.1831347951256,7.312780831922737,-47.0,-47.0
0,1,6,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,962.7839580552272,2.0173639289432685,-47.0,-47.0
0,1,8,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,2396.7465412266856,-35.27767397536627,-47.0,-47.0
1,1,3,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,8.117188395465746,26.93931610089976,-47.0,-47.5
1,1,4,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,3.4789740209225783,26.98712428477893,-47.0,-47.5
1,1,5,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,-6.0168904539159485,30.90795590555308,-47.0,-47.5
1,1,6,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,-17.638701572178434,26.59612749869757,-47.0,-47.5
1,1,8,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,114.24322699402182,19.82933485750982,-47.0,-47.5
2,1,3,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,27.261568082917847,16.755809784170197,-46.0,-46.0
2,1,4,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,23.096478641807607,11.066867069464934,-46.0,-46.0
2,1,5,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,19.236507482890374,7.107675189364272,-46.0,-46.0
2,1,6,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,12.129220117050863,3.6438991832110332,-46.0,-46.0
2,1,8,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,-14.148275795281734,-19.673300083586582,-46.0,-46.0
