 Line            Obs (A)        Rest (A)    Lambda_Shift (A)  V (km/s)            z
--------------------------------------------------------------------------------------
Halpha      8928.1911      6562.70       2365.4909       108133.43      0.36044475
Hbeta       6614.3906      4861.30       1753.0908       108186.55      0.36062183
NeIII       5261.6012      3869.00       1392.6012       107981.49      0.35993829
OII         5069.6945     3727.30        1342.3945       108045.59      0.36015198
OIII1       6745.0095      4959.00       1786.0095       108046.55      0.36015518
OIII2       6810.3696      5007.00       1803.3696       108050.90      0.36016967
------------------------------------------------------------------------------------------------
