F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
A,6437,300.187,297.456,20.835,0.024,0.255,0.033,78.36352,-65.48451
A,7380,286.374,299.390,21.843,0.053,0.501,0.069,78.36046,-65.48431
A,12094,304.738,290.679,22.247,0.066,0.605,0.109,78.36451,-65.48514
A,12112,300.634,302.021,21.840,0.156,-0.130,0.174,78.36364,-65.48409
B,742,296.443,292.240,22.962,0.079,0.707,0.121,78.36267,-65.48499
B,743,291.417,293.988,22.666,0.054,0.789,0.097,78.36156,-65.48482
B,3442,303.209,293.991,20.762,0.031,0.276,0.037,78.36418,-65.48484
B,5512,303.274,285.440,23.007,0.099,0.898,0.152,78.36417,-65.48562
A,909,326.122,294.338,20.936,0.021,0.132,0.030,78.36927,-65.48483
A,915,309.383,296.517,22.674,0.072,0.429,0.119,78.36556,-65.48461
A,916,314.704,297.012,22.116,0.047,0.470,0.075,78.36675,-65.48457
A,961,313.907,307.371,20.433,0.018,0.121,0.022,78.36661,-65.48362
A,7373,320.979,296.437,23.562,0.224,0.054,0.257,78.36814,-65.48463
B,3476,319.158,306.163,18.929,0.020,0.183,0.022,78.36777,-65.48373
B,6260,314.854,294.603,18.300,0.023,0.863,0.025,78.36677,-65.48479
B,6261,316.533,297.412,22.958,0.221,1.947,0.355,78.36715,-65.48454
A,962,313.515,311.467,22.324,0.063,0.537,0.096,78.36653,-65.48324
A,985,324.069,312.327,23.097,0.112,0.582,0.182,78.36888,-65.48317
B,798,323.603,310.359,22.242,0.056,0.470,0.082,78.36877,-65.48335
B,3471,324.985,304.582,22.071,0.046,0.482,0.066,78.36906,-65.48389
B,3482,330.089,308.319,23.309,0.103,0.761,0.207,78.37020,-65.48355
B,5544,315.888,315.837,19.358,0.024,0.749,0.027,78.36707,-65.48284
A,6468,289.883,320.784,22.264,0.073,0.256,0.090,78.36132,-65.48235
A,7398,294.538,309.278,21.470,0.049,0.601,0.085,78.36231,-65.48341
A,9363,301.023,304.143,21.750,0.219,1.080,0.242,78.36373,-65.48390
B,784,304.592,301.018,22.686,0.065,0.671,0.113,78.36451,-65.48419
B,785,302.760,306.078,23.267,0.111,1.048,0.221,78.36413,-65.48372
B,6270,294.527,312.824,22.606,0.058,0.715,0.123,78.36232,-65.48309
B,6758,302.096,312.908,20.197,0.023,0.309,0.027,78.36400,-65.48309
A,4246,311.055,320.298,22.028,0.051,0.523,0.077,78.36602,-65.48242
A,7427,308.852,318.296,21.815,0.046,0.390,0.069,78.36552,-65.48260
A,7444,293.685,332.446,22.315,0.044,0.514,0.079,78.36220,-65.48128
A,7496,294.776,341.801,22.795,0.080,0.636,0.126,78.36247,-65.48042
A,8789,304.544,324.588,21.207,0.066,0.415,0.076,78.36458,-65.48202
A,8791,310.303,326.830,21.331,0.027,0.430,0.038,78.36587,-65.48182
A,9373,303.548,331.598,18.278,0.011,-0.014,0.017,78.36439,-65.48137
A,3941,255.116,229.148,22.019,0.062,0.538,0.094,78.35328,-65.49075
B,586,267.559,226.700,20.254,0.020,0.210,0.024,78.35603,-65.49099
B,3318,252.388,245.459,21.961,0.073,0.516,0.115,78.35273,-65.48924
B,3319,254.759,244.704,20.712,0.033,0.870,0.053,78.35325,-65.48931
B,6224,269.364,229.611,20.371,0.027,0.141,0.032,78.35644,-65.49073
A,4049,263.494,256.260,21.739,0.046,0.496,0.078,78.35523,-65.48826
A,4050,254.628,261.102,21.006,0.024,0.253,0.035,78.35328,-65.48780
A,7315,259.858,260.095,21.927,0.067,0.498,0.091,78.35444,-65.48790
A,12032,253.985,256.603,22.154,0.074,0.241,0.100,78.35312,-65.48822
B,7139,260.428,247.393,22.179,0.053,0.520,0.070,78.35452,-65.48907
A,3972,240.283,244.914,19.877,0.014,0.912,0.023,78.35004,-65.48927
A,12002,244.712,245.349,22.520,0.071,0.656,0.119,78.35102,-65.48924
B,3317,247.747,244.281,22.688,0.067,0.580,0.107,78.35169,-65.48934
B,3356,232.251,256.055,17.467,0.015,0.014,0.019,78.34829,-65.48824
A,4029,251.042,253.140,19.126,0.012,-0.016,0.016,78.35245,-65.48853
A,4066,248.640,263.554,22.693,0.090,0.429,0.132,78.35196,-65.48757
A,4091,235.528,269.820,21.014,0.034,0.256,0.047,78.34907,-65.48697
A,6415,237.197,277.047,22.143,0.082,0.491,0.114,78.34946,-65.48631
A,12064,232.438,275.069,22.007,0.075,0.590,0.117,78.34840,-65.48648
B,686,240.209,267.345,20.253,0.017,0.470,0.028,78.35010,-65.48721
A,4093,267.278,270.678,21.638,0.132,0.546,0.164,78.35612,-65.48694
A,7322,257.993,267.059,19.064,0.022,0.017,0.047,78.35405,-65.48726
A,7323,259.929,269.502,21.498,0.054,0.305,0.086,78.35449,-65.48703
A,7330,269.335,271.341,19.853,0.026,0.858,0.029,78.35658,-65.48688
A,9350,272.675,262.333,17.598,0.012,1.170,0.018,78.35729,-65.48771
A,9351,274.120,265.707,19.241,0.018,0.105,0.023,78.35763,-65.48740
A,12055,256.840,268.715,21.723,0.180,0.314,0.344,78.35380,-65.48710
B,681,262.009,266.413,19.549,0.018,0.110,0.024,78.35494,-65.48732
B,682,267.744,270.859,21.448,0.042,0.335,0.058,78.35623,-65.48692
B,3353,270.049,260.478,21.497,0.036,0.398,0.052,78.35670,-65.48788
B,5501,260.207,271.063,17.171,0.022,1.317,0.025,78.35455,-65.48689
B,6241,274.207,260.742,20.100,0.020,0.090,0.023,78.35763,-65.48786
A,853,275.841,282.521,22.760,0.088,0.551,0.128,78.35807,-65.48586
A,854,280.363,280.311,22.117,0.064,0.564,0.082,78.35906,-65.48607
A,4115,272.466,279.158,21.197,0.042,0.412,0.062,78.35730,-65.48616
A,4126,259.521,281.063,21.807,0.052,0.475,0.077,78.35444,-65.48597
B,683,271.789,275.070,22.113,0.055,0.912,0.089,78.35714,-65.48654
B,684,272.951,279.835,22.285,0.056,0.573,0.078,78.35741,-65.48610
B,745,263.563,286.857,23.052,0.082,1.410,0.191,78.35535,-65.48544
B,3416,260.146,281.814,22.905,0.121,0.544,0.146,78.35458,-65.48590
A,4125,248.702,280.919,20.572,0.048,0.231,0.069,78.35203,-65.48597
A,4148,235.932,289.003,19.590,0.015,0.040,0.021,78.34922,-65.48520
A,4149,235.783,292.287,21.122,0.033,0.410,0.047,78.34920,-65.48490
A,6413,243.336,275.698,22.792,0.086,0.791,0.158,78.35082,-65.48644
A,6416,237.658,281.075,21.520,0.049,0.432,0.064,78.34958,-65.48594
A,12072,246.444,278.968,22.252,0.112,0.421,0.164,78.35152,-65.48614
B,722,246.307,281.815,22.743,0.087,0.734,0.117,78.35150,-65.48588
B,3394,245.276,273.661,22.381,0.049,0.819,0.088,78.35125,-65.48663
B,5515,239.533,286.317,22.940,0.091,0.733,0.164,78.35001,-65.48546
A,905,245.646,293.745,22.508,0.088,0.196,0.107,78.35140,-65.48478
A,940,246.510,302.591,22.807,0.084,0.680,0.128,78.35162,-65.48396
A,4166,254.157,293.430,19.865,0.015,0.043,0.021,78.35329,-65.48482
A,7396,241.621,306.950,20.709,0.033,0.287,0.049,78.35055,-65.48356
B,765,253.894,295.294,23.267,0.113,0.632,0.161,78.35323,-65.48465
B,769,244.105,296.141,20.850,0.026,0.215,0.030,78.35106,-65.48456
B,3466,239.066,303.426,20.886,0.039,0.749,0.047,78.34997,-65.48388
B,5522,258.170,295.181,21.914,0.034,0.608,0.058,78.35418,-65.48466
A,789,214.532,263.040,23.171,0.109,0.952,0.192,78.34438,-65.48757
A,821,215.646,269.197,21.588,0.037,0.386,0.053,78.34465,-65.48700
A,4040,225.084,254.945,20.295,0.014,0.068,0.024,78.34669,-65.48833
A,8760,225.876,258.748,21.971,0.054,0.667,0.077,78.34688,-65.48798
B,679,223.993,265.451,22.141,0.055,0.755,0.072,78.34649,-65.48736
B,687,208.193,268.303,21.885,0.049,0.506,0.060,78.34299,-65.48707
B,3337,226.919,249.306,22.736,0.077,0.849,0.153,78.34708,-65.48885
A,826,226.638,271.190,22.094,0.055,0.416,0.092,78.34710,-65.48683
A,827,222.553,272.145,21.808,0.037,0.446,0.058,78.34619,-65.48674
A,4150,221.205,289.180,22.354,0.063,0.384,0.096,78.34595,-65.48517
A,6412,229.215,275.109,20.855,0.022,0.182,0.033,78.34768,-65.48647
B,714,216.813,275.882,20.865,0.024,0.404,0.029,78.34493,-65.48639
B,737,213.092,284.952,22.148,0.045,0.730,0.081,78.34414,-65.48554
B,3406,230.351,281.266,22.523,0.094,0.582,0.170,78.34796,-65.48591
B,3407,225.570,282.109,19.117,0.015,0.886,0.033,78.34690,-65.48582
B,5497,229.176,268.617,22.873,0.095,0.492,0.140,78.34765,-65.48707
B,6248,228.905,278.351,18.995,0.017,1.067,0.023,78.34763,-65.48617
A,4120,201.423,280.524,22.896,0.107,0.242,0.146,78.34153,-65.48594
A,4121,196.858,282.137,22.532,0.072,0.231,0.105,78.34052,-65.48578
B,3415,187.480,281.242,22.562,0.086,0.774,0.117,78.33843,-65.48585
B,5503,205.879,272.123,19.334,0.018,0.922,0.022,78.34249,-65.48672
A,860,205.508,283.194,22.802,0.074,0.653,0.136,78.34244,-65.48570
A,4157,204.368,290.919,21.834,0.050,0.425,0.071,78.34222,-65.48498
A,4158,200.476,295.215,20.608,0.020,0.152,0.027,78.34137,-65.48458
A,4159,198.040,294.753,21.557,0.061,0.394,0.105,78.34083,-65.48462
B,3437,199.538,292.137,20.333,0.022,0.175,0.028,78.34115,-65.48486
A,843,233.000,283.630,22.471,0.045,0.406,0.088,78.34855,-65.48569
A,4186,228.612,298.609,21.091,0.028,0.460,0.092,78.34763,-65.48431
A,4192,219.521,300.224,21.391,0.038,0.280,0.050,78.34562,-65.48415
A,8771,227.784,287.691,22.500,0.092,0.516,0.142,78.34741,-65.48531
B,772,219.088,297.148,22.853,0.079,0.698,0.132,78.34551,-65.48443
B,3408,225.290,287.136,20.372,0.026,0.287,0.064,78.34685,-65.48536
A,960,238.332,309.864,20.014,0.013,0.043,0.020,78.34983,-65.48328
A,4218,232.382,308.562,22.043,0.037,0.379,0.064,78.34850,-65.48339
A,7410,226.278,313.296,21.998,0.052,0.558,0.102,78.34716,-65.48295
A,7411,225.781,315.764,20.716,0.031,0.280,0.042,78.34706,-65.48272
A,4231,200.110,313.708,21.885,0.041,0.471,0.069,78.34135,-65.48287
A,4232,202.290,318.300,20.747,0.027,0.071,0.043,78.34185,-65.48245
A,6456,213.888,311.275,20.994,0.042,0.403,0.054,78.34440,-65.48312
A,1031,208.596,329.060,23.091,0.111,0.388,0.153,78.34329,-65.48147
A,1087,198.784,337.565,21.928,0.045,0.441,0.070,78.34114,-65.48067
A,4233,204.815,320.714,18.900,0.011,0.089,0.016,78.34242,-65.48224
A,6471,212.319,325.240,22.339,0.053,0.613,0.094,78.34410,-65.48183
A,6491,196.862,340.927,21.215,0.022,0.868,0.045,78.34073,-65.48036
A,12143,208.295,322.966,22.321,0.081,0.057,0.100,78.34320,-65.48203
A,897,282.201,291.528,19.495,0.012,0.022,0.016,78.35951,-65.48503
A,955,268.343,307.685,21.025,0.053,0.280,0.080,78.35649,-65.48352
A,6450,271.087,305.443,17.700,0.009,0.014,0.013,78.35709,-65.48374
A,7394,264.333,305.188,19.543,0.017,0.108,0.024,78.35559,-65.48375
B,792,268.232,302.285,22.295,0.057,0.813,0.084,78.35644,-65.48402
A,935,278.984,300.693,21.812,0.036,0.456,0.075,78.35883,-65.48418
A,4222,277.297,310.833,22.035,0.048,0.453,0.082,78.35849,-65.48325
A,4252,267.955,324.428,17.761,0.010,0.012,0.014,78.35646,-65.48198
A,978,252.848,312.172,22.588,0.070,0.533,0.113,78.35306,-65.48309
A,993,243.853,313.060,21.679,0.034,0.330,0.055,78.35107,-65.48300
A,4180,259.750,297.900,20.069,0.036,0.049,0.045,78.35454,-65.48442
A,4206,261.276,307.580,19.473,0.016,0.079,0.023,78.35492,-65.48352
A,4254,245.187,321.279,22.671,0.083,0.477,0.120,78.35139,-65.48224
A,9361,258.057,299.673,19.054,0.012,0.049,0.019,78.35417,-65.48425
A,1022,250.857,324.459,20.451,0.014,0.139,0.024,78.35266,-65.48195
A,1061,258.417,330.659,22.967,0.140,0.245,0.173,78.35436,-65.48139
A,4236,259.467,314.876,20.415,0.022,0.097,0.032,78.35454,-65.48285
A,4250,263.659,320.953,21.322,0.031,0.410,0.048,78.35549,-65.48229
A,4251,262.640,324.148,20.793,0.021,0.102,0.033,78.35528,-65.48200
A,4255,249.416,331.022,22.845,0.083,0.703,0.143,78.35236,-65.48135
A,6475,247.583,326.565,21.597,0.042,0.478,0.066,78.35194,-65.48176
A,1018,287.262,323.194,20.350,0.018,0.075,0.025,78.36074,-65.48212
A,1096,267.559,338.821,22.118,0.068,0.608,0.100,78.35642,-65.48065
A,6482,273.637,333.192,21.599,0.043,0.528,0.062,78.35775,-65.48118
A,1066,285.946,332.156,21.973,0.060,0.287,0.083,78.36048,-65.48129
A,1067,285.507,341.809,21.267,0.029,0.491,0.040,78.36042,-65.48040
A,1120,282.884,347.648,18.859,0.011,-0.011,0.016,78.35985,-65.47986
A,4307,285.266,337.409,18.960,0.011,0.854,0.016,78.36035,-65.48081
A,4329,277.483,350.848,21.797,0.043,0.368,0.067,78.35867,-65.47956
A,7465,277.776,338.295,21.932,0.051,0.524,0.082,78.35869,-65.48072
A,7503,278.427,346.013,19.179,0.013,0.035,0.018,78.35886,-65.48000
A,1097,253.818,338.955,21.426,0.062,0.424,0.093,78.35337,-65.48062
A,1122,253.604,346.614,21.890,0.048,0.430,0.071,78.35335,-65.47991
A,1123,249.535,348.741,22.246,0.054,0.519,0.080,78.35245,-65.47971
A,4322,260.446,342.717,19.480,0.012,0.094,0.016,78.35485,-65.48028
A,7446,259.389,333.165,22.678,0.071,0.571,0.176,78.35459,-65.48116
A,1138,267.329,349.855,21.111,0.030,0.304,0.042,78.35641,-65.47963
A,1170,255.184,356.807,21.135,0.026,0.260,0.033,78.35373,-65.47898
A,1171,250.481,358.771,21.015,0.026,0.379,0.033,78.35270,-65.47879
A,4391,262.640,363.903,19.524,0.040,0.142,0.061,78.35541,-65.47833
A,4400,252.962,371.737,21.448,0.050,0.738,0.092,78.35329,-65.47760
A,7568,250.279,368.430,22.231,0.130,0.453,0.157,78.35268,-65.47790
A,1041,231.978,327.786,20.635,0.029,0.447,0.041,78.34848,-65.48162
A,4263,222.459,324.584,23.112,0.120,0.370,0.157,78.34635,-65.48190
A,4289,222.572,333.094,19.607,0.015,1.020,0.023,78.34641,-65.48112
A,6467,231.563,319.314,23.001,0.120,0.292,0.162,78.34836,-65.48240
A,1084,242.642,336.010,22.066,0.041,0.365,0.070,78.35088,-65.48088
A,1155,228.375,352.962,22.991,0.111,0.740,0.191,78.34777,-65.47929
A,4284,238.613,330.334,19.741,0.012,0.021,0.016,78.34996,-65.48140
A,4302,232.405,336.608,18.414,0.009,0.014,0.014,78.34861,-65.48081
A,4303,228.443,341.646,23.073,0.128,1.040,0.243,78.34774,-65.48034
A,4340,233.394,349.044,20.600,0.020,0.170,0.028,78.34887,-65.47966
A,12176,232.735,341.788,22.002,0.053,0.441,0.087,78.34870,-65.48033
A,1119,214.025,345.790,19.341,0.011,0.025,0.019,78.34456,-65.47994
A,1139,203.374,350.101,23.132,0.111,0.497,0.175,78.34221,-65.47952
A,6492,219.219,341.981,21.144,0.032,0.321,0.041,78.34570,-65.48029
A,1215,210.605,364.009,20.031,0.018,0.205,0.023,78.34386,-65.47825
A,1216,207.571,365.710,20.525,0.020,0.168,0.028,78.34319,-65.47809
A,1217,203.428,369.865,23.372,0.156,0.713,0.226,78.34229,-65.47770
A,1167,242.376,355.331,21.717,0.044,0.421,0.059,78.35088,-65.47910
A,1187,236.610,359.429,21.453,0.036,0.192,0.053,78.34962,-65.47871
A,1222,227.629,364.592,22.945,0.113,0.843,0.181,78.34764,-65.47822
A,1172,247.120,363.357,22.417,0.059,0.487,0.092,78.35197,-65.47836
A,1263,242.684,376.774,20.290,0.015,0.235,0.023,78.35103,-65.47712
A,1271,228.459,377.565,19.330,0.010,0.060,0.015,78.34787,-65.47703
A,1287,234.588,383.313,20.879,0.019,0.335,0.031,78.34925,-65.47650
A,4403,244.131,369.086,20.707,0.021,0.335,0.033,78.35132,-65.47783
A,6512,238.247,374.900,20.531,0.044,0.233,0.056,78.35004,-65.47729
A,1266,213.130,375.435,20.587,0.015,0.336,0.026,78.34446,-65.47720
A,1320,205.166,388.812,20.896,0.025,0.209,0.032,78.34274,-65.47596
A,4410,225.023,370.807,20.880,0.022,0.280,0.030,78.34708,-65.47764
A,1323,218.698,390.566,22.532,0.059,0.407,0.086,78.34575,-65.47581
A,1324,213.485,392.330,20.955,0.023,0.156,0.031,78.34460,-65.47564
A,4474,220.919,382.473,22.356,0.048,0.518,0.093,78.34621,-65.47656
A,4509,225.913,393.641,19.514,0.014,0.008,0.018,78.34736,-65.47554
A,4517,217.056,397.098,20.143,0.017,0.229,0.029,78.34541,-65.47521
A,774,377.303,294.367,22.301,0.058,0.497,0.103,78.38064,-65.48490
A,4189,369.470,299.626,21.097,0.031,0.169,0.047,78.37892,-65.48441
A,4190,365.190,301.269,18.494,0.010,-0.031,0.014,78.37798,-65.48425
A,7348,372.442,286.207,20.584,0.051,0.254,0.062,78.37954,-65.48565
A,7350,373.444,290.685,22.166,0.056,0.302,0.078,78.37977,-65.48524
B,3440,362.545,296.942,22.262,0.059,0.671,0.092,78.37737,-65.48464
B,6756,363.869,293.465,22.481,0.092,0.769,0.173,78.37766,-65.48497
B,7019,355.900,303.012,18.418,0.023,0.878,0.026,78.37592,-65.48408
A,956,373.285,311.268,22.495,0.066,0.354,0.129,78.37981,-65.48334
A,1002,367.838,315.662,17.972,0.010,-0.037,0.014,78.37861,-65.48293
A,4278,360.424,327.780,19.225,0.018,0.814,0.029,78.37701,-65.48180
A,6449,373.372,305.289,20.612,0.021,0.348,0.030,78.37981,-65.48389
B,3462,374.443,302.575,22.809,0.070,1.029,0.156,78.38004,-65.48414
B,3485,369.366,309.041,22.932,0.079,0.555,0.130,78.37893,-65.48354
B,3489,375.870,311.228,21.550,0.029,0.617,0.042,78.38038,-65.48334
B,3506,364.768,315.479,19.386,0.020,0.141,0.024,78.37793,-65.48294
A,4253,341.940,324.309,21.465,0.056,0.174,0.091,78.37289,-65.48209
A,7435,341.602,321.174,18.840,0.011,0.020,0.016,78.37280,-65.48238
A,8790,337.559,326.403,23.027,0.114,0.192,0.166,78.37192,-65.48189
B,775,347.604,308.075,20.867,0.023,0.350,0.030,78.37409,-65.48360
B,3502,352.105,314.539,21.328,0.028,0.545,0.040,78.37511,-65.48301
B,5526,348.674,303.780,19.375,0.020,0.386,0.023,78.37432,-65.48399
B,7018,352.755,302.071,20.945,0.072,0.841,0.088,78.37522,-65.48416
A,1026,355.911,323.235,21.794,0.063,0.334,0.090,78.37599,-65.48221
A,1056,349.813,333.845,22.255,0.107,0.017,0.153,78.37467,-65.48122
A,4310,345.354,338.458,19.583,0.013,0.018,0.018,78.37370,-65.48079
A,7443,349.548,330.010,18.533,0.011,0.005,0.016,78.37460,-65.48158
A,10308,339.312,340.838,20.845,0.021,0.186,0.033,78.37236,-65.48056
B,831,353.197,319.490,22.327,0.034,0.489,0.075,78.37537,-65.48255
B,863,352.425,326.887,22.825,0.067,0.332,0.095,78.37523,-65.48187
A,1079,378.624,333.733,21.057,0.033,0.294,0.059,78.38107,-65.48127
A,7462,362.634,338.830,22.626,0.076,0.452,0.139,78.37753,-65.48078
A,8788,380.402,321.077,21.725,0.037,0.448,0.066,78.38142,-65.48244
A,9377,370.537,338.102,18.371,0.012,-0.055,0.016,78.37929,-65.48086
A,9378,367.822,339.867,20.321,0.048,0.144,0.058,78.37869,-65.48069
A,12167,368.169,337.624,20.958,0.101,0.259,0.128,78.37876,-65.48090
B,861,375.849,325.194,21.406,0.036,0.981,0.050,78.38042,-65.48206
B,864,365.645,327.090,20.958,0.023,0.509,0.033,78.37816,-65.48187
A,4301,377.779,341.367,19.450,0.014,-0.007,0.019,78.38091,-65.48057
A,4362,373.110,355.420,22.100,0.046,0.345,0.063,78.37992,-65.47927
A,7459,379.462,336.527,19.793,0.018,0.029,0.025,78.38126,-65.48102
A,7463,366.135,344.457,20.662,0.021,0.125,0.028,78.37833,-65.48027
A,7464,364.462,349.943,21.789,0.042,0.321,0.062,78.37798,-65.47976
A,7504,383.297,346.531,20.279,0.026,0.191,0.046,78.38215,-65.48010
A,9379,370.420,342.201,19.757,0.016,0.039,0.021,78.37927,-65.48048
A,12188,371.148,346.006,22.018,0.059,0.394,0.088,78.37945,-65.48013
A,1092,359.821,346.253,21.331,0.032,0.356,0.045,78.37693,-65.48009
A,4294,356.917,334.415,22.071,0.046,0.408,0.076,78.37625,-65.48118
A,7499,354.674,343.318,21.569,0.043,0.428,0.066,78.37578,-65.48036
A,7500,352.310,345.214,21.384,0.035,0.303,0.057,78.37526,-65.48018
A,9645,352.128,351.677,20.042,0.019,0.152,0.029,78.37524,-65.47958
A,10429,346.638,352.411,18.998,0.022,0.196,0.032,78.37403,-65.47951
A,10430,343.882,352.847,18.394,0.013,0.020,0.018,78.37342,-65.47946
A,12187,340.722,346.235,21.270,0.087,0.116,0.136,78.37269,-65.48007
A,1093,363.311,353.691,21.184,0.025,0.249,0.041,78.37773,-65.47941
A,1094,359.095,353.948,19.684,0.014,0.103,0.020,78.37680,-65.47938
A,1214,361.119,363.931,20.567,0.020,0.101,0.028,78.37728,-65.47847
A,8806,350.015,357.482,19.787,0.018,-0.007,0.025,78.37480,-65.47904
A,8807,348.902,363.884,21.750,0.037,0.240,0.058,78.37457,-65.47845
A,10094,348.795,359.950,21.618,0.056,0.201,0.084,78.37453,-65.47882
A,1017,328.494,320.591,20.361,0.019,0.081,0.028,78.36989,-65.48242
A,1077,328.978,333.572,19.354,0.014,0.007,0.018,78.37004,-65.48122
A,4317,315.523,340.858,18.169,0.009,-0.046,0.014,78.36708,-65.48053
A,7422,334.288,317.322,21.369,0.081,0.639,0.095,78.37117,-65.48273
A,1078,337.187,337.222,20.528,0.020,0.246,0.028,78.37188,-65.48090
A,1142,319.671,351.774,22.274,0.056,0.307,0.110,78.36804,-65.47953
A,7450,335.126,333.644,20.499,0.024,0.031,0.029,78.37141,-65.48122
A,7502,319.520,345.811,22.133,0.085,0.263,0.123,78.36798,-65.48008
A,1112,301.162,341.673,21.395,0.030,0.294,0.045,78.36389,-65.48044
A,6495,299.984,346.593,21.495,0.055,0.412,0.084,78.36365,-65.47998
A,6498,298.990,355.585,19.468,0.016,0.023,0.022,78.36346,-65.47915
A,9651,301.466,354.713,21.627,0.062,0.255,0.089,78.36400,-65.47923
A,12200,300.853,351.461,21.893,0.067,0.510,0.111,78.36386,-65.47953
A,1141,315.344,350.404,22.700,0.086,0.357,0.130,78.36707,-65.47965
A,1164,308.998,355.215,20.234,0.020,0.051,0.026,78.36568,-65.47920
A,1165,312.592,356.988,20.206,0.019,0.300,0.031,78.36648,-65.47904
A,1166,316.094,357.301,21.663,0.040,0.372,0.075,78.36726,-65.47902
A,1224,297.804,365.110,20.627,0.019,0.186,0.030,78.36323,-65.47827
A,4388,308.822,363.457,18.730,0.012,-0.049,0.016,78.36567,-65.47844
A,7569,301.416,371.036,20.725,0.062,-0.168,0.083,78.36405,-65.47773
A,9663,307.051,368.828,16.655,0.010,1.160,0.015,78.36529,-65.47794
A,1221,325.407,371.312,20.465,0.020,0.330,0.053,78.36938,-65.47774
A,8810,341.661,359.786,18.988,0.011,0.023,0.016,78.37295,-65.47882
A,8818,320.457,366.812,21.798,0.170,-0.827,0.215,78.36826,-65.47814
A,9644,339.073,352.326,16.236,0.011,0.674,0.016,78.37235,-65.47951
A,10697,338.743,346.628,19.289,0.044,0.063,0.089,78.37226,-65.48003
A,12205,337.394,353.807,19.953,0.103,2.210,0.282,78.37198,-65.47937
A,12207,340.987,354.644,20.836,0.142,0.800,0.189,78.37278,-65.47929
A,12232,327.644,365.045,21.608,0.062,1.020,0.162,78.36985,-65.47832
A,12238,325.834,366.308,21.310,0.062,0.125,0.081,78.36946,-65.47820
A,1229,338.977,367.152,19.702,0.015,0.031,0.018,78.37238,-65.47814
A,4459,328.423,380.825,17.840,0.010,0.031,0.014,78.37008,-65.47686
A,7578,330.855,371.252,21.028,0.059,0.190,0.083,78.37059,-65.47775
A,7579,329.465,372.839,21.223,0.033,0.393,0.047,78.37028,-65.47760
A,7607,343.153,378.007,22.210,0.099,0.350,0.144,78.37334,-65.47714
A,8831,325.503,377.827,20.843,0.036,-0.002,0.046,78.36942,-65.47714
A,9671,322.477,376.088,21.560,0.040,0.487,0.062,78.36874,-65.47729
A,12286,323.094,382.510,21.936,0.064,0.356,0.084,78.36890,-65.47670
A,4392,318.263,364.475,17.013,0.008,-0.001,0.013,78.36777,-65.47836
A,4493,299.828,387.595,20.676,0.063,0.123,0.103,78.36375,-65.47620
A,6516,315.587,379.289,18.593,0.014,0.022,0.022,78.36722,-65.47699
A,7602,303.599,377.407,15.891,0.010,0.827,0.015,78.36456,-65.47714
A,8817,315.463,365.924,21.044,0.086,-0.388,0.144,78.36715,-65.47822
A,9672,310.465,378.584,21.194,0.048,-0.001,0.071,78.36608,-65.47705
A,12255,310.097,371.165,21.816,0.247,0.738,0.293,78.36598,-65.47773
A,12282,304.547,380.182,21.171,0.222,1.930,0.449,78.36478,-65.47689
A,1359,312.341,398.578,21.615,0.029,0.265,0.050,78.36657,-65.47520
A,4498,309.706,390.415,18.082,0.011,0.026,0.016,78.36596,-65.47595
A,7754,305.383,399.340,21.163,0.036,0.229,0.052,78.36503,-65.47512
A,8835,320.150,383.739,21.793,0.046,0.488,0.103,78.36825,-65.47658
A,1124,380.732,351.342,20.593,0.023,0.160,0.032,78.38160,-65.47965
A,1204,382.614,362.218,22.527,0.068,0.631,0.106,78.38205,-65.47865
A,1213,375.866,363.760,22.667,0.065,0.468,0.108,78.38056,-65.47850
A,7505,384.660,348.756,21.067,0.073,0.295,0.120,78.38246,-65.47990
A,1255,384.632,372.555,21.526,0.031,0.529,0.046,78.38253,-65.47770
A,1275,383.535,379.610,21.685,0.043,0.877,0.080,78.38231,-65.47705
A,1276,378.784,380.849,20.208,0.017,0.057,0.025,78.38126,-65.47693
A,4460,390.913,376.801,20.754,0.021,0.187,0.035,78.38394,-65.47732
A,7560,390.133,367.247,22.857,0.111,0.805,0.189,78.38374,-65.47820
A,8841,380.421,385.395,22.086,0.058,0.190,0.079,78.38164,-65.47651
A,1233,355.645,376.771,22.797,0.082,0.684,0.168,78.37611,-65.47727
A,4404,366.569,369.232,21.001,0.045,0.256,0.059,78.37851,-65.47798
A,4405,363.592,370.073,21.494,0.040,0.728,0.066,78.37785,-65.47790
A,4484,356.219,385.156,20.460,0.034,0.168,0.045,78.37627,-65.47650
A,7575,356.712,371.151,22.011,0.068,0.738,0.139,78.37633,-65.47779
A,7576,359.707,371.943,21.715,0.045,0.478,0.077,78.37700,-65.47772
A,1280,368.959,379.922,22.596,0.090,0.693,0.141,78.37908,-65.47700
A,1294,361.677,386.927,21.550,0.041,0.438,0.061,78.37748,-65.47635
A,1301,369.203,385.948,22.029,0.045,0.549,0.076,78.37915,-65.47645
A,1328,371.165,391.699,20.726,0.020,0.179,0.039,78.37961,-65.47592
A,1332,349.374,392.155,19.613,0.011,0.242,0.016,78.37477,-65.47585
A,1333,350.865,405.844,19.061,0.010,0.863,0.018,78.37515,-65.47459
A,4485,364.156,392.908,22.138,0.063,0.354,0.093,78.37805,-65.47580
A,7713,357.846,387.130,20.967,0.053,0.330,0.069,78.37663,-65.47632
A,7714,361.130,391.589,21.231,0.023,0.187,0.032,78.37738,-65.47591
