F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
B,6154,837.674,78.185,21.583,0.049,0.435,0.073,78.48225,-65.50542
A,197,815.392,73.902,20.441,0.021,0.415,0.026,78.47729,-65.50579
A,3480,829.511,59.076,21.672,0.039,0.250,0.054,78.48038,-65.50717
A,7160,819.149,65.226,20.011,0.021,0.089,0.026,78.47810,-65.50659
A,8691,833.292,65.023,18.596,0.029,-0.136,0.029,78.48124,-65.50663
A,10067,834.050,63.618,21.005,0.131,-3.480,0.131,78.48140,-65.50676
B,112,830.104,58.734,20.229,0.020,0.048,0.027,78.48051,-65.50721
B,144,820.262,74.176,21.553,0.030,0.797,0.053,78.47837,-65.50577
A,213,824.701,80.967,21.307,0.051,0.482,0.063,78.47938,-65.50515
A,244,818.559,95.947,22.950,0.116,0.679,0.198,78.47806,-65.50376
A,3555,823.387,90.519,22.162,0.052,0.580,0.105,78.47911,-65.50427
B,7505,824.487,78.371,19.826,0.045,0.168,0.046,78.47932,-65.50539
A,3362,782.804,3.640,21.330,0.026,0.390,0.047,78.46983,-65.51223
A,7117,792.381,1.655,21.050,0.045,0.226,0.096,78.47195,-65.51242
B,30,756.337,14.491,21.287,0.029,0.332,0.041,78.46398,-65.51120
B,5265,764.453,3.902,20.572,0.018,0.052,0.025,78.46575,-65.51218
A,3383,773.624,17.613,19.471,0.016,-0.036,0.018,78.46783,-65.51093
A,3389,766.105,20.747,21.967,0.055,0.487,0.077,78.46617,-65.51063
B,2830,769.063,19.019,20.115,0.015,0.343,0.025,78.46682,-65.51079
B,2840,760.637,23.342,20.291,0.018,0.018,0.024,78.46496,-65.51038
A,51,790.489,20.297,21.768,0.036,0.309,0.063,78.47159,-65.51070
A,52,793.975,24.809,20.151,0.047,0.103,0.074,78.47238,-65.51029
A,7130,795.387,23.114,21.534,0.151,0.327,0.306,78.47268,-65.51045
A,3420,796.274,35.466,22.784,0.089,-0.009,0.120,78.47292,-65.50931
A,6135,803.577,22.394,20.343,0.023,0.117,0.027,78.47450,-65.51052
B,2852,797.712,31.844,21.671,0.046,0.457,0.074,78.47323,-65.50965
B,2862,786.407,36.836,21.864,0.045,0.361,0.062,78.47073,-65.50917
A,7137,773.529,32.555,20.721,0.080,0.182,0.107,78.46785,-65.50955
A,7138,774.376,34.884,19.674,0.029,0.188,0.038,78.46805,-65.50934
A,8687,768.683,38.062,21.480,0.030,0.125,0.045,78.46679,-65.50904
B,2849,766.134,30.184,21.537,0.036,0.577,0.050,78.46620,-65.50976
A,6167,766.398,62.357,20.754,0.050,0.156,0.056,78.46636,-65.50679
B,78,777.388,42.402,20.365,0.019,0.147,0.027,78.46874,-65.50865
B,108,770.784,58.925,19.167,0.017,0.175,0.023,78.46732,-65.50712
B,2871,771.874,43.276,22.024,0.052,0.389,0.088,78.46752,-65.50856
B,6148,774.978,47.936,20.410,0.021,0.403,0.028,78.46822,-65.50813
B,6149,773.025,56.631,18.960,0.021,0.075,0.024,78.46782,-65.50733
B,7601,771.221,52.578,22.072,0.058,0.313,0.087,78.46740,-65.50770
A,58,732.787,22.527,23.009,0.098,0.567,0.174,78.45876,-65.51043
A,71,744.111,26.343,21.872,0.042,0.332,0.062,78.46129,-65.51009
A,7122,745.516,10.418,21.144,0.019,0.748,0.037,78.46156,-65.51156
B,35,735.709,17.473,22.205,0.052,0.362,0.093,78.45940,-65.51090
B,2823,750.617,16.955,22.289,0.059,0.482,0.091,78.46271,-65.51096
B,2844,739.281,25.967,21.142,0.022,0.507,0.038,78.46022,-65.51012
B,7546,753.564,6.758,18.913,0.015,0.067,0.020,78.46334,-65.51191
B,60,743.771,30.841,22.420,0.065,0.404,0.113,78.46123,-65.50967
B,2863,743.004,38.133,19.626,0.019,-0.032,0.023,78.46108,-65.50900
B,2865,736.852,39.444,20.859,0.033,0.217,0.044,78.45972,-65.50887
B,6140,752.309,26.391,22.015,0.062,0.329,0.084,78.46312,-65.51009
A,81,725.030,31.331,22.038,0.042,0.263,0.069,78.45707,-65.50960
A,89,733.458,33.701,19.970,0.013,0.822,0.022,78.45895,-65.50940
A,3412,711.215,34.448,20.171,0.015,-0.041,0.021,78.45400,-65.50930
B,65,717.703,34.668,22.632,0.083,0.605,0.127,78.45545,-65.50929
A,114,724.968,43.423,20.450,0.016,0.160,0.022,78.45709,-65.50849
A,162,721.352,60.077,21.352,0.034,0.283,0.047,78.45634,-65.50695
A,7145,717.179,47.669,21.652,0.033,0.757,0.050,78.45537,-65.50809
B,5307,718.373,60.030,20.824,0.017,0.265,0.026,78.45568,-65.50695
B,7610,716.146,57.079,22.243,0.057,0.531,0.086,78.45517,-65.50722
A,3472,747.969,56.602,20.253,0.017,0.133,0.023,78.46224,-65.50730
A,3476,758.476,58.299,19.986,0.018,0.139,0.022,78.46459,-65.50716
B,2921,756.390,58.665,21.133,0.047,0.510,0.060,78.46412,-65.50712
B,6152,746.690,76.332,20.814,0.023,0.223,0.039,78.46202,-65.50548
B,7627,745.653,73.544,22.168,0.051,0.219,0.103,78.46178,-65.50574
A,3503,719.081,67.013,22.320,0.064,0.482,0.088,78.45585,-65.50631
A,3506,729.485,67.279,22.286,0.063,0.412,0.081,78.45817,-65.50630
B,2943,732.722,67.892,22.321,0.058,0.600,0.089,78.45889,-65.50624
A,210,723.469,80.685,22.948,0.088,0.250,0.152,78.45687,-65.50505
A,3513,738.697,69.794,18.555,0.008,1.570,0.014,78.46022,-65.50607
A,6186,741.709,78.369,20.761,0.031,0.362,0.047,78.46092,-65.50529
A,6190,722.654,85.461,21.990,0.044,0.474,0.070,78.45671,-65.50461
B,2963,729.011,80.363,21.331,0.029,0.108,0.155,78.45810,-65.50509
B,2975,728.029,87.200,22.732,0.090,0.771,0.156,78.45791,-65.50446
B,5323,734.168,86.624,23.034,0.098,0.357,0.168,78.45927,-65.50452
A,151,795.638,55.853,21.653,0.035,0.447,0.055,78.47284,-65.50743
A,3434,800.987,41.524,22.277,0.069,0.335,0.096,78.47399,-65.50876
A,3457,799.204,50.247,20.987,0.022,0.684,0.032,78.47362,-65.50795
B,2876,804.093,45.705,21.528,0.031,0.641,0.049,78.47469,-65.50838
B,2901,804.991,53.347,21.863,0.033,0.269,0.053,78.47491,-65.50767
B,2908,790.158,55.477,19.231,0.014,0.885,0.021,78.47162,-65.50746
A,3474,805.688,56.742,22.256,0.040,0.415,0.083,78.47508,-65.50736
A,3493,807.362,63.023,22.835,0.088,0.048,0.122,78.47547,-65.50678
B,6998,802.922,70.426,22.033,0.066,0.327,0.078,78.47450,-65.50609
A,145,780.009,56.012,22.130,0.071,0.435,0.107,78.46937,-65.50740
A,3467,785.568,54.259,19.322,0.014,-0.053,0.017,78.47060,-65.50756
A,3527,767.306,78.479,20.609,0.020,0.068,0.024,78.46661,-65.50531
A,6168,770.514,67.738,20.555,0.032,0.223,0.042,78.46729,-65.50630
A,7157,779.921,64.486,21.433,0.070,0.497,0.100,78.46937,-65.50661
A,10421,770.851,62.242,17.710,0.018,1.200,0.020,78.46735,-65.50681
B,128,774.373,66.283,20.719,0.020,0.227,0.028,78.46814,-65.50644
A,3532,780.288,82.336,22.051,0.049,0.246,0.071,78.46951,-65.50497
A,3533,776.331,85.778,21.864,0.049,0.390,0.069,78.46864,-65.50465
A,3534,779.733,88.594,21.982,0.056,0.475,0.080,78.46940,-65.50439
A,7163,782.994,71.242,21.925,0.045,0.410,0.067,78.47008,-65.50600
A,6181,803.069,75.490,21.755,0.096,1.030,0.106,78.47455,-65.50563
A,10294,798.964,85.906,16.368,0.013,-0.086,0.014,78.47367,-65.50466
A,11839,797.542,82.157,22.086,0.179,2.460,0.485,78.47334,-65.50501
A,268,795.819,103.323,22.070,0.048,0.218,0.070,78.47302,-65.50305
A,6203,809.334,92.768,21.468,0.077,0.940,0.088,78.47600,-65.50404
B,2983,809.353,91.551,22.146,0.069,0.433,0.091,78.47600,-65.50415
A,219,782.470,91.624,21.092,0.023,0.200,0.032,78.47002,-65.50411
A,10423,774.076,97.746,18.109,0.011,-0.092,0.012,78.46817,-65.50354
B,201,778.501,97.021,22.736,0.094,0.758,0.160,78.46916,-65.50361
B,213,771.911,101.581,21.031,0.026,0.460,0.036,78.46770,-65.50318
B,231,773.519,109.516,21.563,0.050,0.393,0.066,78.46809,-65.50245
A,3592,788.998,109.002,22.706,0.058,0.403,0.134,78.47153,-65.50252
A,3595,782.706,109.715,21.382,0.038,0.389,0.055,78.47013,-65.50245
A,3611,788.862,116.750,18.537,0.010,0.085,0.012,78.47152,-65.50181
A,205,745.108,81.385,19.717,0.015,-0.045,0.018,78.46169,-65.50501
A,209,759.589,80.475,19.280,0.014,-0.049,0.016,78.46490,-65.50512
A,6175,758.313,71.819,22.162,0.048,0.320,0.074,78.46459,-65.50591
A,6195,747.196,87.737,22.055,0.055,0.339,0.074,78.46217,-65.50443
B,163,759.427,82.151,20.912,0.019,0.320,0.029,78.46487,-65.50496
B,2967,766.542,81.616,21.715,0.040,0.402,0.052,78.46645,-65.50502
B,2970,750.199,83.595,22.298,0.062,0.572,0.088,78.46282,-65.50482
B,2987,746.119,93.378,22.522,0.073,0.692,0.110,78.46195,-65.50391
B,5322,760.126,86.575,22.233,0.055,0.814,0.091,78.46504,-65.50455
A,3562,757.559,94.769,23.074,0.112,0.233,0.151,78.46449,-65.50379
B,214,763.194,102.230,20.309,0.015,0.097,0.018,78.46577,-65.50311
A,232,734.089,88.987,21.986,0.043,0.460,0.078,78.45926,-65.50430
A,237,740.611,91.598,20.994,0.019,0.061,0.027,78.46072,-65.50407
A,261,728.501,102.328,21.173,0.022,0.733,0.040,78.45806,-65.50306
A,262,724.472,105.503,22.415,0.051,0.447,0.106,78.45717,-65.50276
A,6207,745.348,94.533,22.414,0.059,0.509,0.104,78.46178,-65.50380
B,212,729.718,100.426,21.447,0.028,0.371,0.052,78.45832,-65.50324
B,2988,742.354,96.036,20.782,0.020,0.208,0.030,78.46112,-65.50366
B,2995,723.763,98.343,20.159,0.014,0.274,0.020,78.45699,-65.50342
B,5332,733.172,103.187,20.076,0.014,0.265,0.018,78.45910,-65.50299
A,267,745.494,102.845,21.197,0.025,0.327,0.036,78.46184,-65.50304
A,3586,742.205,109.587,22.661,0.095,0.625,0.144,78.46113,-65.50241
A,3617,734.774,119.646,21.220,0.025,0.206,0.039,78.45951,-65.50147
A,3630,729.680,126.433,20.917,0.021,0.204,0.034,78.45839,-65.50084
A,7195,743.671,106.568,22.226,0.058,0.372,0.082,78.46144,-65.50269
B,3031,727.740,114.159,18.176,0.008,1.142,0.013,78.45793,-65.50197
B,6716,736.571,106.527,20.367,0.017,0.240,0.024,78.45986,-65.50268
A,285,763.775,119.075,21.335,0.021,0.289,0.043,78.46595,-65.50156
A,3597,761.525,110.748,21.592,0.038,0.329,0.050,78.46542,-65.50233
A,6235,759.386,116.361,19.458,0.012,-0.049,0.015,78.46497,-65.50181
B,3032,757.758,114.277,20.155,0.013,0.268,0.017,78.46460,-65.50200
B,3044,754.513,122.046,20.575,0.015,0.241,0.021,78.46390,-65.50128
A,344,769.677,131.912,20.167,0.055,0.182,0.072,78.46730,-65.50038
A,3627,774.251,125.151,22.103,0.049,0.528,0.090,78.46830,-65.50101
A,8711,759.205,129.491,20.890,0.084,0.465,0.107,78.46497,-65.50059
A,10073,757.175,128.638,19.096,0.019,-0.018,0.029,78.46451,-65.50067
A,11894,757.277,132.120,21.706,0.074,0.366,0.107,78.46455,-65.50035
B,3049,773.728,124.061,21.638,0.031,0.635,0.056,78.46818,-65.50111
A,302,746.529,117.347,22.573,0.069,0.560,0.116,78.46211,-65.50170
A,3663,735.266,138.367,22.094,0.049,0.527,0.071,78.45967,-65.49975
B,3045,749.734,122.256,22.238,0.051,0.536,0.083,78.46284,-65.50125
B,3054,743.849,133.126,18.853,0.010,0.896,0.016,78.46156,-65.50024
B,5348,733.006,126.947,20.629,0.017,0.413,0.029,78.45914,-65.50080
B,6719,741.232,133.171,21.167,0.059,0.469,0.072,78.46098,-65.50023
B,7128,738.163,130.051,20.990,0.045,1.524,0.056,78.46029,-65.50052
B,7129,736.031,130.815,21.592,0.086,0.689,0.248,78.45982,-65.50044
B,7685,740.035,127.589,22.804,0.129,-0.025,0.163,78.46070,-65.50075
A,3672,748.206,140.582,22.716,0.095,0.054,0.122,78.46256,-65.49956
A,3699,746.903,148.947,21.625,0.035,0.374,0.058,78.46229,-65.49879
B,346,734.534,146.009,20.656,0.018,0.268,0.027,78.45953,-65.49904
B,3084,752.155,140.412,22.046,0.053,0.442,0.093,78.46343,-65.49958
B,3087,746.225,142.933,21.423,0.031,0.607,0.052,78.46212,-65.49934
A,6,611.786,2.284,22.783,0.099,0.329,0.132,78.43180,-65.51214
A,3369,616.246,7.773,21.758,0.042,0.501,0.063,78.43281,-65.51164
A,3370,613.867,10.353,21.489,0.030,0.367,0.048,78.43228,-65.51140
B,2806,615.276,3.739,22.174,0.053,0.191,0.082,78.43258,-65.51201
A,54,620.254,21.033,20.570,0.017,0.152,0.023,78.43374,-65.51042
B,2818,623.605,10.367,19.992,0.017,0.093,0.021,78.43445,-65.51141
B,2804,696.334,3.062,22.672,0.068,0.471,0.107,78.45060,-65.51218
A,3365,671.279,5.917,20.986,0.026,0.204,0.038,78.44504,-65.51188
B,2815,661.982,9.477,18.865,0.009,0.973,0.015,78.44298,-65.51154
B,6129,670.596,7.601,20.544,0.018,0.388,0.028,78.44489,-65.51172
A,38,675.778,14.575,21.510,0.035,0.777,0.062,78.44606,-65.51109
B,19,677.360,7.240,21.405,0.024,0.329,0.033,78.44639,-65.51177
B,5269,679.085,12.470,22.451,0.077,0.613,0.107,78.44679,-65.51129
B,6991,671.683,12.969,22.130,0.057,0.426,0.086,78.44515,-65.51123
A,6140,689.415,28.347,22.016,0.051,0.414,0.071,78.44914,-65.50984
B,6131,704.948,15.021,21.278,0.051,0.192,0.062,78.45255,-65.51108
B,6132,702.418,15.267,21.384,0.058,0.215,0.073,78.45199,-65.51106
A,68,702.769,25.743,22.854,0.088,0.072,0.122,78.45210,-65.51009
B,2833,705.319,22.076,22.162,0.049,0.459,0.081,78.45266,-65.51043
B,2858,698.897,36.149,21.795,0.032,0.232,0.051,78.45127,-65.50913
B,7597,691.117,46.485,22.887,0.078,0.825,0.183,78.44957,-65.50817
A,69,683.537,25.827,21.480,0.036,0.361,0.055,78.44782,-65.51006
B,57,685.959,29.990,20.245,0.018,0.406,0.023,78.44838,-65.50968
B,6695,676.047,24.509,18.825,0.020,0.889,0.028,78.44615,-65.51017
B,6696,677.458,26.754,18.020,0.017,1.182,0.025,78.44648,-65.50997
B,7235,673.391,28.699,21.380,0.035,0.308,0.055,78.44558,-65.50978
A,133,677.699,50.272,23.280,0.108,0.738,0.210,78.44660,-65.50780
A,6145,684.000,36.498,21.594,0.039,0.421,0.058,78.44796,-65.50908
B,101,680.142,53.614,21.512,0.037,0.404,0.062,78.44716,-65.50749
B,2906,670.989,54.525,21.356,0.023,0.316,0.037,78.44512,-65.50740
B,5281,683.773,36.925,21.664,0.036,0.498,0.055,78.44791,-65.50904
A,34,654.497,12.559,20.810,0.016,0.730,0.031,78.44133,-65.51125
A,6136,646.886,24.216,20.252,0.019,0.872,0.031,78.43967,-65.51016
B,33,654.812,16.711,21.110,0.031,0.269,0.042,78.44141,-65.51087
B,36,637.633,17.506,21.624,0.063,1.183,0.088,78.43759,-65.51077
A,70,653.081,26.313,20.378,0.019,0.084,0.025,78.44105,-65.50998
A,117,645.142,44.701,23.171,0.096,0.752,0.192,78.43935,-65.50827
A,3392,632.893,21.240,19.820,0.018,0.202,0.025,78.43655,-65.51042
A,3413,627.459,34.537,22.126,0.043,0.425,0.088,78.43538,-65.50919
A,3414,622.815,35.604,21.875,0.034,0.444,0.057,78.43435,-65.50908
B,6142,618.349,32.248,18.601,0.023,0.882,0.026,78.43335,-65.50939
A,158,628.162,58.704,21.613,0.034,0.433,0.056,78.43562,-65.50696
A,3424,636.208,36.914,21.556,0.022,0.268,0.041,78.43734,-65.50898
A,3442,624.148,44.525,23.112,0.102,0.464,0.166,78.43468,-65.50826
A,7141,632.051,38.616,20.500,0.021,0.202,0.031,78.43642,-65.50882
A,7142,630.886,41.864,21.440,0.038,0.171,0.052,78.43617,-65.50852
B,2893,619.952,51.433,17.772,0.007,0.011,0.008,78.43377,-65.50762
B,2913,626.126,57.838,22.023,0.037,0.930,0.121,78.43516,-65.50704
B,96,644.649,51.560,22.014,0.046,0.425,0.072,78.43926,-65.50764
B,2872,651.881,43.642,22.028,0.184,1.598,0.328,78.44084,-65.50838
B,2873,653.447,44.714,19.332,0.018,0.795,0.022,78.44119,-65.50828
B,5308,647.993,60.182,22.623,0.063,0.789,0.133,78.44003,-65.50685
A,183,647.826,72.551,21.526,0.029,0.175,0.051,78.44003,-65.50571
A,3498,661.185,65.016,21.175,0.034,0.350,0.049,78.44298,-65.50642
A,8692,664.549,64.652,22.139,0.058,0.312,0.085,78.44372,-65.50646
A,11828,659.536,67.130,21.754,0.073,0.218,0.089,78.44262,-65.50622
B,136,647.373,71.571,21.856,0.054,0.287,0.068,78.43993,-65.50580
B,2911,660.101,56.710,20.966,0.031,0.347,0.040,78.44271,-65.50718
A,184,622.888,70.672,19.624,0.014,0.003,0.020,78.43448,-65.50585
A,190,632.502,71.668,21.165,0.021,0.788,0.046,78.43662,-65.50577
A,3522,627.489,75.856,20.810,0.020,0.179,0.034,78.43552,-65.50538
A,6162,638.266,57.614,22.403,0.061,0.339,0.091,78.43786,-65.50707
B,114,637.051,59.931,22.207,0.062,0.801,0.088,78.43760,-65.50686
B,2914,628.754,62.817,21.568,0.029,0.627,0.052,78.43576,-65.50658
B,2915,623.010,63.267,22.245,0.066,0.535,0.084,78.43449,-65.50653
A,231,632.167,88.371,22.243,0.055,0.408,0.089,78.43660,-65.50423
A,3511,645.362,69.774,19.686,0.012,-0.011,0.016,78.43948,-65.50596
A,3512,642.241,74.602,21.395,0.034,0.438,0.045,78.43880,-65.50551
A,7170,634.499,76.246,21.831,0.053,0.447,0.084,78.43708,-65.50535
A,7178,637.718,85.755,21.940,0.069,0.397,0.096,78.43783,-65.50448
