2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks
J10212124-0744387,12.718,0.608,5.01,11.968,0.592,11.697,0.525,g1021212-074439,1,,10.35590,-7.74414,16671,0.482,0.466,0.399,3.118,3.298,3.444,2.228,1.0,1359,9,5,16495,1.1531,1.2601,0,0,0
J10213507-3416004,8.548,1.553,3.46,7.857,1.542,7.583,1.541,g1021351-341601,1,p,10.35974,-34.26680,3170,0.734,0.723,0.722,2.826,2.974,3.049,2.155,4.0,,,,,,,1,1,1
J10213733-0454122,13.110,0.480,3.76,12.386,0.440,12.203,0.327,g1021373-045412,1,,10.36037,-4.90339,16641,0.354,0.314,0.201,3.217,3.435,3.638,2.091,2.0,1534,17,8,16489,0.5980,4.4506,0,0,0
J10213767-0418462,12.293,0.835,5.88,11.712,0.760,11.434,0.737,g1021377-041847,1,p,10.36046,-4.31292,12084,0.585,0.510,0.487,2.804,3.038,3.120,2.232,2.0,1012,9,6,12173,1.4439,0.7711,1,1,1
J10214185-1128577,13.688,0.344,2.57,13.058,0.310,12.704,0.301,g1021419-112858,1,p,10.36163,-11.48275,11334,0.064,0.030,0.021,3.227,3.397,3.484,2.112,2.0,,,,,8.9909,0.0259,0,0,0
J10214520-1824398,12.455,0.601,5.73,11.713,0.607,11.390,0.595,g1021452-182440,1,,10.36256,-18.41097,8869,0.219,0.225,0.213,3.194,3.330,3.421,2.089,4.0,,,,,3.2732,0.1388,1,1,1
J10215155-0720407,13.621,0.492,5.31,13.016,0.402,12.517,0.475,g1021516-072041,1,p,10.36432,-7.34467,16521,0.367,0.277,0.350,2.988,3.258,3.216,2.152,0.0,,,,,1.6500,0.6286,0,0,0
J10215258-0500022,12.817,0.607,6.00,12.060,0.603,11.858,0.509,g1021526-050002,1,,10.36461,-5.00061,16641,0.481,0.477,0.383,3.080,3.239,3.412,2.339,0.0,1534,17,8,16489,0.5946,4.2867,0,0,0
J10215309-0721087,13.405,0.411,5.34,12.718,0.374,12.267,0.405,g1021531-072109,1,,10.36475,-7.35236,15742,0.266,0.229,0.260,3.231,3.429,3.455,2.303,1.5,,,,,1.6694,0.5949,1,1,1
J10215586-0453252,11.722,0.835,4.19,11.072,0.807,10.698,0.802,g1021559-045325,1,p,10.36552,-4.89028,16581,0.709,0.681,0.676,3.062,3.226,3.290,2.444,1.0,1534,17,8,16489,0.3763,10.7055,0,0,0
J10220706-1135047,12.263,0.800,6.00,11.679,0.662,11.632,0.469,g1022071-113505,1,p,10.36863,-11.58458,11364,0.521,0.383,0.190,2.885,3.245,3.577,2.331,1.0,,,,,9.7670,0.0169,1,1,1
J10220873-0504257,12.885,0.513,6.00,12.261,0.465,12.005,0.375,g1022087-050426,1,p,10.36909,-5.07383,12084,0.263,0.215,0.125,3.213,3.409,3.616,2.068,3.5,1012,9,6,12173,1.3707,0.8145,1,1,1
J10220959-0536367,13.219,0.592,3.12,12.427,0.607,12.340,0.461,g1022096-053637,1,,10.36932,-5.61022,11335,0.312,0.327,0.181,2.915,3.053,3.309,2.251,4.0,,,,,1.7307,0.5209,1,1,1
J10221353-0842058,13.423,0.664,4.15,12.569,0.710,12.177,0.790,g1022135-084206,1,p,10.37043,-8.70158,16611,0.541,0.587,0.667,2.722,2.820,2.721,2.188,3.5,,,,,1.9463,0.4617,0,0,0
J10221988-8026241,13.252,0.559,3.85,12.726,0.480,12.423,0.462,g1022200-802624,1,p,10.37222,-80.44003,12096,0.306,0.227,0.209,3.003,3.211,3.287,2.120,0.0,,,,,8.3642,0.0219,0,0,0
J10222771-0344064,13.294,0.425,5.15,12.774,0.291,12.037,0.579,g1022277-034406,1,p,10.37436,-3.73511,16491,0.299,0.165,0.453,3.253,3.577,3.200,2.313,0.0,,,,,2.5908,0.2258,0,0,0
J10223613-0337124,12.309,0.661,4.88,11.581,0.681,11.431,0.560,g1022361-033712,1,p,10.37671,-3.62003,9715,0.317,0.337,0.216,3.131,3.235,3.473,2.339,0.0,,,,,2.9086,0.1758,1,1,1
J10230384-0337151,12.069,0.696,6.00,11.081,0.938,10.698,1.041,g1023039-033715,1,p,10.38441,-3.62094,9805,0.356,0.598,0.701,3.158,2.921,2.804,2.390,4.0,,,,,2.7529,0.1927,1,1,1
