2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks
J00001440-7652248,13.177,0.605,5.43,12.490,0.503,12.206,0.401,g0000144-765225,1,p,0.00399,-76.87364,15941,0.465,0.363,0.261,2.940,3.266,3.489,2.137,2.2,,,,,4.2758,0.1176,1,1,1
J00002213-0137463,12.625,0.312,4.52,11.896,0.278,11.741,0.201,g0000222-013746,1,p,0.00615,-1.62947,11123,0.024,-0.010,-0.087,3.708,3.921,4.067,2.338,2.5,,,,,6.4318,0.0385,1,1,1
J00002348-0656103,12.595,0.638,6.00,11.857,0.665,11.869,0.428,g0000235-065610,1,p,0.00652,-6.93619,10920,0.343,0.370,0.133,3.067,3.161,3.562,2.219,3.7,,,,,6.2142,0.0448,1,1,1
J00002509-2602401,12.495,0.538,3.59,11.781,0.505,11.553,0.477,g0000251-260240,1,p,0.00697,-26.04450,14926,0.371,0.338,0.310,3.328,3.531,3.592,2.369,2.3,,,,,3.2827,0.1434,1,1,1
J00003564-0145472,12.242,0.800,3.24,11.605,0.770,11.281,0.804,g0000356-014547,1,p,0.00990,-1.76317,6956,0.316,0.286,0.320,2.859,3.029,3.040,2.144,3.0,,,,,3.8994,0.1036,1,1,1
J00003574-4034323,13.443,0.493,2.22,12.849,0.426,12.442,0.436,g0000358-403432,1,p,0.00993,-40.57561,14746,0.322,0.255,0.265,3.035,3.260,3.318,2.189,2.8,,,,,1.7626,0.4926,1,1,1
J00004283-7217148,12.942,0.544,3.89,12.187,0.559,11.898,0.600,g0000428-721715,1,p,0.01189,-72.28741,10366,0.227,0.242,0.283,3.112,3.238,3.205,2.209,3.0,,,,,12.0403,0.0104,1,1,1
J00004596-8158024,12.958,0.446,3.43,12.276,0.381,11.809,0.407,g0000459-815803,1,p,0.01275,-81.96741,12646,0.211,0.146,0.172,3.354,3.595,3.645,2.336,3.0,,,,,8.6686,0.0311,1,1,1
J00004816-5511192,13.018,0.660,0.82,12.218,0.690,11.869,0.739,g0000482-551119,1,,0.01338,-55.18869,9515,0.307,0.337,0.386,2.839,2.955,2.935,2.156,2.5,,,,,3.2875,0.1339,0,0,0
J00005234-3550370,12.127,0.832,5.38,11.490,0.770,11.134,0.821,g0000523-355037,1,p,0.01454,-35.84367,15324,0.658,0.596,0.647,2.884,3.115,3.071,2.402,0.0,1261,11,4,14646,1.2718,1.0467,1,1,1
J00005317-3559104,12.445,0.671,4.14,11.620,0.743,11.488,0.651,g0000532-355911,1,p,0.01477,-35.98631,14725,0.497,0.569,0.477,3.079,3.118,3.269,2.340,0.0,1261,11,4,14646,1.2351,1.1099,1,1,1
J00005579-2554210,12.820,0.671,5.17,12.170,0.610,11.899,0.584,g0000558-255421,2,,0.01549,-25.90581,14835,0.502,0.441,0.415,2.930,3.165,3.239,2.244,3.8,,,,,2.8016,0.1931,1,1,1
J00010098-4345156,13.102,0.589,3.70,12.496,0.523,12.032,0.644,g0001010-434516,1,p,0.01694,-43.75431,11553,0.317,0.251,0.372,2.960,3.189,3.062,2.159,2.5,991,5,4,11551,0.8487,2.1663,1,1,1
J00010107-4351356,13.466,0.671,6.00,12.823,0.642,12.537,0.634,g0001011-435136,1,p,0.01696,-43.85992,11554,0.399,0.370,0.362,2.650,2.820,2.880,2.185,0.0,991,5,4,11551,1.0600,1.4910,1,1,1
J00010597-5359303,11.485,0.804,4.03,10.811,0.767,10.479,0.786,g0001060-535931,1,p,0.01833,-53.99181,9238,0.439,0.402,0.421,3.162,3.362,3.397,2.368,0.8,,,,,4.2307,0.0780,1,1,1
J00013295-0726099,12.260,0.821,6.00,11.648,0.766,11.301,0.828,g0001330-072610,1,p,0.02582,-7.43614,8493,0.421,0.366,0.428,2.820,3.029,2.986,2.113,2.0,579,1,1,8508,4.7827,0.0732,1,1,1
J00013415-3619001,12.430,0.545,6.00,11.762,0.526,11.293,0.652,g0001341-361900,1,p,0.02615,-36.31675,14397,0.364,0.345,0.471,3.335,3.493,3.345,2.283,2.8,,,,,1.4409,0.7300,1,1,1
J00013605-1444548,11.915,0.945,5.07,11.256,0.950,10.908,0.972,g0001361-144455,1,p,0.02668,-14.74867,10966,0.651,0.656,0.678,2.725,2.832,2.858,2.284,4.0,,,,,8.2851,0.0318,1,1,1
J00014527-0420489,12.812,0.711,3.53,12.087,0.748,11.913,0.647,g0001453-042049,1,,0.02925,-4.34694,14005,0.518,0.555,0.454,2.858,2.924,3.111,2.212,2.8,,,,,14.9982,0.0067,1,1,1
J00021772-4345168,13.605,0.382,4.75,13.087,0.199,12.751,0.266,g0002177-434517,1,p,0.03826,-43.75467,12033,0.127,-0.056,0.011,3.175,3.603,3.531,2.224,3.0,,,,,1.0016,2.5587,1,0,0
J00021977-4352198,13.600,0.446,5.22,12.813,0.465,12.636,0.441,g0002198-435220,1,,0.03883,-43.87211,11344,0.174,0.193,0.169,3.046,3.178,3.226,2.210,1.7,991,5,4,11551,1.1585,1.3789,1,1,0
J00022478-5445592,13.294,0.594,2.48,12.648,0.571,12.499,0.510,g0002248-544560,1,p,0.04021,-54.76653,9603,0.266,0.243,0.182,2.864,3.024,3.142,2.182,3.5,741,4,3,10096,1.8676,0.4305,1,1,1
J00023914-3846268,13.444,0.224,4.97,12.702,0.283,12.352,0.262,g0002391-384627,1,,0.04420,-38.77414,14858,0.056,0.115,0.094,3.575,3.607,3.702,2.371,1.7,,,,,4.1292,0.0872,1,1,1
J00024122-8102029,13.992,0.298,4.17,13.179,0.286,12.807,0.307,g0002411-810203,1,,0.04475,-81.03406,16207,0.165,0.153,0.174,3.239,3.432,3.441,2.218,2.5,,,,,,,0,0,0
J00024412-4358019,12.552,0.527,5.70,11.993,0.411,11.670,0.363,g0002441-435802,1,p,0.04559,-43.96717,11615,0.255,0.139,0.091,3.303,3.614,3.769,2.312,2.0,991,5,4,11551,1.4207,0.7582,1,1,1
J00024429-5344549,12.398,0.699,6.00,11.651,0.703,11.319,0.738,g0002443-534455,1,p,0.04563,-53.74858,10287,0.400,0.404,0.439,3.018,3.164,3.159,2.333,3.7,826,3,5,10825,1.4920,0.6441,1,1,1
J00025470-3543194,12.471,0.672,5.74,11.759,0.666,11.625,0.508,g0002547-354319,1,p,0.04852,-35.72206,14365,0.498,0.492,0.334,3.066,3.216,3.501,2.380,1.8,1261,11,4,14646,1.0647,1.5098,1,1,1
J00030547-5402112,13.632,0.239,6.00,12.847,0.323,12.599,0.320,g0003055-540211,1,p,0.05153,-54.03642,10678,-0.060,0.024,0.021,3.443,3.445,3.483,2.144,0.2,826,3,5,10825,1.0098,1.5607,1,1,0
J00031127-5444588,11.148,0.834,3.53,10.529,0.776,10.176,0.810,g0003112-544458,1,p,0.05310,-54.74944,9633,0.506,0.448,0.482,3.242,3.462,3.471,2.523,1.3,741,4,3,10096,3.0378,0.1500,0,0,0
J00032129-3556222,13.280,0.389,4.55,12.615,0.311,12.245,0.326,g0003213-355622,1,p,0.05592,-35.93947,13946,0.215,0.137,0.152,3.308,3.583,3.616,2.289,1.0,1261,11,4,14646,1.2485,1.1220,1,1,1
J00032138-5004494,12.237,0.719,6.00,11.607,0.605,11.542,0.352,g0003214-500450,1,p,0.05593,-50.08050,10147,0.401,0.287,0.034,3.037,3.373,3.840,2.311,3.0,858,13,6,10352,1.1594,1.3768,1,1,1
J00034674-5514189,12.502,0.593,2.30,11.816,0.606,11.504,0.582,g0003468-551419,1,p,0.06299,-55.23861,9845,0.255,0.268,0.244,3.181,3.285,3.395,2.144,3.2,,,,,2.5035,0.2288,1,1,1
J00034871-4337058,12.385,0.880,4.77,11.689,0.863,11.366,0.915,g0003487-433706,1,p,0.06353,-43.61831,8795,0.494,0.477,0.529,2.646,2.816,2.783,2.095,4.0,,,,,9.1598,0.0181,1,1,1
J00035182-1206094,12.610,0.435,5.17,11.766,0.512,11.537,0.447,g0003518-120609,1,p,0.06440,-12.10256,12670,0.201,0.278,0.213,3.478,3.513,3.658,2.344,1.0,,,,,20.7649,0.0037,1,1,1
J00035710-6146566,12.981,0.411,6.00,12.602,0.192,12.195,0.219,g0003572-614657,1,p,0.06588,-61.78247,8774,0.024,-0.195,-0.168,3.347,3.793,3.844,2.297,0.0,,,,,5.0025,0.0589,1,1,1
J00040601-5134568,13.629,0.015,3.05,12.898,0.109,12.611,0.041,g0004060-513457,1,p,0.06834,-51.58250,10125,-0.312,-0.218,-0.286,3.888,3.848,4.035,2.362,2.0,,,,,1.5392,0.7464,1,0,0
J00041205-1431250,12.110,0.677,4.30,11.357,0.704,11.141,0.676,g0004121-143125,1,p,0.07002,-14.52367,6859,0.187,0.214,0.186,3.155,3.258,3.351,2.196,3.5,,,,,4.8751,0.0930,1,1,1
J00041814-2506060,13.081,0.602,1.78,12.425,0.517,11.963,0.552,g0004182-250606,1,,0.07171,-25.10175,14834,0.433,0.348,0.383,2.966,3.251,3.279,2.331,2.3,,,,,3.2743,0.1387,1,1,1
J00042841-5254136,13.447,0.318,4.11,12.681,0.327,12.432,0.346,g0004284-525414,1,p,0.07456,-52.90386,9053,-0.028,-0.019,0.000,3.352,3.497,3.496,2.265,1.3,663,2,2,9671,2.9499,0.1725,1,1,1
J00044222-3029007,11.127,0.820,6.00,10.507,0.771,10.184,0.807,g0004422-302901,1,p,0.07840,-30.48364,7718,0.383,0.334,0.370,3.264,3.467,3.471,2.392,2.2,450,2,1,7778,2.7522,0.2001,1,1,1
J00045169-5429144,11.679,0.739,5.24,11.015,0.711,10.739,0.678,g0004517-542914,1,,0.08103,-54.48730,10711,0.411,0.383,0.350,3.220,3.398,3.510,2.378,3.2,741,4,3,10096,3.2253,0.1366,1,1,1
J00045819-6001345,12.539,0.575,5.69,11.842,0.576,11.463,0.615,g0004582-600135,1,p,0.08284,-60.02625,8884,0.194,0.195,0.234,3.195,3.329,3.344,2.211,1.7,,,,,4.8621,0.0635,1,1,1
J00050371-5520325,12.716,0.511,5.09,12.062,0.488,11.966,0.373,g0005037-552033,1,p,0.08436,-55.34236,11225,0.227,0.204,0.089,3.268,3.431,3.630,2.284,1.0,,,,,3.2028,0.1410,1,1,1
J00050534-5333071,13.632,0.268,3.39,13.085,0.167,12.763,0.202,g0005054-533307,1,p,0.08483,-53.55200,10226,-0.055,-0.156,-0.121,3.382,3.659,3.653,2.260,0.5,,,,,,,1,0,0
J00050967-5358015,13.024,0.483,6.00,12.124,0.695,11.983,0.535,g0005096-535801,1,,0.08601,-53.96706,10948,0.184,0.396,0.236,3.199,2.990,3.299,2.301,2.2,826,3,5,10825,1.2426,0.9456,1,1,1
J00051125-5020531,12.232,0.558,5.44,11.653,0.478,11.342,0.449,g0005112-502053,1,p,0.08646,-50.34808,10509,0.240,0.160,0.131,3.361,3.609,3.726,2.222,1.2,858,13,6,10352,0.8674,2.4598,1,1,1
J00051322-1130093,11.090,0.929,5.32,10.538,0.820,10.144,0.876,g0005132-113009,1,p,0.08701,-11.50258,6433,0.412,0.303,0.359,3.058,3.352,3.350,2.267,4.2,,,,,5.4438,0.0624,0,0,0
J00052708-1331368,13.308,0.369,3.10,12.616,0.334,12.373,0.279,g0005271-133137,1,,0.09086,-13.52697,11024,0.078,0.043,-0.012,3.319,3.520,3.657,2.229,2.0,,,,,9.6019,0.0196,1,1,1
J00052781-5034551,12.600,0.584,6.00,11.955,0.553,11.643,0.589,g0005279-503455,1,p,0.09107,-50.58194,10420,0.266,0.235,0.271,3.162,3.338,3.326,2.333,0.7,858,13,6,10352,0.5087,7.2371,1,1,1
J00053994-5349010,11.946,0.909,6.00,11.167,0.918,11.101,0.771,g0005400-534901,1,,0.09443,-53.81692,10857,0.610,0.619,0.472,2.778,2.927,3.180,2.391,1.5,826,3,5,10825,1.9800,0.3657,1,1,1
J00054453-1836506,13.440,0.379,5.65,12.778,0.299,12.567,0.217,g0005445-183651,2,,0.09570,-18.61414,15654,0.232,0.152,0.070,3.274,3.550,3.708,2.183,2.8,,,,,5.5112,0.0624,1,1,0
J00055690-1359448,12.127,0.689,2.25,11.413,0.644,11.310,0.545,g0005569-135945,1,,0.09914,-13.99575,5389,0.097,0.052,-0.047,3.117,3.349,3.545,2.063,2.0,,,,,7.0417,0.0446,1,1,1
J00055956-5316358,12.380,0.864,1.63,11.713,0.886,11.412,0.861,g0005596-531636,1,p,0.09988,-53.27661,9745,0.518,0.540,0.515,2.688,2.766,2.874,2.103,3.7,663,2,2,9671,1.7406,0.4733,1,1,1
J00060356-5213078,11.350,0.716,3.92,10.647,0.709,10.360,0.674,g0006036-521308,1,p,0.10099,-52.21881,9919,0.381,0.374,0.339,3.396,3.547,3.669,2.468,1.0,,,,,2.4066,0.2642,1,1,1
J00060842-5038498,12.397,0.637,4.38,11.668,0.627,11.409,0.634,g0006084-503850,1,p,0.10234,-50.64725,10001,0.319,0.309,0.316,3.137,3.305,3.329,2.299,1.5,858,13,6,10352,0.5869,5.3733,1,1,1
J00061530-5246408,11.600,0.783,5.15,10.980,0.721,10.649,0.737,g0006153-524641,1,p,0.10425,-52.77803,10702,0.479,0.417,0.433,3.168,3.395,3.428,2.400,1.7,,,,,2.0680,0.3293,1,1,1
J00061637-5908413,13.651,0.229,5.60,12.976,0.255,12.516,0.359,g0006163-590842,1,p,0.10454,-59.14486,10258,-0.092,-0.066,0.038,3.451,3.525,3.437,2.148,1.0,,,,,4.1366,0.0959,0,0,1
J00062844-0342581,10.354,1.034,3.23,9.685,1.008,9.450,0.983,g0006285-034258,1,p,0.10791,-3.71614,5851,0.476,0.450,0.425,3.141,3.315,3.414,2.347,3.3,,,,,4.8444,0.0622,1,1,1
J00062878-5349382,12.993,0.518,6.00,12.420,0.412,12.043,0.481,g0006288-534938,1,p,0.10800,-53.82730,10828,0.219,0.113,0.182,3.142,3.438,3.383,2.168,0.8,826,3,5,10825,1.6357,0.5508,1,1,1
J00062973-3218489,13.783,0.323,2.93,12.933,0.366,12.690,0.402,g0006297-321849,1,p,0.10826,-32.31364,13152,0.105,0.148,0.184,3.231,3.338,3.285,2.109,2.0,,,,,5.3503,0.0670,0,0,0
J00063171-1228514,13.259,0.427,1.89,12.555,0.435,12.250,0.402,g0006317-122851,1,p,0.10881,-12.48094,13960,0.233,0.241,0.208,3.243,3.359,3.464,2.177,2.0,,,,,15.4118,0.0061,1,1,1
J00063271-5210412,13.215,0.579,3.09,12.428,0.558,12.412,0.386,g0006327-521041,1,p,0.10909,-52.17808,10339,0.261,0.240,0.068,2.927,3.140,3.425,2.118,2.0,,,,,1.5821,0.6555,1,1,1
J00063790-5311542,13.403,0.643,4.15,12.703,0.679,12.588,0.579,g0006379-531154,1,p,0.11054,-53.19842,10914,0.347,0.383,0.283,2.728,2.791,2.969,2.088,0.5,,,,,2.5110,0.2550,1,1,0
J00064296-6043467,13.102,0.433,6.00,12.578,0.298,12.059,0.413,g0006430-604346,1,p,0.11194,-60.72956,10687,0.129,-0.006,0.109,3.266,3.602,3.512,2.228,2.3,,,,,7.3452,0.0268,1,1,1
J00064837-5106122,12.926,0.459,5.92,12.285,0.377,11.921,0.400,g0006484-510613,1,p,0.11343,-51.10347,10093,0.141,0.059,0.082,3.282,3.558,3.593,2.257,1.8,858,13,6,10352,0.9250,1.9788,1,1,1
J00065269-5024542,11.239,1.029,5.89,10.523,1.030,10.337,0.975,g0006527-502454,1,p,0.11464,-50.41511,9910,0.711,0.712,0.657,2.817,2.958,3.077,2.388,2.0,858,13,6,10352,0.7330,3.3663,1,1,1
J00073031-6109257,12.712,0.600,4.54,12.069,0.567,11.443,0.813,g0007303-610926,1,p,0.12508,-61.15708,8801,0.215,0.182,0.428,3.076,3.256,2.957,2.090,3.0,,,,,5.4598,0.0481,1,1,1
J00073247-5331390,13.443,0.473,6.00,12.487,0.670,12.487,0.407,g0007325-533139,1,p,0.12568,-53.52756,10796,0.173,0.370,0.107,3.051,2.895,3.354,2.157,0.7,,,,,1.9594,0.3874,1,1,1
J00074464-0156451,12.934,0.665,4.95,12.317,0.583,11.996,0.558,g0007446-015645,1,p,0.12906,-1.94586,10976,0.372,0.290,0.265,2.877,3.141,3.250,2.138,2.0,,,,,4.8623,0.0765,1,1,1
J00074860-5446297,12.598,0.530,6.00,11.864,0.541,11.733,0.476,g0007486-544630,1,p,0.13017,-54.77486,9394,0.172,0.183,0.118,3.265,3.393,3.515,2.124,0.5,,,,,3.1121,0.1480,1,1,1
J00075267-4847599,13.208,0.368,5.49,12.557,0.328,12.246,0.347,g0007527-484800,1,p,0.13129,-48.80006,10561,0.059,0.019,0.038,3.353,3.549,3.570,2.146,1.0,,,,,2.7942,0.1887,1,1,1
J00082488-0513044,13.288,0.606,6.00,12.662,0.529,12.383,0.561,g0008249-051305,1,p,0.14025,-5.21792,11280,0.324,0.247,0.279,2.854,3.112,3.090,2.149,0.0,,,,,4.9828,0.0616,1,1,1
J00082585-0036314,13.648,0.529,4.43,13.070,0.449,12.712,0.494,g0008259-003631,1,p,0.14052,-0.60869,11784,0.265,0.185,0.230,2.870,3.113,3.093,2.134,1.8,,,,,6.1058,0.0569,1,0,0
J00083428-1056579,11.967,1.120,3.66,11.745,0.959,11.325,1.070,g0008343-105658,1,p,0.14286,-10.94936,8772,0.733,0.572,0.683,2.341,2.606,2.493,2.141,4.0,,,,,6.4833,0.0379,1,1,1
J00083487-1158504,13.464,0.650,6.00,12.801,0.643,12.725,0.392,g0008349-115851,1,,0.14302,-11.98072,16149,0.516,0.509,0.258,2.728,2.857,3.296,2.097,1.0,,,,,10.8089,0.0223,0,0,0
J00083620-5848043,13.601,0.365,4.02,12.868,0.377,12.698,0.328,g0008362-584804,1,p,0.14340,-58.80117,9117,-0.006,0.006,-0.043,3.192,3.318,3.425,2.192,2.5,,,,,2.9442,0.2267,1,0,0
J00084355-0659488,11.334,0.838,3.37,10.627,0.800,10.319,0.778,g0008435-065949,1,,0.14543,-6.99697,8075,0.417,0.379,0.357,3.152,3.366,3.478,2.220,3.8,,,,,5.3773,0.0556,0,0,0
J00084665-5659002,12.188,0.712,6.00,11.542,0.655,11.330,0.615,g0008466-565900,1,p,0.14629,-56.98333,8118,0.343,0.286,0.246,3.063,3.293,3.398,2.329,1.5,629,6,4,9152,5.4511,0.0483,1,1,1
J00085654-5349360,12.889,0.590,6.00,12.399,0.399,11.986,0.437,g0008566-534936,1,p,0.14904,-53.82672,12417,0.348,0.157,0.195,3.050,3.482,3.496,2.203,0.2,,,,,9.7544,0.0153,1,1,1
J00090044-0422301,13.644,0.465,1.40,13.032,0.443,12.776,0.463,g0009005-042230,1,p,0.15013,-4.37511,8761,0.078,0.056,0.076,2.978,3.122,3.125,2.093,1.2,,,,,,,1,0,0
J00090207-7949591,12.846,0.458,3.58,12.101,0.462,11.584,0.611,g0009021-794959,1,p,0.15057,-79.83303,11194,0.173,0.177,0.326,3.342,3.480,3.315,2.333,1.5,,,,,9.1555,0.0218,1,1,1
J00092634-3508249,12.865,0.399,5.59,12.126,0.427,11.527,0.608,g0009264-350825,1,p,0.15732,-35.14019,14514,0.220,0.248,0.429,3.454,3.547,3.340,2.363,1.2,1309,7,2,14487,0.7882,2.3078,1,1,1
J00095167-3518496,13.044,0.449,3.27,12.313,0.500,12.183,0.375,g0009517-351849,1,,0.16435,-35.31372,15384,0.270,0.321,0.196,3.282,3.325,3.543,2.297,2.0,1309,7,2,14487,0.6501,4.1389,1,1,1
J00101607-0043501,13.134,0.459,5.06,12.363,0.498,11.996,0.559,g0010161-004350,1,p,0.17113,-0.73058,11455,0.184,0.223,0.284,3.214,3.296,3.249,2.212,2.0,,,,,6.6478,0.0364,1,1,1
J00101628-3651479,13.002,0.378,2.45,12.306,0.362,11.983,0.414,g0010163-365148,1,p,0.17120,-36.86325,8226,-0.028,-0.044,0.008,3.402,3.569,3.538,2.050,2.8,578,2,1,8386,4.6709,0.0701,0,0,0
J00101852-5706369,12.493,0.937,4.07,11.870,0.911,11.485,0.967,g0010185-570637,1,p,0.17181,-57.11022,9138,0.568,0.542,0.598,2.492,2.650,2.632,2.128,4.0,629,6,4,9152,1.1054,1.3290,1,1,1
J00102343-0705039,11.887,0.629,6.00,11.195,0.603,10.875,0.646,g0010234-070504,1,p,0.17317,-7.08444,5948,0.078,0.052,0.095,3.334,3.520,3.516,2.155,2.2,,,,,4.0665,0.0859,1,1,1
J00103924-5648124,12.062,0.902,4.84,11.387,0.908,11.103,0.914,g0010393-564813,1,p,0.17757,-56.80347,10335,0.584,0.590,0.596,2.742,2.856,2.892,2.170,3.7,,,,,1.3913,0.7407,1,1,1
J00104185-0427551,13.063,0.494,3.77,12.238,0.548,11.846,0.644,g0010418-042755,1,p,0.17829,-4.46533,11160,0.208,0.262,0.358,3.168,3.244,3.138,2.174,0.0,,,,,4.4596,0.0715,1,1,1
J00104278-2019288,12.794,0.601,5.95,12.068,0.596,11.831,0.536,g0010428-201929,1,p,0.17856,-20.32461,15661,0.454,0.449,0.389,3.088,3.240,3.364,2.347,1.0,,,,,4.8547,0.0614,1,1,1
J00104990-5102203,13.503,0.584,3.76,12.783,0.505,12.415,0.510,g0010499-510221,1,p,0.18054,-51.03903,14981,0.419,0.340,0.345,2.834,3.132,3.182,2.038,2.5,,,,,7.7561,0.0294,0,0,0
J00105160-2104516,13.724,0.334,3.44,12.899,0.425,12.634,0.377,g0010516-210452,1,,0.18100,-21.08111,7958,-0.094,-0.003,-0.051,3.200,3.205,3.352,2.065,0.0,,,,,6.7931,0.0401,0,0,0
J00110479-4132122,13.545,0.639,2.07,12.782,0.558,12.320,0.501,g0011048-413212,1,,0.18466,-41.53669,15353,0.484,0.403,0.346,2.707,3.027,3.237,2.033,3.7,,,,,4.6422,0.0703,0,0,0
J00111259-3334428,11.201,1.006,3.87,10.611,0.966,10.301,0.997,g0011126-333443,1,p,0.18683,-33.57856,7583,0.558,0.518,0.549,2.862,3.034,3.044,2.103,4.0,467,1,1,7581,3.6220,0.1093,1,1,1
J00112290-5657264,11.412,0.969,6.00,10.673,0.985,10.425,0.977,g0011229-565726,1,,0.18970,-56.95733,9617,0.600,0.616,0.608,2.860,2.981,3.036,2.394,2.2,629,6,4,9152,1.0189,1.3447,1,1,1
J00112685-0328255,13.128,0.649,6.00,12.226,0.794,11.948,0.741,g0011269-032826,1,p,0.19080,-3.47375,11100,0.360,0.505,0.452,2.835,2.758,2.905,2.301,3.0,,,,,4.1616,0.0813,1,1,1
J00114159-5655469,12.271,0.534,5.18,11.626,0.463,11.423,0.407,g0011416-565547,1,,0.19489,-56.92970,9167,0.165,0.094,0.038,3.386,3.643,3.777,2.408,2.5,629,6,4,9152,0.9365,1.6348,1,1,1
J00114362-1831032,13.311,0.290,2.16,12.523,0.309,12.166,0.237,g0011436-183103,1,p,0.19545,-18.51756,15656,0.143,0.162,0.090,3.506,3.634,3.829,2.392,2.7,,,,,6.4290,0.0389,1,1,1
J00115959-1931227,12.616,0.556,4.44,11.961,0.514,11.585,0.540,g0011596-193123,1,p,0.19989,-19.52297,15509,0.405,0.363,0.389,3.248,3.446,3.454,2.416,0.7,,,,,4.2489,0.0794,1,1,1
J00120604-0024543,11.529,0.743,4.95,10.789,0.759,10.542,0.762,g0012061-002455,1,p,0.20168,-0.41517,5100,0.127,0.143,0.146,3.244,3.365,3.416,2.155,2.7,,,,,5.7250,0.0501,1,1,1
J00121084-1929386,12.562,0.611,4.24,11.908,0.577,11.609,0.552,g0012109-192939,1,,0.20302,-19.49405,15689,0.465,0.431,0.406,3.161,3.342,3.421,2.387,1.3,,,,,4.4354,0.0793,1,1,1
J00121162-1055413,12.369,0.458,4.38,11.619,0.490,11.500,0.385,g0012116-105541,1,p,0.20323,-10.92814,5056,-0.162,-0.130,-0.235,3.479,3.572,3.788,2.194,2.0,,,,,6.2455,0.0400,1,1,1
J00121449-2711237,11.911,0.837,3.88,11.193,0.875,10.922,0.838,g0012145-271124,2,p,0.20403,-27.18992,10167,0.512,0.550,0.513,2.934,3.000,3.117,2.192,3.7,,,,,8.4641,0.0222,1,1,1
J00121874-3704432,12.624,0.629,4.61,12.008,0.510,11.630,0.522,g0012187-370444,1,p,0.20520,-37.07875,14973,0.464,0.345,0.357,3.095,3.432,3.472,2.361,2.3,,,,,4.7824,0.0616,1,1,1
J00123369-0002547,12.721,0.720,6.00,12.014,0.710,11.699,0.681,g0012337-000255,1,p,0.20936,-0.04850,11576,0.449,0.439,0.410,2.855,3.011,3.124,2.097,1.0,,,,,6.5261,0.0334,1,1,1
J00125069-0534590,13.415,0.514,6.00,12.917,0.359,12.610,0.391,g0012507-053459,1,,0.21408,-5.58308,11822,0.252,0.097,0.129,2.993,3.354,3.340,2.047,2.5,,,,,4.7811,0.0710,0,0,0
J00125928-0646232,12.622,0.398,4.16,11.733,0.472,11.501,0.392,g0012593-064623,1,p,0.21647,-6.77317,11494,0.124,0.198,0.118,3.539,3.599,3.781,2.476,1.3,,,,,4.4759,0.0709,1,1,1
J00130363-0543310,12.215,0.685,5.76,11.470,0.715,11.365,0.577,g0013036-054331,1,p,0.21768,-5.72531,11583,0.414,0.444,0.306,3.129,3.220,3.466,2.373,1.8,,,,,4.4128,0.0730,1,1,1
J00131545-4920271,11.926,0.923,1.73,11.257,0.908,10.969,0.903,g0013154-492027,1,p,0.22096,-49.34081,9786,0.582,0.567,0.562,2.751,2.905,2.967,2.130,3.2,,,,,2.6672,0.2015,1,1,1
J00131965-3730520,11.809,0.875,5.22,10.996,0.956,10.578,1.007,g0013197-373052,1,p,0.22212,-37.51450,15035,0.711,0.792,0.843,2.929,2.944,2.922,2.410,1.8,,,,,5.9713,0.0470,1,1,1
J00132078-0955213,12.621,0.379,5.31,11.813,0.432,11.640,0.387,g0013208-095522,1,p,0.22244,-9.92269,7842,-0.055,-0.002,-0.047,3.555,3.627,3.731,2.211,1.3,,,,,4.3136,0.0792,1,1,1
J00132422-1450251,12.755,0.633,4.91,12.088,0.656,11.872,0.568,g0013242-145025,1,p,0.22339,-14.84033,10461,0.320,0.343,0.255,3.007,3.082,3.278,2.130,0.5,,,,,9.2318,0.0210,1,1,1
J00132908-0647443,11.743,0.622,3.29,11.029,0.633,10.756,0.633,g0013291-064744,1,p,0.22475,-6.79564,7897,0.191,0.202,0.202,3.419,3.538,3.592,2.153,2.0,,,,,3.3775,0.1235,1,1,1
J00133269-1122073,12.322,0.767,2.46,11.642,0.762,11.327,0.774,g0013327-112207,1,p,0.22575,-11.36872,10663,0.462,0.457,0.469,2.918,3.053,3.086,2.035,2.0,,,,,8.5153,0.0215,0,0,0
J00133345-1251035,13.391,0.524,3.02,12.841,0.448,12.277,0.641,g0013335-125104,1,,0.22596,-12.85097,11026,0.233,0.157,0.350,2.976,3.202,2.972,2.068,3.0,,,,,10.2540,0.0140,0,0,0
J00133400-4136220,12.800,0.559,4.20,12.234,0.473,11.908,0.471,g0013340-413622,1,p,0.22612,-41.60614,11936,0.301,0.215,0.213,3.144,3.396,3.458,2.253,1.7,,,,,5.8238,0.0484,1,1,1
J00134779-0428303,11.753,0.928,2.40,11.061,0.910,10.730,0.916,g0013478-042830,1,,0.22994,-4.47511,10652,0.622,0.604,0.610,2.821,2.987,3.040,2.240,4.0,,,,,3.4524,0.1161,1,1,1
J00135307-1246455,12.822,0.515,6.00,12.316,0.365,11.992,0.384,g0013531-124645,1,p,0.23140,-12.77925,11206,0.230,0.080,0.099,3.222,3.579,3.600,2.155,0.0,,,,,10.4924,0.0133,1,1,1
J00141855-0659008,12.856,0.346,6.00,12.018,0.442,11.979,0.253,g0014186-065901,1,p,0.23849,-6.98356,8227,-0.068,0.028,-0.161,3.528,3.526,3.863,2.198,0.0,,,,,3.6636,0.1098,1,1,1
