6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g0000144-765225,1,0.650,0.088,-0.646,0.158,0.500,0.111,-0.175,0.063,5,0.0598333,-76.8736389
g0000222-013746,1,0.500,0.058,0.435,0.066,-0.090,0.040,0.350,0.047,7,0.0922917,-1.6294722
g0000235-065610,1,0.475,0.075,0.237,0.088,0.120,0.038,0.350,0.067,5,0.0978333,-6.9361944
g0000251-260240,1,0.775,0.108,0.027,0.125,0.210,0.064,0.225,0.072,6,0.1045417,-26.0445000
g0000356-014547,1,0.375,0.046,-0.070,0.073,0.180,0.046,0.100,0.045,5,0.1485000,-1.7631667
g0000358-403432,1,0.500,0.107,0.005,0.151,0.180,0.070,0.175,0.099,8,0.1489583,-40.5756111
g0000428-721715,1,1.175,0.021,-0.185,0.057,0.090,0.048,-0.100,0.030,4,0.1783333,-72.2874167
g0000459-815803,1,0.250,0.042,-0.170,0.131,0.180,0.082,0.000,0.067,6,0.1912917,-81.9674167
g0000523-355037,1,0.700,0.083,-0.471,0.113,0.500,0.073,0.000,0.054,8,0.2180417,-35.8436667
g0000532-355911,1,0.700,0.089,-0.295,0.113,0.340,0.077,0.025,0.055,5,0.2216250,-35.9863056
g0001010-434516,1,0.750,0.095,-0.095,0.116,0.180,0.067,0.075,0.062,3,0.2541250,-43.7543056
g0001011-435136,1,1.175,0.024,-0.458,0.068,0.300,0.055,-0.175,0.031,4,0.2544167,-43.8599167
g0001060-535931,1,0.725,0.084,0.199,0.068,0.240,0.028,0.425,0.048,3,0.2749167,-53.9918056
g0001330-072610,1,0.925,0.069,-0.045,0.069,0.180,0.041,0.125,0.039,2,0.3872917,-7.4361389
g0001341-361900,1,-0.125,0.037,0.199,0.112,0.240,0.051,0.425,0.071,6,0.3922500,-36.3167500
g0001361-144455,1,1.000,0.069,-0.051,0.070,0.240,0.035,0.175,0.052,1,0.4002083,-14.7486667
g0002177-434517,1,0.500,0.106,0.309,0.120,0.150,0.036,0.450,0.105,3,0.5738333,-43.7546667
g0002248-544560,1,0.725,0.091,0.243,0.088,0.060,0.039,0.300,0.063,9,0.6032083,-54.7665278
g0002441-435802,1,0.450,0.059,0.062,0.078,0.120,0.043,0.175,0.052,5,0.6837917,-43.9671667
g0002443-534455,1,0.925,0.065,0.096,0.060,0.270,0.034,0.350,0.039,5,0.6845000,-53.7485833
g0002547-354319,1,0.750,0.082,-0.245,0.117,0.340,0.074,0.075,0.060,6,0.7278750,-35.7220556
g0003055-540211,1,0.825,0.058,-0.296,0.062,0.500,0.041,0.175,0.033,6,0.7728750,-54.0364167
g0003112-544458,1,0.900,0.075,0.180,0.057,0.180,0.033,0.350,0.038,7,0.7964583,-54.7494444
g0003213-355622,1,0.375,0.078,-0.233,0.154,0.300,0.101,0.050,0.080,8,0.8388333,-35.9394722
g0003214-500450,1,0.675,0.074,0.071,0.073,0.270,0.038,0.325,0.046,5,0.8389583,-50.0805000
g0003468-551419,1,0.525,0.067,-0.033,0.095,0.300,0.051,0.250,0.055,9,0.9447917,-55.2386111
g0003487-433706,1,0.925,0.073,-0.166,0.081,0.150,0.048,-0.025,0.047,1,0.9529583,-43.6183056
g0003518-120609,1,0.225,0.035,0.104,0.133,0.420,0.053,0.500,0.123,10,0.9659583,-12.1025556
g0003572-614657,1,0.325,0.068,-0.224,0.125,0.530,0.059,0.275,0.084,6,0.9881250,-61.7824722
g0004060-513457,1,1.050,0.061,-0.596,0.089,0.500,0.060,-0.125,0.042,8,1.0251667,-51.5825000
g0004121-143125,1,0.450,0.062,0.075,0.092,0.000,0.061,0.075,0.059,0,1.0502917,-14.5236667
g0004284-525414,1,1.175,0.020,-0.379,0.047,0.270,0.036,-0.125,0.027,7,1.1183333,-52.9038611
g0004422-302901,1,0.525,0.040,0.105,0.054,0.180,0.030,0.275,0.033,2,1.1759583,-30.4836389
g0004582-600135,1,0.750,0.067,0.159,0.061,0.150,0.025,0.300,0.047,2,1.2425833,-60.0262500
g0005037-552033,1,0.925,0.075,-0.537,0.075,0.650,0.043,0.075,0.042,10,1.2654583,-55.3423611
g0005054-533307,1,0.775,0.078,-0.026,0.076,0.240,0.038,0.200,0.049,7,1.2723750,-53.5520000
g0005112-502053,1,0.700,0.059,-0.016,0.093,0.150,0.043,0.125,0.072,7,1.2968333,-50.3480833
g0005132-113009,1,0.825,0.075,-0.574,0.079,0.530,0.049,-0.075,0.040,4,1.3050833,-11.5025833
g0005279-503455,1,0.775,0.064,-0.104,0.061,0.270,0.039,0.150,0.043,7,1.3660417,-50.5819444
g0005596-531636,1,0.275,0.036,0.077,0.079,0.210,0.036,0.275,0.053,4,1.4982500,-53.2766111
g0006036-521308,1,1.150,0.004,-0.252,0.037,0.400,0.029,0.125,0.020,7,1.5148750,-52.2188056
g0006084-503850,1,1.150,0.000,-0.170,0.032,0.340,0.023,0.150,0.015,4,1.5351250,-50.6472500
g0006092-514045,1,0.700,0.044,-0.089,0.059,0.360,0.033,0.250,0.037,5,1.5383333,-51.6791667
g0006153-524641,1,0.750,0.063,0.002,0.069,0.210,0.035,0.200,0.043,4,1.5637083,-52.7780278
g0006163-590842,1,0.900,0.068,-0.116,0.058,0.150,0.036,0.025,0.037,2,1.5680417,-59.1448611
g0006285-034258,1,0.900,0.045,0.099,0.043,0.240,0.023,0.325,0.027,1,1.6185833,-3.7161389
g0006288-534938,1,0.850,0.074,-0.095,0.066,0.180,0.038,0.075,0.038,4,1.6199583,-53.8273056
g0006297-321849,1,0.600,0.066,0.165,0.081,0.090,0.042,0.250,0.055,2,1.6238750,-32.3136389
g0006317-122851,1,0.650,0.099,0.165,0.114,0.090,0.050,0.250,0.077,6,1.6321250,-12.4809444
g0006327-521041,1,0.325,0.050,0.175,0.102,0.000,0.063,0.175,0.058,4,1.6362917,-52.1780833
g0006379-531154,1,0.950,0.062,-0.426,0.081,0.320,0.051,-0.125,0.040,3,1.6580417,-53.1984167
g0006430-604346,1,0.475,0.066,0.015,0.079,0.090,0.039,0.100,0.053,7,1.6791667,-60.7295556
g0006484-510613,1,0.675,0.082,-0.220,0.080,0.340,0.044,0.100,0.055,6,1.7015000,-51.1034722
g0006527-502454,1,1.175,0.005,-0.204,0.038,0.270,0.030,0.050,0.022,5,1.7196250,-50.4151111
g0007303-610926,1,0.600,0.057,-0.101,0.070,0.240,0.040,0.125,0.043,2,1.8762083,-61.1570833
g0007325-533139,1,0.775,0.079,-0.033,0.075,0.380,0.040,0.325,0.048,6,1.8852083,-53.5275556
g0007446-015645,1,0.425,0.081,0.130,0.094,0.180,0.046,0.300,0.066,6,1.9359167,-1.9458611
g0007486-544630,1,0.600,0.053,0.109,0.066,0.150,0.036,0.250,0.040,5,1.9525417,-54.7748611
g0007527-484800,1,0.900,0.065,-0.076,0.064,0.240,0.037,0.150,0.039,4,1.9693750,-48.8000556
g0008249-051305,1,1.150,0.053,-0.791,0.078,0.680,0.054,-0.150,0.040,8,2.1037500,-5.2179167
g0008259-003631,1,0.625,0.118,-0.060,0.126,0.090,0.060,0.025,0.085,6,2.1077917,-0.6086944
g0008343-105658,1,0.800,0.104,-0.032,0.118,0.060,0.074,0.025,0.064,8,2.1428750,-10.9493611
g0008362-584804,1,1.100,0.011,-0.135,0.045,0.090,0.038,-0.050,0.023,7,2.1510000,-58.8011667
g0008466-565900,1,1.175,0.000,-0.104,0.038,0.270,0.027,0.150,0.022,3,2.1943333,-56.9833333
g0008566-534936,1,0.600,0.067,0.174,0.070,0.240,0.034,0.400,0.046,5,2.2356667,-53.8267222
g0009005-042230,1,0.600,0.070,-0.304,0.090,0.270,0.062,-0.050,0.045,6,2.2519167,-4.3751111
g0009021-794959,1,1.175,0.000,-0.077,0.039,0.400,0.031,0.300,0.019,9,2.2586250,-79.8330278
g0009264-350825,1,0.450,0.057,0.302,0.085,0.210,0.036,0.500,0.075,5,2.3597917,-35.1401944
g0010161-004350,1,1.175,0.005,-0.273,0.043,0.210,0.036,-0.075,0.024,5,2.5669583,-0.7305833
g0010163-365148,1,0.450,0.063,-0.057,0.103,0.060,0.063,0.000,0.054,3,2.5679583,-36.8632500
g0010185-570637,1,0.475,0.077,0.287,0.103,0.120,0.045,0.400,0.079,6,2.5770833,-57.1102222
g0010234-070504,1,0.650,0.049,-0.001,0.053,0.240,0.029,0.225,0.035,1,2.5975833,-7.0844444
g0010393-564813,1,1.025,0.041,-0.041,0.055,0.150,0.034,0.100,0.035,6,2.6635417,-56.8034722
g0010418-042755,1,0.975,0.053,-0.051,0.058,0.240,0.031,0.175,0.038,8,2.6743333,-4.4653333
g0010428-201929,1,0.525,0.099,0.192,0.135,0.300,0.052,0.475,0.103,5,2.6783333,-20.3246111
g0010499-510221,1,0.625,0.103,0.023,0.109,-0.210,0.085,-0.175,0.074,9,2.7080833,-51.0390278
g0011126-333443,1,0.625,0.047,0.059,0.053,0.150,0.029,0.200,0.037,1,2.8024583,-33.5785556
g0011269-032826,1,0.900,0.094,-0.095,0.085,0.180,0.045,0.075,0.057,2,2.8619583,-3.4737500
g0011436-183103,1,-0.100,0.047,0.704,0.091,-0.270,0.043,0.450,0.090,7,2.9317083,-18.5175556
g0011596-193123,1,0.700,0.072,-0.070,0.074,0.340,0.046,0.250,0.048,5,2.9983333,-19.5229722
g0012061-002455,1,0.575,0.065,0.146,0.059,0.270,0.027,0.400,0.045,6,3.0252500,-0.4151667
g0012116-105541,1,0.250,0.032,0.359,0.093,0.150,0.029,0.500,0.080,2,3.0484583,-10.9281389
g0012145-271124,2,0.125,0.030,-0.045,0.090,0.180,0.061,0.125,0.044,1,3.0604167,-27.1899167
g0012187-370444,1,0.275,0.064,-0.029,0.165,0.270,0.079,0.225,0.110,5,3.0780000,-37.0787500
g0012337-000255,1,0.800,0.092,-0.070,0.104,0.180,0.055,0.100,0.063,6,3.1404167,-0.0485000
g0012593-064623,1,1.175,0.061,-0.769,0.133,0.710,0.098,-0.100,0.053,7,3.2470833,-6.7731667
g0013036-054331,1,0.825,0.105,-0.045,0.102,0.340,0.047,0.275,0.066,2,3.2651250,-5.7253056
g0013154-492027,1,0.850,0.072,-0.233,0.069,0.300,0.042,0.050,0.040,4,3.3143333,-49.3408056
g0013197-373052,1,1.075,0.016,-0.101,0.044,0.320,0.031,0.200,0.028,4,3.3318750,-37.5145000
g0013208-095522,1,1.150,0.020,-0.414,0.048,0.360,0.040,-0.075,0.024,4,3.3365417,-9.9226944
g0013242-145025,1,0.650,0.087,0.105,0.093,0.180,0.046,0.275,0.063,5,3.3508750,-14.8403333
g0013291-064744,1,0.250,0.023,0.127,0.064,0.210,0.042,0.325,0.046,8,3.3712083,-6.7956389
g0013327-112207,1,0.675,0.065,0.055,0.085,0.180,0.044,0.225,0.057,5,3.3862083,-11.3687222
g0013340-413622,1,0.400,0.070,0.400,0.093,0.000,0.038,0.400,0.074,3,3.3917500,-41.6061389
g0013531-124645,1,0.425,0.079,0.071,0.091,0.270,0.038,0.325,0.068,3,3.4710417,-12.7792500
g0014186-065901,1,0.150,0.052,0.059,0.137,0.150,0.074,0.200,0.083,4,3.5772917,-6.9835556
g0014288-191819,1,0.500,0.053,0.047,0.087,0.030,0.051,0.075,0.050,8,3.6198750,-19.3053333
g0014368-585743,1,0.250,0.033,-0.158,0.088,0.460,0.047,0.275,0.053,8,3.6531667,-58.9618056
g0014428-601942,1,0.275,0.022,0.178,0.061,-0.030,0.039,0.150,0.033,2,3.6785000,-60.3284167
g0014446-072042,1,0.550,0.052,0.325,0.054,0.000,0.030,0.325,0.036,7,3.6857083,-7.3450833
g0015120-432824,1,0.575,0.083,0.243,0.088,0.060,0.041,0.300,0.065,3,3.8000833,-43.4732500
g0015165-571441,1,0.575,0.061,0.102,0.070,0.210,0.029,0.300,0.049,4,3.8185417,-57.2447500
g0015191-614441,1,0.700,0.062,-0.033,0.079,0.300,0.041,0.250,0.050,3,3.8294167,-61.7446111
g0015341-030338,1,0.550,0.069,-0.203,0.088,0.030,0.055,-0.175,0.048,9,3.8920000,-3.0606111
g0015440-330150,1,0.625,0.045,0.297,0.049,0.030,0.029,0.325,0.037,2,3.9332917,-33.0306389
g0015465-591341,1,0.925,0.048,-0.041,0.041,0.150,0.023,0.100,0.028,5,3.9437500,-59.2280833
g0015582-001813,1,1.150,0.010,-0.326,0.049,0.240,0.039,-0.100,0.021,2,3.9926667,-0.3035556
g0016197-112139,1,0.750,0.077,-0.351,0.080,0.240,0.049,-0.125,0.043,3,4.0822500,-11.3608056
g0016243-061919,1,0.650,0.058,0.143,0.076,0.060,0.040,0.200,0.047,3,4.1014167,-6.3219167
g0016425-772508,1,0.625,0.098,0.155,0.117,0.180,0.054,0.325,0.077,2,4.1772500,-77.4189444
g0016457-415843,1,0.850,0.091,-0.088,0.090,0.120,0.052,0.025,0.054,3,4.1902083,-41.9785000
g0016458-082350,1,0.700,0.090,-0.381,0.110,0.590,0.057,0.175,0.068,7,4.1906250,-8.3973056
g0017029-094047,1,0.900,0.073,-0.025,0.067,0.000,0.040,-0.025,0.044,1,4.2620417,-9.6797222
g0017036-433727,1,0.750,0.072,-0.066,0.078,0.150,0.045,0.075,0.049,2,4.2648750,-43.6242222
g0017054-132914,1,0.350,0.041,-0.085,0.074,0.090,0.044,0.000,0.046,1,4.2725833,-13.4871111
g0017063-043637,1,0.925,0.045,0.087,0.041,0.120,0.026,0.200,0.027,3,4.2762500,-4.6103056
g0017075-593940,1,0.950,0.051,-0.183,0.061,0.380,0.037,0.175,0.036,7,4.2811250,-59.6610556
g0017097-034249,1,0.925,0.084,0.274,0.068,0.240,0.028,0.500,0.051,5,4.2905000,-3.7136667
g0017267-093158,1,0.825,0.058,-0.063,0.055,0.120,0.033,0.050,0.035,2,4.3611667,-9.5326944
g0017348-042016,1,1.175,0.004,-0.314,0.036,0.360,0.031,0.025,0.017,3,4.3950417,-4.3378056
g0017537-083912,2,0.725,0.128,0.563,0.082,-0.120,0.036,0.450,0.071,6,4.4739167,-8.6534444
g0017594-091620,1,0.550,0.056,0.122,0.071,0.030,0.033,0.150,0.050,6,4.4973750,-9.2720833
g0018047-335229,1,0.600,0.070,0.259,0.062,0.150,0.031,0.400,0.045,1,4.5195833,-33.8746111
g0018390-151920,1,0.650,0.055,-0.004,0.070,0.270,0.040,0.250,0.045,5,4.6624167,-15.3223056
g0018390-542516,1,0.450,0.040,-0.226,0.070,0.320,0.045,0.075,0.038,6,4.6625833,-54.4211944
g0018452-222133,1,0.700,0.094,-0.379,0.101,0.270,0.064,-0.125,0.054,3,4.6883750,-22.3591111
g0018485-151450,1,0.200,0.037,0.221,0.133,0.270,0.038,0.475,0.132,2,4.7020417,-15.2471944
g0018507-082731,2,0.900,0.065,-0.058,0.068,0.300,0.035,0.225,0.041,1,4.7112083,-8.4586944
g0018525-374024,1,0.725,0.097,-0.004,0.115,0.270,0.057,0.250,0.072,1,4.7186667,-37.6733889
g0018550-031634,1,1.175,0.007,-0.451,0.036,0.320,0.033,-0.150,0.018,3,4.7293333,-3.2760833
g0019143-224644,1,0.450,0.058,-0.501,0.095,0.240,0.059,-0.275,0.054,5,4.8094583,-22.7789722
g0019239-212043,1,1.100,0.041,-0.210,0.078,0.090,0.066,-0.125,0.035,4,4.8494167,-21.3453056
g0019284-522137,1,0.425,0.060,0.205,0.094,0.180,0.047,0.375,0.063,9,4.8682917,-52.3602222
g0019365-614127,1,0.950,0.066,-0.150,0.080,0.000,0.056,-0.150,0.041,7,4.9019167,-61.6909167
g0019426-414840,1,-0.050,0.035,-0.106,0.110,0.590,0.068,0.450,0.055,7,4.9275833,-41.8110000
g0019475-511510,1,0.450,0.036,0.034,0.055,0.150,0.033,0.175,0.031,6,4.9477083,-51.2526667
g0020028-040306,1,0.375,0.091,0.397,0.102,0.030,0.029,0.425,0.090,9,5.0118333,-4.0517222
g0020112-032402,1,0.500,0.057,-0.171,0.068,0.420,0.038,0.225,0.047,4,5.0465833,-3.4005833
g0020128-494032,1,0.900,0.089,0.202,0.073,0.210,0.034,0.400,0.046,7,5.0532917,-49.6756667
g0020265-020643,1,1.175,0.000,-0.499,0.053,0.530,0.042,0.000,0.024,4,5.1104583,-2.1118889
g0020281-495632,1,0.200,0.030,0.300,0.077,0.000,0.032,0.300,0.061,5,5.1168750,-49.9422222
g0020403-735523,1,0.475,0.085,0.062,0.108,0.120,0.040,0.175,0.092,4,5.1680417,-73.9230833
g0020419-042559,1,0.925,0.070,-0.354,0.078,0.270,0.043,-0.100,0.044,3,5.1746667,-4.4330556
g0021347-040719,1,0.925,0.091,0.123,0.059,0.400,0.042,0.500,0.057,8,5.3946250,-4.1219722
g0021438-614240,1,0.700,0.087,-0.276,0.124,0.320,0.076,0.025,0.062,3,5.4323333,-61.7111389
g0021463-114411,1,1.175,0.000,0.175,0.045,0.000,0.040,0.175,0.023,6,5.4427500,-11.7364444
g0021512-013527,1,0.350,0.055,0.012,0.088,0.120,0.050,0.125,0.051,4,5.4632917,-1.5909167
g0022339-082911,1,0.625,0.064,-0.128,0.070,0.030,0.044,-0.100,0.041,4,5.6411667,-8.4863889
g0022354-062027,1,0.775,0.079,-0.170,0.099,0.340,0.058,0.150,0.053,9,5.6475000,-6.3408333
g0022509-424509,1,1.175,0.005,-0.599,0.050,0.530,0.041,-0.100,0.026,8,5.7120417,-42.7524167
g0022530-143204,1,0.700,0.078,-0.148,0.078,0.210,0.041,0.050,0.051,3,5.7206667,-14.5343611
g0022581-423205,1,0.175,0.055,0.253,0.132,-0.030,0.067,0.225,0.082,5,5.7422500,-42.5345833
g0023068-570047,1,1.050,0.025,-0.126,0.041,0.320,0.028,0.175,0.023,5,5.7781250,-57.0130000
g0023281-041454,1,0.950,0.083,-0.526,0.113,0.320,0.079,-0.225,0.053,3,5.8671667,-4.2483611
g0023500-030354,1,0.950,0.057,-0.163,0.056,0.120,0.038,-0.050,0.033,4,5.9582500,-3.0650556
g0023527-124104,1,0.375,0.091,0.130,0.139,0.340,0.048,0.450,0.117,7,5.9696250,-12.6845000
g0024003-080207,1,0.125,0.037,-0.038,0.113,0.120,0.060,0.075,0.066,4,6.0012083,-8.0351944
g0024204-141356,1,0.500,0.071,-0.002,0.085,0.480,0.033,0.450,0.065,4,6.0848750,-14.2322222
g0024246-024009,1,0.175,0.079,0.557,0.180,-0.060,0.062,0.500,0.165,5,6.1025000,-2.6691667
g0024253-141457,1,0.500,0.084,0.171,0.099,0.270,0.030,0.425,0.089,2,6.1052500,-14.2490556
g0024365-112948,1,0.250,0.032,-0.022,0.120,-0.030,0.071,-0.050,0.071,4,6.1520417,-11.4966944
g0024365-135723,1,0.575,0.056,0.209,0.058,0.150,0.033,0.350,0.038,0,6.1522083,-13.9563611
g0024438-050856,1,0.500,0.041,-0.091,0.058,0.150,0.030,0.050,0.040,1,6.1822917,-5.1487500
g0024471-204356,1,0.700,0.125,-0.050,0.129,0.000,0.083,-0.050,0.086,6,6.1963333,-20.7321111
g0024560-204353,1,0.675,0.081,-0.170,0.107,0.340,0.054,0.150,0.064,2,6.2332500,-20.7313056
g0024598-421233,1,0.250,0.040,-0.164,0.122,0.360,0.072,0.175,0.064,4,6.2491250,-42.2092778
g0025175-161010,1,1.025,0.046,0.028,0.065,-0.030,0.046,0.000,0.034,3,6.3229167,-16.1695278
g0025323-621608,1,0.750,0.068,-0.208,0.089,0.300,0.053,0.075,0.050,7,6.3845833,-62.2688889
g0025525-093943,1,1.075,0.015,-0.273,0.032,0.210,0.025,-0.075,0.017,2,6.4686667,-9.6618056
g0025549-032515,1,0.550,0.051,-0.633,0.073,0.300,0.045,-0.350,0.047,7,6.4785833,-3.4208333
g0026546-023003,1,0.625,0.046,0.097,0.049,0.030,0.028,0.125,0.034,3,6.7276667,-2.5008889
g0026582-014710,1,0.925,0.058,-0.050,0.049,0.000,0.050,-0.050,0.051,6,6.7425833,-1.7861667
g0027100-070213,1,0.925,0.102,-0.026,0.113,0.240,0.064,0.200,0.068,9,6.7916667,-7.0369444
g0027160-415617,1,0.375,0.059,0.102,0.086,0.210,0.047,0.300,0.060,6,6.8167083,-41.9379722
g0027301-013049,1,1.175,0.000,-0.220,0.030,0.180,0.026,-0.050,0.014,2,6.8753333,-1.5134722
g0027464-101547,1,0.950,0.055,-0.126,0.074,0.320,0.047,0.175,0.045,3,6.9432917,-10.2629167
g0028156-484003,1,0.950,0.070,-0.063,0.081,0.120,0.046,0.050,0.052,2,7.0648333,-48.6674167
g0028395-113827,1,0.700,0.064,-0.048,0.068,0.210,0.034,0.150,0.044,4,7.1646250,-11.6406944
g0028397-130037,1,0.400,0.057,0.202,0.071,0.210,0.030,0.400,0.057,2,7.1653750,-13.0101667
g0029006-081906,1,1.175,0.000,-0.170,0.039,0.180,0.028,0.000,0.023,4,7.2525833,-8.3184444
g0029417-513114,1,0.375,0.036,-0.008,0.050,0.460,0.025,0.425,0.037,5,7.4235417,-51.5206667
g0029494-011406,1,1.175,0.004,-0.508,0.061,0.460,0.052,-0.075,0.024,3,7.4556250,-1.2348889
g0029574-051738,1,0.600,0.074,-0.078,0.082,0.030,0.042,-0.050,0.054,2,7.4891250,-5.2938333
g0030054-601350,1,0.225,0.033,0.253,0.102,-0.030,0.065,0.225,0.072,6,7.5226667,-60.2304167
g0030294-430525,1,0.425,0.068,0.062,0.112,0.120,0.056,0.175,0.066,4,7.6223750,-43.0903056
g0030494-572826,1,1.175,0.029,-0.188,0.060,0.120,0.043,-0.075,0.033,8,7.7058333,-57.4738611
g0030582-092415,1,0.875,0.093,-1.004,0.113,0.800,0.080,-0.250,0.052,9,7.7424167,-9.4040556
g0031140-365114,1,0.550,0.054,0.112,0.067,0.120,0.038,0.225,0.043,1,7.8083333,-36.8538889
g0032068-130323,1,1.175,0.008,-0.426,0.068,0.240,0.055,-0.200,0.033,5,8.0282917,-13.0562778
g0032235-421024,1,0.275,0.036,0.140,0.074,0.090,0.047,0.225,0.045,4,8.0979167,-42.1734444
g0032292-422726,2,0.575,0.050,-0.054,0.066,0.270,0.033,0.200,0.043,5,8.1217500,-42.4573333
g0032398-025457,1,1.050,0.023,-0.166,0.048,0.150,0.036,-0.025,0.023,4,8.1657917,-2.9157222
g0032406-163759,1,0.550,0.092,-0.263,0.118,0.120,0.070,-0.150,0.062,3,8.1691250,-16.6331111
g0032490-421707,1,0.100,0.055,0.192,0.142,0.300,0.050,0.475,0.136,7,8.2039583,-42.2851389
g0032578-181245,1,0.625,0.096,0.368,0.107,0.060,0.046,0.425,0.076,4,8.2408333,-18.2125278
g0033315-520302,1,0.425,0.075,-0.097,0.129,-0.030,0.070,-0.125,0.072,4,8.3810833,-52.0505000
g0033369-524807,1,0.550,0.071,0.002,0.092,0.210,0.046,0.200,0.056,6,8.4037083,-52.8020278
g0034015-430849,2,0.350,0.056,-0.083,0.090,0.300,0.045,0.200,0.057,2,8.5062500,-43.1468056
g0034162-375314,1,1.125,0.030,-0.398,0.041,0.210,0.037,-0.200,0.025,4,8.5676667,-37.8870833
g0034195-123923,1,0.750,0.067,0.077,0.062,0.210,0.030,0.275,0.040,2,8.5810833,-12.6562500
g0034291-485622,1,0.575,0.110,0.062,0.157,0.120,0.087,0.175,0.094,3,8.6211667,-48.9393889
g0034315-135029,1,0.825,0.095,-0.153,0.110,0.030,0.071,-0.125,0.056,1,8.6312500,-13.8415000
g0034317-161221,1,0.350,0.052,-0.079,0.090,0.270,0.051,0.175,0.052,5,8.6320417,-16.2059167
g0034420-181203,1,0.525,0.069,0.037,0.079,0.120,0.044,0.150,0.063,6,8.6748750,-18.2007500
g0035112-435906,1,0.125,0.041,0.040,0.104,0.090,0.060,0.125,0.059,7,8.7967083,-43.9850000
g0035131-373329,1,0.700,0.059,0.162,0.061,0.120,0.032,0.275,0.040,1,8.8046667,-37.5580000
g0035132-604923,1,0.275,0.044,-0.302,0.118,0.480,0.082,0.150,0.050,8,8.8048333,-60.8229722
g0035176-023908,1,0.875,0.071,-0.048,0.062,0.210,0.032,0.150,0.040,0,8.8232917,-2.6523056
g0035185-440450,1,0.900,0.098,-0.764,0.141,0.440,0.096,-0.350,0.088,4,8.8272083,-44.0805000
g0035339-025055,1,0.300,0.034,0.184,0.068,0.150,0.032,0.325,0.048,4,8.8913750,-2.8487222
g0035407-091010,1,0.800,0.105,-0.126,0.115,0.240,0.057,0.100,0.067,2,8.9196667,-9.1695556
g0035479-454021,1,1.100,0.036,-0.426,0.066,0.320,0.046,-0.125,0.034,3,8.9496667,-45.6725278
g0035508-594138,1,0.725,0.060,-0.083,0.061,0.300,0.033,0.200,0.040,3,8.9618333,-59.6938333
g0035582-422946,2,0.900,0.072,-0.104,0.071,0.270,0.039,0.150,0.042,3,8.9926250,-42.4961667
g0036052-034014,1,0.550,0.077,0.168,0.106,0.060,0.056,0.225,0.076,4,9.0218333,-3.6705556
g0036126-121530,1,1.000,0.040,-0.123,0.049,0.210,0.030,0.075,0.030,2,9.0525000,-12.2584167
g0036293-004343,1,0.250,0.043,0.205,0.104,0.180,0.038,0.375,0.080,5,9.1218750,-0.7286111
g0036504-533612,1,1.175,0.042,-0.533,0.079,0.300,0.063,-0.250,0.038,6,9.2100417,-53.6034444
g0037215-195603,1,0.800,0.058,-0.041,0.049,0.150,0.026,0.100,0.034,2,9.3397083,-19.9342500
g0037253-014112,1,0.975,0.046,-0.214,0.074,0.360,0.050,0.125,0.038,8,9.3555833,-1.6866667
g0037424-141047,1,0.225,0.025,0.274,0.088,0.240,0.031,0.500,0.090,4,9.4264583,-14.1795833
g0037463-175058,1,0.325,0.036,0.152,0.056,0.210,0.021,0.350,0.047,1,9.4427917,-17.8494722
g0038034-144217,1,0.725,0.072,-0.183,0.088,0.300,0.049,0.100,0.049,3,9.5140417,-14.7046111
g0038162-170319,1,1.100,0.014,-0.028,0.052,0.030,0.047,0.000,0.023,3,9.5676250,-17.0551389
g0038378-520446,1,1.075,0.017,-0.407,0.061,0.060,0.052,-0.350,0.031,6,9.6574167,-52.0795278
g0038413-771817,1,0.600,0.087,-0.046,0.085,0.420,0.040,0.350,0.067,4,9.6720833,-77.3046389
g0038478-520159,1,1.175,0.017,-0.213,0.066,0.120,0.051,-0.100,0.038,6,9.6989583,-52.0331667
g0039016-160615,1,0.550,0.053,-0.088,0.064,0.120,0.034,0.025,0.041,3,9.7567500,-16.1042778
g0039068-084759,1,0.350,0.067,0.248,0.108,-0.210,0.052,0.050,0.073,3,9.7782917,-8.7996111
g0039125-004510,1,0.775,0.092,-0.108,0.097,0.380,0.054,0.250,0.058,3,9.8020417,-0.7526667
g0039141-530711,1,0.950,0.072,-0.123,0.081,0.210,0.043,0.075,0.053,6,9.8088750,-53.1196111
g0039338-022130,1,1.100,0.037,-0.388,0.063,0.120,0.060,-0.275,0.038,7,9.8909167,-2.3584444
g0039451-560356,1,1.100,0.013,-0.095,0.050,0.180,0.033,0.075,0.032,4,9.9380000,-56.0655000
g0039496-162134,1,0.825,0.082,0.034,0.069,0.150,0.036,0.175,0.046,2,9.9566250,-16.3593056
g0040042-561050,1,0.975,0.045,-0.158,0.059,0.300,0.038,0.125,0.033,3,10.0176667,-56.1805000
g0040148-152815,1,0.550,0.078,-0.088,0.118,0.120,0.074,0.025,0.061,7,10.0615417,-15.4707222
g0040345-013119,1,0.650,0.082,-0.446,0.123,0.420,0.078,-0.050,0.060,6,10.1437500,-1.5220278
g0040439-850228,1,1.150,0.026,-0.213,0.092,0.120,0.071,-0.100,0.037,8,10.1829167,-85.0411944
g0040598-601545,1,0.850,0.102,-0.270,0.104,0.340,0.062,0.050,0.062,3,10.2492500,-60.2626111
g0041004-555621,1,0.500,0.077,0.265,0.082,0.090,0.037,0.350,0.070,4,10.2515833,-55.9391944
