6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g2102295-131141,1,1.175,0.045,-0.654,0.097,0.270,0.076,-0.400,0.041,5,315.6228333,-13.1946111
g2102299-142556,1,0.525,0.117,0.017,0.126,0.300,0.062,0.300,0.103,9,315.6247500,-14.4320833
g2102420-171633,1,0.325,0.089,0.358,0.131,-0.300,0.059,0.075,0.106,9,315.6751667,-17.2757500
g2102434-482128,2,0.550,0.070,0.099,0.080,0.240,0.034,0.325,0.068,4,315.6807917,-48.3578056
g2103003-305843,1,0.700,0.141,0.099,0.092,0.320,0.040,0.400,0.071,5,315.7510833,-30.9786389
g2103032-375627,1,0.925,0.083,-0.076,0.086,0.320,0.048,0.225,0.052,4,315.7633333,-37.9408611
g2103042-470845,2,1.175,0.007,-0.470,0.047,0.180,0.038,-0.300,0.021,6,315.7676667,-47.1458056
g2103052-164805,1,0.825,0.080,0.009,0.075,0.150,0.044,0.150,0.048,2,315.7717500,-16.8012500
g2103057-143126,1,1.000,0.059,0.125,0.081,0.000,0.052,0.125,0.045,4,315.7736667,-14.5237500
g2103074-140911,1,0.850,0.156,-0.048,0.182,0.210,0.074,0.150,0.140,9,315.7808333,-14.1531667
g2103080-135140,1,1.125,0.018,0.090,0.060,0.090,0.044,0.175,0.034,10,315.7833750,-13.8609722
g2103091-143129,1,0.950,0.080,0.192,0.061,0.300,0.036,0.475,0.043,5,315.7880833,-14.5245833
g2103200-513251,1,0.625,0.103,-0.048,0.122,0.210,0.061,0.150,0.079,3,315.8331667,-51.5474444
g2103242-492957,1,0.825,0.083,-0.053,0.079,0.030,0.049,-0.025,0.045,6,315.8510000,-49.4991111
g2103253-374238,1,0.225,0.064,0.155,0.169,0.180,0.069,0.325,0.127,6,315.8552917,-37.7105833
g2103269-481218,1,0.700,0.072,-0.039,0.067,0.440,0.033,0.375,0.042,7,315.8621250,-48.2049444
g2103281-351218,1,0.525,0.094,0.087,0.105,0.120,0.059,0.200,0.068,5,315.8668750,-35.2050000
g2103285-300005,1,0.850,0.119,-0.007,0.115,0.060,0.076,0.050,0.078,3,315.8685833,-30.0013611
g2103296-671053,1,0.550,0.055,0.090,0.062,0.090,0.032,0.175,0.042,1,315.8734167,-67.1813333
g2103363-514133,1,0.350,0.059,0.100,0.117,0.000,0.063,0.100,0.069,10,315.9014167,-51.6924722
g2103417-513029,1,0.900,0.088,-0.308,0.106,0.300,0.068,-0.025,0.053,7,315.9237500,-51.5080556
g2103418-350359,1,0.300,0.050,-0.016,0.110,0.150,0.068,0.125,0.061,4,315.9242083,-35.0662778
g2103424-464501,1,0.525,0.116,0.334,0.143,0.150,0.059,0.475,0.112,4,315.9266667,-46.7503889
g2103556-323935,1,1.050,0.051,-0.662,0.101,0.650,0.073,-0.050,0.044,10,315.9815833,-32.6597778
g2103585-514937,1,0.350,0.146,0.520,0.209,-0.180,0.077,0.350,0.161,9,315.9937500,-51.8270278
g2104022-490651,1,0.275,0.044,0.059,0.101,0.150,0.053,0.200,0.060,3,316.0090833,-49.1142500
g2104070-273048,1,1.075,0.063,-0.183,0.105,0.300,0.071,0.100,0.053,2,316.0292083,-27.5132222
g2104095-462940,1,1.075,0.046,-0.138,0.074,0.120,0.048,-0.025,0.043,8,316.0395000,-46.4943611
g2104133-600250,1,0.975,0.144,-0.716,0.176,0.680,0.121,-0.075,0.087,5,316.0555000,-60.0472500
g2104187-460256,1,0.600,0.076,-0.872,0.113,0.740,0.077,-0.175,0.052,9,316.0777917,-46.0488611
g2104249-214650,1,0.850,0.121,-0.308,0.151,0.300,0.085,-0.025,0.086,4,316.1035833,-21.7804722
g2104254-375821,1,0.525,0.081,-0.026,0.102,0.240,0.049,0.200,0.065,2,316.1058750,-37.9723889
g2104271-515035,1,0.825,0.112,-0.083,0.103,0.300,0.063,0.200,0.062,6,316.1128333,-51.8431389
g2104304-724545,1,0.750,0.109,0.078,0.112,-0.030,0.059,0.050,0.071,7,316.1268333,-72.7624167
g2104410-481127,2,0.900,0.073,0.080,0.059,0.180,0.027,0.250,0.045,4,316.1709583,-48.1908889
g2104514-514924,1,0.775,0.124,0.030,0.113,0.340,0.057,0.350,0.069,5,316.2140000,-51.8233889
g2104532-485711,1,0.775,0.095,0.134,0.089,0.150,0.040,0.275,0.061,2,316.2216667,-48.9530833
g2104575-135648,1,1.175,0.000,-0.378,0.065,0.560,0.046,0.150,0.031,9,316.2396250,-13.9467500
g2104592-502510,1,0.975,0.078,0.170,0.093,-0.180,0.081,0.000,0.064,9,316.2466250,-50.4195278
g2105045-432511,1,0.900,0.077,0.017,0.064,0.380,0.036,0.375,0.040,8,316.2687917,-43.4196944
g2105146-441445,1,0.825,0.092,0.099,0.064,0.240,0.034,0.325,0.046,8,316.3110000,-44.2457778
g2105165-143832,1,0.550,0.090,-0.010,0.121,0.090,0.061,0.075,0.079,4,316.3188333,-14.6420833
g2105167-683748,1,1.175,0.034,-0.352,0.086,0.480,0.064,0.100,0.037,6,316.3194583,-68.6298611
g2105243-504302,1,1.175,0.000,-0.289,0.057,0.360,0.042,0.050,0.029,7,316.3510417,-50.7171111
g2105279-523307,1,0.375,0.056,0.187,0.082,0.120,0.034,0.300,0.064,3,316.3663333,-52.5519722
g2105310-470245,1,0.925,0.067,-0.133,0.072,0.300,0.038,0.150,0.048,3,316.3790833,-47.0456944
g2105445-514236,1,0.250,0.050,0.199,0.153,0.240,0.053,0.425,0.136,5,316.4352500,-51.7099167
g2105497-610931,1,0.825,0.138,-0.669,0.209,0.360,0.134,-0.330,0.112,8,316.4569167,-61.1585833
g2105590-344157,1,0.875,0.096,0.024,0.094,0.240,0.048,0.250,0.063,7,316.4957917,-34.6990833
g2106007-630057,1,0.300,0.074,0.143,0.159,0.060,0.093,0.200,0.087,3,316.5027083,-63.0157500
g2106046-452559,1,0.900,0.053,0.218,0.040,0.060,0.029,0.275,0.029,4,316.5193333,-45.4329167
g2106055-393751,1,0.375,0.077,0.362,0.124,0.120,0.044,0.475,0.107,2,316.5227083,-39.6309167
g2106086-544459,1,0.950,0.092,0.009,0.100,0.150,0.054,0.150,0.064,5,316.5359583,-54.7496667
g2106089-154754,1,0.975,0.093,-0.558,0.130,0.460,0.086,-0.125,0.057,8,316.5372083,-15.7983056
g2106127-140750,1,1.100,0.031,0.220,0.081,-0.180,0.058,0.050,0.044,5,316.5528333,-14.1306111
g2106245-490245,1,0.800,0.084,-0.073,0.090,0.210,0.046,0.125,0.057,7,316.6020417,-49.0458333
g2106385-545625,1,0.650,0.106,-0.544,0.124,0.710,0.074,0.125,0.076,7,316.6605000,-54.9403056
g2106472-442346,1,0.800,0.092,0.005,0.086,0.180,0.042,0.175,0.059,2,316.6965417,-44.3961944
g2106475-471116,1,1.050,0.026,0.059,0.042,0.150,0.028,0.200,0.029,3,316.6979167,-47.1878333
g2106508-621717,1,0.600,0.089,0.055,0.118,0.180,0.087,0.225,0.073,7,316.7116667,-62.2879167
g2106522-445410,1,0.625,0.062,-0.001,0.081,0.240,0.044,0.225,0.049,3,316.7175833,-44.9027500
g2107057-451229,1,0.925,0.059,-0.414,0.055,0.440,0.035,0.000,0.034,4,316.7736250,-45.2080000
g2107082-370832,1,0.975,0.082,-0.204,0.106,0.270,0.066,0.050,0.068,6,316.7840000,-37.1422500
g2107118-445009,1,0.725,0.103,-0.004,0.113,0.270,0.059,0.250,0.067,4,316.7992083,-44.8357222
g2107267-394112,1,0.350,0.090,0.099,0.156,0.240,0.067,0.325,0.120,5,316.8610833,-39.6865556
g2107308-442108,1,1.050,0.031,-0.066,0.045,0.150,0.031,0.075,0.027,4,316.8783333,-44.3521667
g2107465-581813,1,1.000,0.045,-0.104,0.068,0.270,0.043,0.150,0.043,5,316.9439167,-58.3037222
g2107522-471044,1,1.150,0.000,-0.139,0.029,0.360,0.027,0.200,0.015,5,316.9673750,-47.1790000
g2107545-344617,1,0.275,0.097,0.334,0.168,0.150,0.061,0.475,0.140,9,316.9768750,-34.7713889
g2107549-024330,1,-0.050,0.046,0.397,0.098,0.030,0.073,0.425,0.080,9,316.9788750,-2.7250833
g2108032-551735,1,0.950,0.086,-0.408,0.117,0.300,0.083,-0.125,0.051,4,317.0131250,-55.2930833
g2108075-331434,1,0.650,0.067,0.112,0.070,0.120,0.032,0.225,0.050,4,317.0313750,-33.2427778
g2108193-362321,1,0.650,0.104,-0.121,0.121,0.420,0.057,0.275,0.079,6,317.0805000,-36.3890556
g2108227-153344,1,0.650,0.122,0.134,0.137,0.150,0.084,0.275,0.100,10,317.0943750,-15.5623333
g2108272-271720,1,1.175,0.033,-0.408,0.070,0.300,0.055,-0.125,0.038,3,317.1133333,-27.2888889
g2108429-144715,1,0.400,0.122,0.023,0.157,0.480,0.062,0.475,0.134,9,317.1787500,-14.7875556
g2109027-021719,1,0.350,0.112,0.234,0.194,0.150,0.068,0.375,0.156,5,317.2612500,-2.2886111
g2109098-791036,1,0.375,0.078,0.030,0.128,0.180,0.071,0.200,0.074,2,317.2907500,-79.1766111
g2109194-140500,1,1.175,0.006,-0.248,0.051,0.210,0.038,-0.050,0.027,5,317.3306250,-14.0833333
g2109214-191758,1,1.000,0.057,-0.123,0.090,0.210,0.060,0.075,0.051,4,317.3392500,-19.2995278
g2109222-231458,1,0.600,0.093,0.155,0.108,0.180,0.049,0.325,0.079,2,317.3426667,-23.2495000
