F,Seq,6dFGS,No,2MASX,MJD,z,S/N,R,Vd,e_Vd,elogVd,Cats,Simbad,_RA,_DE
F,02428,g0452205-193149,1,J04522051-1931488,53000.47,0.0397,12.5,15.6,187.5,19.9,0.046,Cats,Simbad,73.0855000,-19.5302778
F,02429,g0452252-033356,1,J04522517-0333559,53355.51,0.0151,22.6,21.6,149.7,11.0,0.032,Cats,Simbad,73.1049167,-3.5655278
F,02430,g0452312-030622,1,J04523116-0306220,53355.51,0.0147,42.8,17.2,257.1,8.9,0.015,Cats,Simbad,73.1298333,-3.1060833
F,02431,g0452457-554133,1,J04524566-5541330,53669.72,0.0550,9.8,12.4,104.5,25.7,0.107,Cats,Simbad,73.1903750,-55.6925556
F,02432,g0452460-190313,1,J04524601-1903126,53354.51,0.0348,12.5,14.2,139.6,21.2,0.066,Cats,Simbad,73.1916667,-19.0535556
F,02433,g0452474-184628,1,J04524741-1846276,53354.51,0.0397,6.3,9.9,212.0,49.3,0.101,Cats,Simbad,73.1975000,-18.7744167
F,02434,g0452496-434652,1,J04524958-4346523,52998.46,0.0217,21.3,20.1,146.9,12.5,0.037,Cats,Simbad,73.2066250,-43.7811944
F,02435,g0452547-152047,1,J04525466-1520472,53021.46,0.0191,14.0,14.9,115.5,22.6,0.085,Cats,Simbad,73.2277500,-15.3464722
F,02436,g0453045-452448,1,J04530446-4524483,53671.64,0.0427,9.3,11.3,220.4,34.0,0.067,Cats,Simbad,73.2687083,-45.4133611
F,02437,g0453123-132941,1,J04531224-1329406,53021.46,0.0484,13.5,13.0,165.5,21.3,0.056,Cats,Simbad,73.3010833,-13.4946389
F,02438,g0453166-184458,1,J04531659-1844582,53381.51,0.0393,10.6,12.7,194.4,22.8,0.051,Cats,Simbad,73.3192083,-18.7495000
F,02439,g0453343-175522,1,J04533427-1755221,53376.52,0.0395,9.5,11.9,140.8,29.2,0.090,Cats,Simbad,73.3927917,-17.9228333
F,02440,g0453372-175531,1,J04533714-1755311,53354.51,0.0391,18.2,17.8,191.2,15.0,0.034,Cats,Simbad,73.4048333,-17.9253333
F,02441,g0453447-035510,1,J04534466-0355103,53355.51,0.0316,11.9,13.8,162.5,23.9,0.064,Cats,Simbad,73.4360833,-3.9195000
F,02442,g0453486-322624,1,J04534855-3226241,53001.47,0.0185,13.8,17.0,121.1,19.5,0.070,Cats,Simbad,73.4523333,-32.4399722
F,02443,g0453553-182044,1,J04535533-1820440,53354.51,0.0384,19.3,20.5,138.4,13.4,0.042,Cats,Simbad,73.4804583,-18.3455000
F,02444,g0453580-185641,1,J04535794-1856409,53354.51,0.0382,14.6,17.5,170.4,16.1,0.041,Cats,Simbad,73.4914583,-18.9447778
F,02445,g0454137-435226,1,J04541372-4352260,52998.46,0.0210,20.9,19.2,137.6,13.6,0.043,Cats,Simbad,73.5571667,-43.8738611
F,02446,g0454225-535357,1,J04542245-5353566,53669.72,0.0532,16.3,16.8,162.8,14.6,0.039,Cats,Simbad,73.5936667,-53.8991389
F,02447,g0454247-175656,1,J04542471-1756558,53354.51,0.0305,12.6,15.3,144.8,20.0,0.060,Cats,Simbad,73.6029583,-17.9489444
F,02448,g0454347-185712,1,J04543469-1857121,53381.51,0.0397,11.0,12.1,129.7,22.7,0.076,Cats,Simbad,73.6445833,-18.9534444
F,02449,g0454360-012213,1,J04543603-0122130,53411.45,0.0288,22.8,19.1,203.2,11.7,0.025,Cats,Simbad,73.6501667,-1.3703333
F,02450,g0454368-175909,1,J04543676-1759091,53376.52,0.0315,10.2,16.3,122.8,28.0,0.099,Cats,Simbad,73.6531667,-17.9858333
F,02451,g0454429-172709,1,J04544289-1727091,53376.52,0.0311,21.6,19.2,175.6,12.1,0.030,Cats,Simbad,73.6786667,-17.4524722
F,02452,g0454434-172718,1,J04544338-1727181,53354.51,0.0308,15.8,17.0,155.6,18.3,0.051,Cats,Simbad,73.6807083,-17.4550000
F,02453,g0454458-530558,1,J04544571-5305574,53669.72,0.0399,19.9,17.9,173.1,13.6,0.034,Cats,Simbad,73.6906250,-53.0993056
F,02454,g0454523-180656,1,J04545226-1806561,53376.52,0.0312,14.7,14.0,219.8,19.7,0.039,Cats,Simbad,73.7177500,-18.1155556
F,02455,g0455081-174737,1,J04550807-1747381,53376.52,0.0315,6.0,9.3,185.6,47.4,0.111,Cats,Simbad,73.7838333,-17.7936667
F,02456,g0455205-200330,1,J04552052-2003299,53381.51,0.0355,8.6,12.8,166.3,26.8,0.070,Cats,Simbad,73.8354583,-20.0582500
F,02457,g0455232-182314,1,J04552318-1823139,53354.51,0.0337,18.2,19.0,174.2,14.0,0.035,Cats,Simbad,73.8466250,-18.3871667
F,02458,g0455261-203320,1,J04552608-2033198,52930.67,0.0349,13.6,17.9,193.9,17.0,0.038,Cats,Simbad,73.8587500,-20.5556111
F,02459,g0455303-314837,1,J04553031-3148366,53001.47,0.0191,17.3,20.7,104.4,13.9,0.058,Cats,Simbad,73.8763750,-31.8101667
F,02460,g0455311-203609,1,J04553106-2036086,53354.51,0.0326,13.2,15.9,139.7,18.7,0.058,Cats,Simbad,73.8794167,-20.6023889
F,02461,g0455342-201844,1,J04553415-2018436,53354.51,0.0342,14.2,18.0,166.1,16.4,0.043,Cats,Simbad,73.8923333,-20.3121944
F,02462,g0455442-424334,1,J04554425-4243336,52998.46,0.0457,15.8,16.9,197.9,18.7,0.041,Cats,Simbad,73.9342917,-42.7260000
F,02463,g0455444-191429,1,J04554439-1914286,53000.47,0.0298,12.1,12.3,158.0,24.0,0.066,Cats,Simbad,73.9349167,-19.2413611
F,02464,g0455501-205202,1,J04555009-2052016,53354.51,0.0327,28.3,21.4,198.2,9.1,0.020,Cats,Simbad,73.9587917,-20.8671111
F,02465,g0456008-540929,1,J04560073-5409288,53669.72,0.0531,12.6,13.6,187.7,23.8,0.055,Cats,Simbad,74.0031250,-54.1580000
F,02466,g0456101-191734,1,J04561010-1917336,52930.67,0.0360,15.6,19.8,163.3,15.8,0.042,Cats,Simbad,74.0420833,-19.2927500
F,02467,g0456111-405603,1,J04561105-4056036,52992.57,0.0467,9.4,12.0,202.1,28.9,0.062,Cats,Simbad,74.0461250,-40.9342778
p,02468,g0456163-202352,1,J04561624-2023516,53000.47,0.0346,17.4,16.1,200.4,16.6,0.036,Cats,Simbad,74.0677500,-20.3977222
F,02469,g0456184-122113,1,J04561838-1221126,53021.46,0.0473,8.9,10.6,159.3,31.5,0.086,Cats,Simbad,74.0766250,-12.3534722
F,02470,g0456184-175952,1,J04561843-1759516,53354.51,0.0318,9.5,13.0,175.8,27.1,0.067,Cats,Simbad,74.0767917,-17.9977500
F,02471,g0456185-195840,1,J04561844-1958396,52930.67,0.0376,11.0,15.8,113.3,24.8,0.095,Cats,Simbad,74.0769167,-19.9777222
F,02472,g0456232-202442,1,J04562321-2024416,52930.67,0.0354,13.2,15.8,182.0,17.6,0.042,Cats,Simbad,74.0967500,-20.4116111
p,02473,g0456243-630639,1,J04562425-6306388,53708.59,0.0166,23.2,11.2,114.1,17.6,0.067,Cats,Simbad,74.1010417,-63.1107778
F,02474,g0456318-152616,1,J04563180-1526156,53376.52,0.0210,19.9,18.6,100.7,15.3,0.066,Cats,Simbad,74.1324583,-15.4376944
F,02475,g0456328-200919,1,J04563276-2009183,53354.51,0.0360,16.1,14.1,115.7,17.8,0.067,Cats,Simbad,74.1365000,-20.1551944
F,02476,g0456370-222552,2,J04563699-2225513,52960.63,0.0341,17.0,20.1,143.3,15.8,0.048,Cats,Simbad,74.1541667,-22.4309722
F,02476,g0456370-222552,2,J04563699-2225513,53000.47,0.0341,11.5,14.1,140.0,21.6,0.067,Cats,Simbad,74.1541667,-22.4309722
F,02477,g0456479-254518,1,J04564787-2545181,52674.46,0.0474,6.2,8.2,136.8,45.0,0.143,Cats,Simbad,74.1995000,-25.7550000
F,02478,g0456536-181444,1,J04565365-1814433,53376.52,0.0317,17.6,13.5,235.4,17.9,0.033,Cats,Simbad,74.2235000,-18.2454444
F,02479,g0456563-045157,1,J04565634-0451566,53357.54,0.0130,62.0,23.1,234.2,5.4,0.010,Cats,Simbad,74.2347083,-4.8657500
F,02480,g0457045-181709,1,J04570447-1817091,53354.51,0.0318,20.8,18.4,221.3,13.2,0.026,Cats,Simbad,74.2686667,-18.2858333
F,02481,g0457072-543257,1,J04570721-5432570,53669.72,0.0396,16.6,16.1,186.4,16.3,0.038,Cats,Simbad,74.2801667,-54.5492778
F,02482,g0457115-423705,1,J04571145-4237053,52992.57,0.0458,17.6,17.6,149.2,15.1,0.044,Cats,Simbad,74.2977083,-42.6181389
F,02483,g0457171-151720,1,J04571707-1517204,53376.52,0.0167,43.5,22.0,219.5,6.6,0.013,Cats,Simbad,74.3211250,-15.2890000
F,02484,g0457209-111448,1,J04572091-1114473,53021.46,0.0456,13.1,15.3,198.2,18.3,0.040,Cats,Simbad,74.3372083,-11.2465556
F,02485,g0457214-524659,1,J04572142-5246592,53669.72,0.0427,6.9,8.9,135.0,36.1,0.116,Cats,Simbad,74.3392917,-52.7830833
F,02486,g0457230-221302,1,J04572303-2213021,53381.51,0.0345,14.2,18.3,186.1,18.0,0.042,Cats,Simbad,74.3459167,-22.2172222
F,02487,g0457305-200225,1,J04573050-2002251,52930.67,0.0383,15.9,17.1,147.2,15.6,0.046,Cats,Simbad,74.3771250,-20.0402500
F,02488,g0457327-010722,1,J04573273-0107223,53411.45,0.0145,21.8,18.1,145.3,11.7,0.035,Cats,Simbad,74.3863333,-1.1228056
F,02489,g0457445-151358,1,J04574454-1513582,53021.46,0.0176,19.8,20.2,102.5,13.9,0.059,Cats,Simbad,74.4355417,-15.2327778
F,02490,g0457465-383049,1,J04574651-3830494,52650.48,0.0541,7.5,8.3,143.0,31.9,0.097,Cats,Simbad,74.4435833,-38.5136111
F,02491,g0457499-381960,1,J04574991-3819595,52650.48,0.0542,9.7,12.1,181.8,21.8,0.052,Cats,Simbad,74.4579167,-38.3331944
F,02492,g0458126-050933,1,J04581249-0509328,53357.54,0.0324,20.3,18.2,136.6,14.8,0.047,Cats,Simbad,74.5522917,-5.1591667
F,02493,g0458290-422456,1,J04582901-4224552,52992.57,0.0458,7.9,10.1,189.5,30.1,0.069,Cats,Simbad,74.6209167,-42.4154167
F,02494,g0458333-003312,1,J04583327-0033118,53411.45,0.0138,21.1,14.5,183.7,12.7,0.030,Cats,Simbad,74.6386667,-0.5532222
F,02495,g0458334-462443,1,J04583342-4624432,53671.64,0.0448,16.0,15.9,206.4,18.1,0.038,Cats,Simbad,74.6392083,-46.4120278
F,02496,g0458471-213410,1,J04584706-2134098,53381.51,0.0222,20.7,19.9,162.7,12.4,0.033,Cats,Simbad,74.6960833,-21.5694167
F,02497,g0458473-214344,1,J04584727-2143438,53000.47,0.0351,9.1,12.0,155.1,26.8,0.075,Cats,Simbad,74.6970417,-21.7287778
F,02498,g0458488-214133,1,J04584878-2141328,52930.67,0.0350,16.9,13.0,209.5,15.9,0.033,Cats,Simbad,74.7031667,-21.6924167
F,02499,g0458546-002920,1,J04585460-0029199,53411.45,0.0147,22.1,18.2,214.7,12.9,0.026,Cats,Simbad,74.7275417,-0.4889167
F,02500,g0458547-204752,1,J04585471-2047518,53000.47,0.0405,8.5,9.5,167.6,36.3,0.094,Cats,Simbad,74.7280417,-20.7978056
F,02501,g0458599-455641,1,J04585986-4556412,53671.64,0.0432,13.7,18.0,139.0,17.3,0.054,Cats,Simbad,74.7493750,-45.9448333
F,02502,g0459138-264127,1,J04591381-2641266,52674.46,0.0385,10.4,11.7,189.4,27.0,0.062,Cats,Simbad,74.8076667,-26.6907778
F,02503,g0459187-240814,1,J04591868-2408136,52673.46,0.0474,10.5,13.5,173.5,20.8,0.052,Cats,Simbad,74.8277917,-24.1370833
F,02504,g0459207-003026,1,J04592064-0030254,53411.45,0.0157,6.3,12.4,113.5,37.9,0.145,Cats,Simbad,74.8360833,-0.5070833
F,02505,g0459234-382714,1,J04592337-3827137,52650.48,0.0547,8.9,12.9,143.9,27.2,0.082,Cats,Simbad,74.8473333,-38.4537500
F,02506,g0459292-160135,1,J04592917-1601342,53359.56,0.0286,17.1,15.5,171.8,17.4,0.044,Cats,Simbad,74.8715000,-16.0262500
F,02507,g0459309-760944,1,J04593096-7609438,53735.53,0.0448,8.8,11.1,162.4,31.0,0.083,Cats,Simbad,74.8789167,-76.1622500
p,02508,g0459319-154925,1,J04593187-1549252,53359.56,0.0129,31.2,20.0,194.4,8.1,0.018,Cats,Simbad,74.8828333,-15.8236667
F,02509,g0459333-181217,1,J04593333-1812176,53354.51,0.0425,22.2,15.6,229.5,15.3,0.029,Cats,Simbad,74.8888750,-18.2048056
F,02510,g0459342-105514,1,J04593424-1055144,53382.51,0.0465,7.2,9.5,162.3,34.0,0.091,Cats,Simbad,74.8926667,-10.9206667
F,02511,g0459344-574206,1,J04593440-5742055,53674.70,0.0533,9.8,12.4,143.1,26.4,0.080,Cats,Simbad,74.8932917,-57.7016389
F,02512,g0459346-001538,1,J04593465-0015374,53411.45,0.0139,25.8,19.7,199.1,11.0,0.024,Cats,Simbad,74.8942917,-0.2604167
F,02513,g0459371-234849,1,J04593715-2348483,52673.46,0.0482,11.0,14.4,118.9,20.8,0.076,Cats,Simbad,74.9047500,-23.8134722
F,02514,g0459530-120212,1,J04595300-1202121,53021.46,0.0269,37.2,17.5,265.9,10.4,0.017,Cats,Simbad,74.9709167,-12.0366944
F,02515,g0459567-454936,1,J04595666-4549358,53671.64,0.0426,9.6,10.9,276.0,50.2,0.079,Cats,Simbad,74.9862500,-45.8265833
F,02516,g0459591-172735,1,J04595912-1727351,53376.52,0.0216,18.8,11.5,136.7,15.4,0.049,Cats,Simbad,74.9964167,-17.4598056
F,02517,g0500058-172900,1,J05000576-1729001,53354.51,0.0226,10.0,11.2,142.2,26.2,0.080,Cats,Simbad,75.0239583,-17.4833889
F,02518,g0500096-232054,1,J05000957-2320535,52673.46,0.0403,11.1,12.4,114.9,22.0,0.083,Cats,Simbad,75.0400000,-23.3482778
F,02519,g0500097-222709,1,J05000967-2227095,53381.51,0.0505,10.4,12.6,189.4,20.9,0.048,Cats,Simbad,75.0402917,-22.4525833
F,02520,g0500146-221116,1,J05001459-2211155,53000.47,0.0505,9.5,10.2,147.3,26.1,0.077,Cats,Simbad,75.0608750,-22.1876944
F,02521,g0500178-461246,1,J05001781-4612458,53671.64,0.0482,8.9,12.3,130.0,26.3,0.088,Cats,Simbad,75.0742917,-46.2126667
F,02522,g0500186-181911,1,J05001862-1819105,53376.52,0.0428,10.2,12.8,167.5,24.3,0.063,Cats,Simbad,75.0775833,-18.3195833
F,02523,g0500247-211407,1,J05002474-2114065,53000.47,0.0525,13.7,14.7,234.3,20.0,0.037,Cats,Simbad,75.1030833,-21.2351944
F,02524,g0500254-211431,1,J05002538-2114315,52930.67,0.0508,10.6,13.9,209.8,23.2,0.048,Cats,Simbad,75.1057500,-21.2420556
F,02525,g0500286-025124,1,J05002859-0251238,53357.54,0.0499,9.8,9.7,154.3,32.7,0.092,Cats,Simbad,75.1192083,-2.8566111
F,02526,g0500297-221435,1,J05002971-2214345,52930.67,0.0481,11.7,13.2,207.6,22.9,0.048,Cats,Simbad,75.1239167,-22.2430278
F,02527,g0500330-215606,1,J05003301-2156055,53000.47,0.0344,7.4,8.8,170.2,40.8,0.104,Cats,Simbad,75.1376250,-21.9349444
F,02528,g0500348-203406,1,J05003477-2034061,52930.67,0.0330,18.6,23.7,160.2,12.2,0.033,Cats,Simbad,75.1448750,-20.5683056
F,02529,g0500359-573855,1,J05003588-5738544,53674.70,0.0465,14.4,16.0,194.2,16.5,0.037,Cats,Simbad,75.1495833,-57.6484722
F,02530,g0500409-774551,1,J05004083-7745502,53740.48,0.0433,9.5,13.0,112.3,28.4,0.110,Cats,Simbad,75.1703750,-77.7640278
F,02531,g0500410-235053,1,J05004103-2350531,52673.46,0.0481,10.4,10.4,171.0,27.6,0.070,Cats,Simbad,75.1709167,-23.8480556
F,02532,g0500474-455225,1,J05004738-4552252,53671.64,0.0492,7.6,8.4,211.2,38.4,0.079,Cats,Simbad,75.1975000,-45.8736111
F,02533,g0500539-202405,1,J05005386-2024042,53354.51,0.0537,11.7,13.3,177.9,21.7,0.053,Cats,Simbad,75.2244167,-20.4012500
F,02534,g0500553-132520,1,J05005530-1325199,53021.46,0.0253,31.7,19.3,176.6,9.4,0.023,Cats,Simbad,75.2304583,-13.4222500
F,02535,g0500584-082405,1,J05005843-0824049,53382.51,0.0482,13.3,13.6,243.1,25.2,0.045,Cats,Simbad,75.2433750,-8.4013611
F,02536,g0500591-222801,1,J05005905-2228012,52995.54,0.0477,13.7,13.8,129.1,27.6,0.093,Cats,Simbad,75.2461250,-22.4670000
F,02537,g0501024-181716,1,J05010242-1817152,53381.51,0.0427,21.7,15.6,163.0,12.8,0.034,Cats,Simbad,75.2601250,-18.2876389
F,02538,g0501076-215136,1,J05010762-2151354,52930.67,0.0527,9.7,13.1,194.1,23.2,0.052,Cats,Simbad,75.2817917,-21.8598611
F,02539,g0501079-234428,1,J05010793-2344274,52673.46,0.0475,22.4,20.6,218.2,12.1,0.024,Cats,Simbad,75.2830000,-23.7409722
F,02540,g0501097-224858,1,J05010972-2248574,52995.54,0.0386,23.1,17.6,234.1,16.2,0.030,Cats,Simbad,75.2905833,-22.8160278
F,02541,g0501178-441519,1,J05011783-4415191,53671.64,0.0456,6.1,9.8,176.7,40.7,0.100,Cats,Simbad,75.3242917,-44.2553056
F,02542,g0501185-223952,1,J05011848-2239515,52995.54,0.0460,15.7,10.7,103.8,24.6,0.103,Cats,Simbad,75.3270417,-22.6643611
F,02543,g0501200-163904,1,J05011995-1639040,53359.56,0.0221,26.6,24.1,150.0,10.7,0.031,Cats,Simbad,75.3331250,-16.6511944
F,02544,g0501294-191740,1,J05012942-1917405,52930.67,0.0427,14.6,15.4,149.5,15.8,0.046,Cats,Simbad,75.3725417,-19.2945278
F,02545,g0501302-230651,1,J05013020-2306505,52995.54,0.0416,20.6,14.6,256.0,20.6,0.035,Cats,Simbad,75.3759167,-23.1141111
F,02546,g0501308-443941,1,J05013082-4439411,53390.47,0.0341,9.1,10.0,121.4,39.1,0.140,Cats,Simbad,75.3784167,-44.6613611
F,02547,g0501353-234447,1,J05013531-2344465,52673.46,0.0369,19.3,15.1,195.5,14.9,0.033,Cats,Simbad,75.3971250,-23.7462778
F,02548,g0501361-225606,1,J05013611-2256062,52673.46,0.0408,10.6,16.9,124.8,23.9,0.083,Cats,Simbad,75.4005417,-22.9350833
F,02549,g0501382-224317,1,J05013823-2243172,52673.46,0.0407,10.7,14.3,163.0,22.9,0.061,Cats,Simbad,75.4092917,-22.7215000
F,02550,g0501398-091553,1,J05013981-0915530,53382.51,0.0127,19.6,15.4,168.8,13.2,0.034,Cats,Simbad,75.4158333,-9.2646667
F,02551,g0501427-150947,1,J05014267-1509473,53021.46,0.0301,10.5,14.1,127.5,33.8,0.115,Cats,Simbad,75.4277500,-15.1631389
F,02552,g0501452-152656,1,J05014521-1526553,53376.52,0.0416,14.3,13.3,272.0,25.1,0.040,Cats,Simbad,75.4384167,-15.4487500
F,02553,g0501454-152550,1,J05014535-1525503,53359.56,0.0409,10.9,10.1,172.4,27.8,0.070,Cats,Simbad,75.4390417,-15.4306667
F,02554,g0501487-121424,1,J05014870-1214243,53021.46,0.0425,11.1,14.4,195.1,21.6,0.048,Cats,Simbad,75.4529583,-12.2400833
F,02555,g0501487-152550,1,J05014867-1525503,53021.46,0.0402,8.6,10.4,123.1,35.7,0.126,Cats,Simbad,75.4527500,-15.4306389
F,02556,g0501499-250410,1,J05014991-2504100,52673.46,0.0382,18.7,18.4,205.6,14.2,0.030,Cats,Simbad,75.4580000,-25.0694167
F,02557,g0501548-031746,1,J05015482-0317464,53357.54,0.0136,28.8,21.5,160.4,8.5,0.023,Cats,Simbad,75.4784583,-3.2962222
F,02558,g0501556-164855,1,J05015559-1648543,53359.56,0.0480,11.1,12.4,154.7,24.2,0.068,Cats,Simbad,75.4816667,-16.8151944
F,02559,g0501560-215441,1,J05015600-2154402,52995.54,0.0482,9.7,11.0,134.6,29.8,0.096,Cats,Simbad,75.4832917,-21.9112500
F,02560,g0501597-445249,1,J05015970-4452491,53390.47,0.0337,13.6,13.2,145.5,20.8,0.062,Cats,Simbad,75.4988333,-44.8802778
F,02561,g0502007-210813,1,J05020071-2108133,53381.51,0.0150,26.3,21.7,140.1,9.7,0.030,Cats,Simbad,75.5029167,-21.1369722
F,02562,g0502026-534848,1,J05020260-5348481,53669.72,0.0520,12.1,10.9,242.5,22.9,0.041,Cats,Simbad,75.5107500,-53.8132778
F,02563,g0502048-172827,1,J05020482-1728273,52930.67,0.0224,17.0,19.2,132.7,16.2,0.053,Cats,Simbad,75.5200417,-17.4742500
F,02564,g0502150-245046,1,J05021498-2450460,52673.46,0.0468,12.7,14.4,126.3,20.9,0.072,Cats,Simbad,75.5624583,-24.8462222
F,02565,g0502177-302717,1,J05021773-3027166,52669.46,0.0214,14.1,19.3,130.3,19.5,0.065,Cats,Simbad,75.5739167,-30.4546667
F,02566,g0502281-122546,1,J05022811-1225453,53021.46,0.0299,12.4,16.6,105.6,21.6,0.089,Cats,Simbad,75.6171667,-12.4293056
F,02567,g0502283-114401,1,J05022827-1144004,53021.46,0.0454,12.4,15.0,130.3,18.3,0.061,Cats,Simbad,75.6178333,-11.7334722
F,02568,g0502294-121814,1,J05022941-1218143,53021.46,0.0423,13.0,13.5,235.3,21.7,0.040,Cats,Simbad,75.6225833,-12.3040000
F,02569,g0502315-223007,1,J05023148-2230063,52930.67,0.0496,6.4,8.3,146.0,49.8,0.148,Cats,Simbad,75.6312083,-22.5018333
F,02570,g0502325-221509,1,J05023248-2215093,52995.54,0.0486,12.0,11.0,152.0,26.9,0.077,Cats,Simbad,75.6353333,-22.2526111
F,02571,g0502369-444514,1,J05023687-4445143,53671.64,0.0335,13.1,8.9,239.0,24.2,0.044,Cats,Simbad,75.6537083,-44.7539167
F,02572,g0502374-205522,1,J05023738-2055221,53381.51,0.0324,9.8,8.3,151.5,39.8,0.114,Cats,Simbad,75.6557917,-20.9228333
F,02573,g0502449-383710,1,J05024491-3837102,52650.48,0.0531,10.2,12.3,144.9,23.4,0.070,Cats,Simbad,75.6870833,-38.6195278
F,02574,g0502451-253213,1,J05024508-2532124,52673.46,0.0233,11.5,12.5,145.3,26.4,0.079,Cats,Simbad,75.6879583,-25.5368056
F,02575,g0502542-202159,1,J05025424-2021591,53381.51,0.0243,30.7,21.6,192.7,8.0,0.018,Cats,Simbad,75.7260000,-20.3663889
F,02576,g0502554-212109,1,J05025543-2121091,52930.67,0.0480,7.4,11.0,132.1,32.9,0.108,Cats,Simbad,75.7310000,-21.3525556
F,02577,g0502595-381204,1,J05025943-3812042,52650.48,0.0544,7.0,8.8,175.9,32.4,0.080,Cats,Simbad,75.7477083,-38.2011389
F,02578,g0503027-240941,1,J05030269-2409414,52995.54,0.0414,11.5,9.1,123.3,38.9,0.137,Cats,Simbad,75.7612917,-24.1615000
F,02579,g0503101-240002,1,J05031013-2400024,52995.54,0.0419,16.1,14.3,184.9,18.3,0.043,Cats,Simbad,75.7922500,-24.0006667
F,02580,g0503102-201621,1,J05031016-2016203,53000.47,0.0317,9.7,10.3,236.1,37.0,0.068,Cats,Simbad,75.7924167,-20.2724444
F,02581,g0503132-224959,1,J05031318-2249593,52995.54,0.0155,59.9,27.7,177.1,4.1,0.010,Cats,Simbad,75.8048750,-22.8331111
F,02582,g0503135-212010,1,J05031348-2120104,52995.54,0.0475,14.6,11.3,262.1,25.3,0.042,Cats,Simbad,75.8061250,-21.3361667
F,02583,g0503224-211332,1,J05032243-2113314,53381.51,0.0465,13.0,18.4,123.4,18.2,0.064,Cats,Simbad,75.8434583,-21.2254722
F,02584,g0503234-201841,1,J05032338-2018414,53354.51,0.0328,14.2,17.7,112.8,16.4,0.063,Cats,Simbad,75.8475417,-20.3114167
F,02585,g0503263-200236,1,J05032630-2002354,52930.67,0.0249,25.1,24.9,181.5,10.0,0.024,Cats,Simbad,75.8596250,-20.0432222
F,02586,g0503506-233060,1,J05035062-2331000,52995.54,0.0421,19.8,13.7,254.8,25.8,0.044,Cats,Simbad,75.9609167,-23.5166389
F,02587,g0503512-162600,1,J05035124-1626001,53358.62,0.0543,11.4,13.4,199.8,24.8,0.054,Cats,Simbad,75.9634583,-16.4334167
F,02588,g0503541-211639,1,J05035404-2116390,52930.67,0.0484,9.2,13.8,160.6,21.4,0.058,Cats,Simbad,75.9752917,-21.2775000
F,02589,g0503578-240032,1,J05035784-2400315,52673.46,0.0399,12.4,11.5,213.5,31.0,0.063,Cats,Simbad,75.9910000,-24.0088056
F,02590,g0504067-572659,1,J05040663-5726589,53674.70,0.0544,19.5,17.9,247.6,15.4,0.027,Cats,Simbad,76.0277083,-57.4498056
F,02591,g0504074-234512,1,J05040736-2345120,52995.54,0.0414,10.3,10.4,219.8,40.0,0.079,Cats,Simbad,76.0307083,-23.7534167
F,02592,g0504100-250801,1,J05041003-2508006,52673.46,0.0391,13.2,13.8,175.8,21.0,0.052,Cats,Simbad,76.0418333,-25.1335000
F,02593,g0504105-373851,1,J05041047-3738512,52650.48,0.0432,6.5,8.6,104.9,33.8,0.140,Cats,Simbad,76.0435833,-37.6476111
F,02594,g0504224-190225,1,J05042238-1902248,52930.67,0.0449,15.1,13.5,248.6,18.3,0.032,Cats,Simbad,76.0932083,-19.0402500
F,02595,g0504229-433753,1,J05042293-4337524,52992.57,0.0458,9.2,11.5,129.7,32.6,0.109,Cats,Simbad,76.0955833,-43.6312778
F,02596,g0504324-250850,1,J05043235-2508499,52674.46,0.0403,19.8,17.5,222.1,14.3,0.028,Cats,Simbad,76.1347917,-25.1472778
F,02597,g0504443-203329,1,J05044427-2033282,53000.47,0.0469,9.3,13.3,142.2,23.9,0.073,Cats,Simbad,76.1844167,-20.5579444
F,02598,g0504446-251040,1,J05044457-2510399,52673.46,0.0407,15.5,15.9,214.5,19.3,0.039,Cats,Simbad,76.1856667,-25.1776944
F,02599,g0504456-205556,1,J05044560-2055562,52930.67,0.0478,11.8,13.0,150.7,20.5,0.059,Cats,Simbad,76.1900833,-20.9322778
F,02600,g0504474-191156,1,J05044734-1911562,53358.62,0.0549,10.7,11.1,143.0,23.4,0.071,Cats,Simbad,76.1973333,-19.1990000
F,02601,g0504503-371311,1,J05045024-3713115,52652.46,0.0426,10.5,13.4,181.2,20.9,0.050,Cats,Simbad,76.2093750,-37.2198056
F,02602,g0504539-380631,1,J05045393-3806306,52650.48,0.0289,13.8,13.9,133.0,21.1,0.069,Cats,Simbad,76.2246667,-38.1085833
F,02603,g0504580-811839,1,J05045805-8118385,53740.48,0.0164,13.8,13.1,160.8,20.0,0.054,Cats,Simbad,76.2417917,-81.3106944
F,02604,g0504600-251233,1,J05045993-2512332,52674.46,0.0445,11.6,10.0,149.6,26.9,0.078,Cats,Simbad,76.2497917,-25.2091944
F,02605,g0505014-745743,1,J05050135-7457431,53735.53,0.0455,13.3,13.5,173.2,19.1,0.048,Cats,Simbad,76.2558333,-74.9620278
F,02606,g0505044-154543,1,J05050437-1545432,53021.46,0.0540,13.4,13.0,265.6,25.1,0.041,Cats,Simbad,76.2682917,-15.7619167
F,02607,g0505179-242124,1,J05051789-2421242,52995.54,0.0357,11.8,13.1,138.6,28.4,0.089,Cats,Simbad,76.3246250,-24.3567222
F,02608,g0505180-090850,1,J05051802-0908500,53382.51,0.0109,42.3,23.7,186.6,6.0,0.014,Cats,Simbad,76.3251250,-9.1472500
F,02609,g0505189-473512,1,J05051892-4735119,53671.64,0.0485,10.3,12.7,172.9,26.7,0.067,Cats,Simbad,76.3288750,-47.5866944
