F,Seq,6dFGS,No,2MASX,MJD,z,S/N,R,Vd,e_Vd,elogVd,Cats,Simbad,_RA,_DE
F,00041,g0004517-542914,1,J00045169-5429144,52969.51,0.0363,27.2,18.5,227.2,11.0,0.021,Cats,Simbad,1.2154583,-54.4873056
F,00042,g0004582-600135,1,J00045819-6001345,52970.44,0.0301,23.1,21.0,152.6,9.8,0.028,Cats,Simbad,1.2425833,-60.0262500
F,00043,g0005037-552033,1,J00050371-5520325,52969.51,0.0380,10.3,12.0,179.3,24.8,0.060,Cats,Simbad,1.2654583,-55.3423611
F,00044,g0005054-533307,1,J00050534-5333071,52969.51,0.0347,13.6,15.3,165.9,17.2,0.045,Cats,Simbad,1.2723750,-53.5520000
F,00045,g0005096-535801,1,J00050967-5358015,52969.51,0.0371,16.9,17.7,186.1,15.0,0.035,Cats,Simbad,1.2901667,-53.9670556
F,00046,g0005112-502053,1,J00051125-5020531,52967.47,0.0357,30.3,24.4,156.2,8.3,0.023,Cats,Simbad,1.2968333,-50.3480833
F,00047,g0005132-113009,1,J00051322-1130093,52582.43,0.0226,17.1,16.6,179.3,16.1,0.039,Cats,Simbad,1.3050833,-11.5025833
F,00048,g0005271-133137,1,J00052708-1331368,53199.76,0.0379,11.6,15.9,155.7,22.2,0.062,Cats,Simbad,1.3629167,-13.5269722
F,00049,g0005279-503455,1,J00052781-5034551,52967.47,0.0354,19.0,16.8,202.3,13.5,0.029,Cats,Simbad,1.3660417,-50.5819444
F,00050,g0005400-534901,1,J00053994-5349010,52969.51,0.0368,15.9,15.1,238.2,18.1,0.033,Cats,Simbad,1.4164583,-53.8169167
F,00051,g0005445-183651,2,J00054453-1836506,52930.47,0.0533,16.8,19.4,132.1,12.2,0.040,Cats,Simbad,1.4355417,-18.6141389
F,00051,g0005445-183651,2,J00054453-1836506,52932.48,0.0533,8.8,12.8,163.6,24.1,0.064,Cats,Simbad,1.4355417,-18.6141389
F,00052,g0005569-135945,1,J00055690-1359448,53289.49,0.0191,13.7,14.4,109.5,23.4,0.093,Cats,Simbad,1.4870417,-13.9957500
F,00053,g0005596-531636,1,J00055956-5316358,52969.51,0.0331,15.3,16.8,122.2,19.4,0.069,Cats,Simbad,1.4982500,-53.2766111
F,00054,g0006036-521308,1,J00060356-5213078,53554.73,0.0337,21.5,12.2,279.1,20.6,0.032,Cats,Simbad,1.5148750,-52.2188056
F,00055,g0006084-503850,1,J00060842-5038498,52967.47,0.0340,25.2,21.4,187.6,9.5,0.022,Cats,Simbad,1.5351250,-50.6472500
p,00056,g0006092-514045,1,J00060920-5140448,52967.47,0.0334,19.6,23.3,111.3,12.6,0.049,Cats,Simbad,1.5383333,-51.6791667
F,00057,g0006153-524641,1,J00061530-5246408,53554.73,0.0363,21.2,17.4,240.2,16.6,0.030,Cats,Simbad,1.5637083,-52.7780278
F,00058,g0006163-590842,1,J00061637-5908413,52970.44,0.0347,16.4,17.2,127.7,16.2,0.055,Cats,Simbad,1.5680417,-59.1448611
F,00059,g0006285-034258,1,J00062844-0342581,52971.44,0.0207,42.6,23.6,217.8,6.5,0.013,Cats,Simbad,1.6185833,-3.7161389
F,00060,g0006288-534938,1,J00062878-5349382,52969.51,0.0367,20.6,20.6,137.4,12.3,0.039,Cats,Simbad,1.6199583,-53.8273056
F,00061,g0006297-321849,1,J00062973-3218489,52876.71,0.0448,14.1,20.4,117.6,16.0,0.059,Cats,Simbad,1.6238750,-32.3136389
F,00062,g0006317-122851,1,J00063171-1228514,53199.76,0.0477,11.1,14.0,139.0,22.1,0.069,Cats,Simbad,1.6321250,-12.4809444
F,00063,g0006327-521041,1,J00063271-5210412,52967.47,0.0351,9.2,15.0,123.0,26.6,0.094,Cats,Simbad,1.6362917,-52.1780833
F,00064,g0006379-531154,1,J00063790-5311542,52967.47,0.0370,11.7,14.5,115.6,23.2,0.087,Cats,Simbad,1.6580417,-53.1984167
F,00065,g0006430-604346,1,J00064296-6043467,52970.44,0.0361,15.0,14.0,156.4,19.1,0.053,Cats,Simbad,1.6791667,-60.7295556
F,00066,g0006484-510613,1,J00064837-5106122,53554.73,0.0343,11.8,13.5,167.8,23.2,0.060,Cats,Simbad,1.7015000,-51.1034722
F,00067,g0006527-502454,1,J00065269-5024542,53554.73,0.0337,17.7,15.4,239.5,15.4,0.028,Cats,Simbad,1.7196250,-50.4151111
F,00068,g0007303-610926,1,J00073031-6109257,52961.44,0.0298,18.4,20.5,115.7,13.1,0.049,Cats,Simbad,1.8762083,-61.1570833
F,00069,g0007325-533139,1,J00073247-5331390,52969.51,0.0366,15.0,17.4,133.2,14.7,0.048,Cats,Simbad,1.8852083,-53.5275556
F,00070,g0007446-015645,1,J00074464-0156451,52962.44,0.0378,14.7,17.5,130.0,17.7,0.059,Cats,Simbad,1.9359167,-1.9458611
F,00071,g0007486-544630,1,J00074860-5446297,52969.51,0.0319,22.6,21.8,124.2,10.9,0.038,Cats,Simbad,1.9525417,-54.7748611
F,00072,g0007527-484800,1,J00075267-4847599,52967.47,0.0359,18.6,21.9,128.8,13.3,0.045,Cats,Simbad,1.9693750,-48.8000556
F,00073,g0008249-051305,1,J00082488-0513044,52971.44,0.0388,9.0,11.0,132.5,31.1,0.102,Cats,Simbad,2.1037500,-5.2179167
F,00074,g0008259-003631,1,J00082585-0036314,52962.44,0.0405,12.2,16.1,127.1,18.4,0.063,Cats,Simbad,2.1077917,-0.6086944
F,00075,g0008343-105658,1,J00083428-1056579,52582.43,0.0304,12.1,14.0,136.5,22.6,0.072,Cats,Simbad,2.1428750,-10.9493611
F,00076,g0008349-115851,1,J00083487-1158504,53199.76,0.0550,8.2,10.6,118.1,34.0,0.125,Cats,Simbad,2.1452500,-11.9807222
F,00077,g0008362-584804,1,J00083620-5848043,52970.44,0.0309,12.9,18.9,143.1,19.8,0.060,Cats,Simbad,2.1510000,-58.8011667
F,00078,g0008435-065949,1,J00084355-0659488,52971.44,0.0281,13.2,14.4,159.5,21.3,0.058,Cats,Simbad,2.1814167,-6.9969722
F,00079,g0008466-565900,1,J00084665-5659002,52969.51,0.0276,21.5,18.1,202.6,12.6,0.027,Cats,Simbad,2.1943333,-56.9833333
F,00080,g0008566-534936,1,J00085654-5349360,52969.51,0.0420,18.0,20.6,149.9,12.4,0.036,Cats,Simbad,2.2356667,-53.8267222
F,00081,g0009005-042230,1,J00090044-0422301,52971.44,0.0304,14.4,16.8,114.9,19.6,0.074,Cats,Simbad,2.2519167,-4.3751111
F,00082,g0009021-794959,1,J00090207-7949591,53646.46,0.0374,20.8,17.8,199.5,11.9,0.026,Cats,Simbad,2.2586250,-79.8330278
F,00083,g0009264-350825,1,J00092634-3508249,52876.71,0.0493,14.2,14.4,212.6,18.1,0.037,Cats,Simbad,2.3597917,-35.1401944
F,00084,g0009517-351849,1,J00095167-3518496,52884.59,0.0522,12.9,13.1,183.8,18.2,0.043,Cats,Simbad,2.4652917,-35.3137222
F,00085,g0010161-004350,1,J00101607-0043501,52962.44,0.0394,15.7,14.2,151.0,16.0,0.046,Cats,Simbad,2.5669583,-0.7305833
F,00086,g0010163-365148,1,J00101628-3651479,52884.59,0.0283,14.8,19.1,103.3,18.8,0.079,Cats,Simbad,2.5679583,-36.8632500
F,00087,g0010185-570637,1,J00101852-5706369,52970.44,0.0310,14.7,17.1,130.2,18.6,0.062,Cats,Simbad,2.5770833,-57.1102222
F,00088,g0010234-070504,1,J00102343-0705039,52966.46,0.0210,30.7,26.0,134.6,7.7,0.025,Cats,Simbad,2.5975833,-7.0844444
F,00089,g0010393-564813,1,J00103924-5648124,52969.51,0.0350,16.7,20.8,143.0,13.8,0.042,Cats,Simbad,2.6635417,-56.8034722
F,00090,g0010418-042755,1,J00104185-0427551,52971.44,0.0384,15.2,18.7,138.8,14.7,0.046,Cats,Simbad,2.6743333,-4.4653333
F,00091,g0010428-201929,1,J00104278-2019288,52878.66,0.0533,14.6,15.6,208.8,17.3,0.036,Cats,Simbad,2.6783333,-20.3246111
F,00092,g0010499-510221,1,J00104990-5102203,52967.47,0.0506,10.0,11.3,102.5,31.6,0.134,Cats,Simbad,2.7080833,-51.0390278
F,00093,g0010516-210452,1,J00105160-2104516,52878.66,0.0276,8.9,11.8,106.5,38.0,0.155,Cats,Simbad,2.7149583,-21.0811111
F,00094,g0011048-413212,1,J00110479-4132122,52881.58,0.0520,7.0,9.3,101.8,44.5,0.190,Cats,Simbad,2.7699167,-41.5366944
F,00095,g0011126-333443,1,J00111259-3334428,52876.71,0.0262,24.9,21.1,123.9,11.4,0.040,Cats,Simbad,2.8024583,-33.5785556
F,00096,g0011229-565726,1,J00112290-5657264,52970.44,0.0326,17.9,17.5,241.0,16.6,0.030,Cats,Simbad,2.8455417,-56.9573333
F,00097,g0011269-032826,1,J00112685-0328255,52584.43,0.0382,10.8,13.9,188.8,23.5,0.054,Cats,Simbad,2.8619583,-3.4737500
F,00098,g0011416-565547,1,J00114159-5655469,52969.51,0.0311,18.4,17.3,239.1,15.4,0.028,Cats,Simbad,2.9233750,-56.9296944
F,00099,g0011436-183103,1,J00114362-1831032,52932.48,0.0533,12.3,9.8,224.9,27.4,0.053,Cats,Simbad,2.9317083,-18.5175556
F,00100,g0011596-193123,1,J00115959-1931227,52878.66,0.0528,16.9,15.8,244.1,16.9,0.030,Cats,Simbad,2.9983333,-19.5229722
F,00101,g0012061-002455,1,J00120604-0024543,52962.44,0.0182,28.7,22.6,136.1,8.5,0.027,Cats,Simbad,3.0252500,-0.4151667
F,00102,g0012109-192939,1,J00121084-1929386,52932.48,0.0534,14.6,15.0,229.4,18.0,0.034,Cats,Simbad,3.0452500,-19.4940556
F,00103,g0012116-105541,1,J00121162-1055413,52582.43,0.0180,19.9,18.8,144.9,14.0,0.042,Cats,Simbad,3.0484583,-10.9281389
F,00104,g0012145-271124,2,J00121449-2711237,52846.78,0.0349,14.2,12.6,108.1,24.6,0.099,Cats,Simbad,3.0604167,-27.1899167
F,00104,g0012145-271124,2,J00121449-2711237,52880.53,0.0349,20.2,14.6,158.1,14.9,0.041,Cats,Simbad,3.0604167,-27.1899167
F,00105,g0012187-370444,1,J00121874-3704432,52884.59,0.0508,12.3,11.1,216.6,23.4,0.047,Cats,Simbad,3.0780000,-37.0787500
F,00106,g0012337-000255,1,J00123369-0002547,52962.44,0.0398,12.6,13.7,119.0,22.7,0.083,Cats,Simbad,3.1404167,-0.0485000
F,00107,g0012507-053459,1,J00125069-0534590,52585.43,0.0406,6.3,10.0,103.9,40.9,0.171,Cats,Simbad,3.2112083,-5.5830833
F,00108,g0012593-064623,1,J00125928-0646232,52585.43,0.0395,9.0,9.2,276.0,34.3,0.054,Cats,Simbad,3.2470833,-6.7731667
F,00109,g0013036-054331,1,J00130363-0543310,52585.43,0.0398,14.1,17.5,223.7,21.1,0.041,Cats,Simbad,3.2651250,-5.7253056
F,00110,g0013154-492027,1,J00131545-4920271,53554.73,0.0333,14.2,17.0,130.7,16.0,0.053,Cats,Simbad,3.3143333,-49.3408056
F,00111,g0013197-373052,1,J00131965-3730520,52884.59,0.0510,17.7,17.6,247.9,16.6,0.029,Cats,Simbad,3.3318750,-37.5145000
F,00112,g0013208-095522,1,J00132078-0955213,52582.43,0.0273,17.1,18.3,149.7,14.1,0.041,Cats,Simbad,3.3365417,-9.9226944
