2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks,d_mpc,M_K,M_pred,residual,mu_fj,d_fj_mpc
J15222476-4349122,12.718,0.652,5.85,12.086,0.578,12.0,0.408,g1522248-434912,1,p,15.37355,-43.82003,11456,0.384,0.31,0.14,3.026,3.268,3.563,2.298,0.0,994.0,2.0,1.0,11650.0,4.1934,0.1006,1,1,1,162.47340802723016,-24.053911451433688,-24.47980641374367,0.42589496230998236,36.479806413743674,197.67934015877648
J15225574-0121234,12.557,0.549,6.0,11.954,0.439,11.584,0.473,g1522558-012123,1,p,15.38216,-1.35647,8474,0.157,0.047,0.081,3.274,3.579,3.595,2.323,0.0,525.0,2.0,2.0,8657.0,3.2438,0.1739,1,1,1,120.18153453410862,-23.81518872493964,-24.561834774663755,0.746646049724113,36.145834774663754,169.49892764512896
J15225701-1639494,13.157,0.375,6.0,12.404,0.382,12.154,0.318,g1522570-163949,1,p,15.38251,-16.66372,15464,0.223,0.23,0.166,3.419,3.549,3.682,2.348,1.0,,,,,7.5015,0.0341,1,1,1,219.31640901999714,-24.55135563171727,-24.643863135583835,0.09250750386656392,36.79786313558384,228.86144048285527
J15231656-0933165,13.275,0.552,6.0,12.858,0.33,12.419,0.351,g1523166-093317,1,p,15.38794,-9.55458,15373,0.398,0.176,0.197,3.02,3.472,3.511,2.229,2.5,,,,,4.2389,0.082,1,0,1,218.02581194156855,-24.273539562522856,-24.25340813760424,-0.020131424918616858,36.672408137604236,216.0138649911605
J15232627-1959114,12.902,0.477,5.22,12.235,0.415,11.57,0.634,g1523263-195912,1,p,15.39063,-19.98653,16302,0.346,0.284,0.503,3.326,3.557,3.286,2.311,2.0,,,,,4.7041,0.0636,0,0,0,231.201248049922,-25.24995087062246,-24.522461161422115,-0.727489709200345,36.092461161422115,165.38352042979415
J15232726-0109557,12.077,0.802,4.58,11.301,0.811,11.086,0.768,g1523273-010956,1,p,15.39091,-1.16553,8443,0.41,0.419,0.376,2.953,3.092,3.201,2.163,1.5,525.0,2.0,2.0,8657.0,3.2035,0.1783,1,1,1,119.74188058431427,-24.305230372980887,-24.03685326477522,-0.26837710820566585,35.12285326477522,105.82070558170189
J15233396-0023456,13.061,0.422,4.78,12.054,0.654,11.995,0.501,g1523340-002345,1,p,15.39277,-0.39594,8862,0.04,0.272,0.119,3.308,3.098,3.366,2.186,2.0,,,,,4.1172,0.1159,1,1,1,125.68430009927668,-23.501405155092755,-24.112319356821697,0.6109142017289422,36.1073193568217,166.5190296077933
J15242325-3235584,13.817,0.159,6.0,13.098,0.13,12.738,0.147,g1524233-323559,1,,15.40646,-32.59958,13715,-0.042,-0.071,-0.054,3.611,3.787,3.803,2.445,1.0,,,,,3.5441,0.1584,0,0,0,194.51141682030917,-23.70672548631753,-24.96213317595376,1.255407689636229,37.70013317595376,346.75811640396716
J15245396-1119071,12.674,0.539,2.55,11.889,0.588,11.596,0.569,g1524540-111907,1,p,15.41499,-11.31869,8356,0.132,0.181,0.162,3.245,3.305,3.398,2.325,2.0,,,,,5.3057,0.0583,1,1,1,118.50801304779463,-23.77273858315614,-24.56839704353736,0.7956584603812189,36.16439704353736,170.95405581256546
J15251238-0148396,12.011,0.815,4.1,11.299,0.667,11.071,0.552,g1525124-014840,1,p,15.42011,-1.81106,8471,0.413,0.265,0.15,2.971,3.392,3.647,2.285,2.0,495.0,1.0,2.0,8464.0,2.1991,0.3616,1,1,1,120.13898737767691,-24.327419835320683,-24.437151666065226,0.1097318307445434,35.508151666065224,126.36602755449661
J15260190-0123273,12.618,0.601,6.0,11.911,0.602,11.762,0.454,g1526019-012327,1,p,15.43386,-1.39094,8560,0.199,0.2,0.052,3.145,3.269,3.561,2.08,0.5,495.0,1.0,2.0,8464.0,2.2112,0.4069,1,1,1,121.40121968515103,-23.659115250000553,-23.764519106520545,0.10540385651999173,35.526519106520546,127.43943028794732
J15265337-2005411,11.765,0.685,6.0,10.93,0.758,10.745,0.672,g1526534-200542,1,p,15.44816,-20.09486,6434,0.168,0.241,0.155,3.298,3.334,3.527,2.314,0.0,,,,,2.4332,0.2338,1,1,1,91.2494681605446,-24.056151709444542,-24.532304564732524,0.4761528552879817,35.277304564732525,113.62160321832192
J15270061-1258519,11.281,0.918,5.09,10.583,0.876,10.303,0.865,g1527006-125852,1,p,15.45017,-12.98117,7514,0.466,0.424,0.413,3.039,3.247,3.322,2.368,0.0,,,,,4.7059,0.0684,1,1,1,106.56644447596085,-24.835102380251616,-24.709485824319902,-0.12561655593171395,35.0124858243199,100.57664971938601
J15284955-2112248,11.506,0.644,4.52,10.807,0.622,10.531,0.605,g1528496-211225,1,p,15.48043,-21.20694,5952,0.094,0.072,0.055,3.488,3.657,3.749,2.398,0.0,,,,,3.3685,0.1209,1,1,1,84.41355836051623,-24.1010610393039,-24.807919857424004,0.7068588181201036,35.338919857424,116.89177985704872
J15285858-1335558,13.168,0.584,4.7,12.35,0.612,12.039,0.628,g1528586-133556,1,p,15.48294,-13.59878,15845,0.442,0.47,0.486,3.002,3.114,3.11,2.38,0.5,,,,,7.4524,0.0341,1,1,1,224.71989788682455,-24.71920764424638,-24.748859437561542,0.029651793315160546,36.78785943756154,227.80952971904696
J15291996-2111260,12.222,0.646,6.0,11.396,0.722,11.322,0.503,g1529200-211126,1,p,15.48888,-21.19053,5861,0.089,0.165,-0.054,3.196,3.22,3.636,2.137,0.0,,,,,6.3267,0.0352,1,1,1,83.12296128208764,-23.276605033522884,-23.951543769418336,0.6749387358954522,35.27354376941834,113.42499110599188
