pair_id,x,y,q,u,P,theta_deg,r_ap,snr_est,sigma_P_est,sigma_theta_deg_est,p_over_sigma
2,223.84807932196625,49.28898186589897,-0.0595428599485989,-0.13443393883747,0.1470300516296416,-56.94464489744692,5,5.915253186627482,0.1690544712880057,32.94163709199787,0.8697199814322409
8,71.2583193012277,127.08976092692734,0.029141755089756,0.0015521652580586,0.0291830619829319,1.5244202576265933,5,35.204826512050786,0.0284051960789437,27.886342705837563,1.027384634199544
9,22.973279398922937,127.49635218138252,-0.0086088124013617,0.094258643687188,0.0946509564701282,47.60922470233055,5,12.688384102559844,0.0788122421198025,23.85576248714357,1.200967691367659
12,19.41210298548798,144.8790053484839,0.0283327015844159,0.314504027872879,0.3157776520391148,42.42614745763004,5,6.83753042934826,0.1462516343192812,13.269176258009503,2.159139304725595
14,94.76147904394826,183.7577088575748,-0.0040717508699185,-0.3109665397498005,0.3109931960656228,-45.37508988740103,5,6.0543947662443065,0.1651692759737775,15.216087736048744,1.8828755785972962
18,112.11800845711086,237.57268811605664,0.1091489961082425,0.0325587427946121,0.1139016026393082,8.304823973750585,5,8.297715486998113,0.1205150985915248,30.31351179123459,0.945123092214093
21,317.4140839855377,278.21132363763263,-0.0417782508620534,0.1067142860795865,0.1146008773900466,55.690080279972754,5,9.2168605708763,0.1084968132381028,27.12399564526914,1.0562603082041504
23,255.435702945476,307.8471452084548,0.3572440353727242,-0.2275184577266935,0.4235421459733629,-16.245944425294766,5,5.7371276692243205,0.1743032502770159,11.790534113104703,2.4299153647464276
25,155.16460100956044,330.6192729387621,-0.0224932330617028,-0.2954973986899187,0.2963522535194846,-47.176477362450974,5,5.064471029055489,0.1974539876450823,19.088961460047305,1.5008674023447377
26,237.74841874376835,331.0613266758326,-0.1193411063653595,0.0102902571196139,0.1197839265515028,87.53591349446076,5,9.784157955142389,0.1022060359802773,24.44570832778573,1.1719848578670784
27,68.99287544430165,342.2500882255918,-0.4717440216737316,0.0291498047776925,0.4726437697711499,88.23204969344035,5,5.2896850907367545,0.18904717064371,11.459373391433404,2.500136702188067
28,66.60786248450141,350.60776859067704,-0.0338642393791139,0.359407489221114,0.360999349053362,47.691327536440966,5,6.8586460257916,0.1458013719092003,11.57123777688897,2.4759667506981966
