pair_id,x_o,y_o,x_e,y_e,dx,dy,sep
0,108.0164200115006,2.602617116408504,138.92601399292764,8.161630640819931,30.90959398142704,5.5590135244114265,31.405503203439675
1,261.1637584952026,6.696580933892444,291.162376722575,12.490138662413145,29.99861822737239,5.7935577285207005,30.55294432137991
2,223.84807932196625,49.28898186589897,254.29556785340992,54.91675701272815,30.447488531443668,5.62777514682918,30.963226753290133
4,278.9169335822873,64.67893641073714,308.88343657977146,70.22924614170911,29.96650299748416,5.550309730971975,30.4761749569717
5,212.7648546675352,72.87135417128842,243.0013694088173,78.46120168520764,30.23651474128212,5.589847513919224,30.748873457878744
6,203.76005558027327,104.02104601508752,234.00195068659764,109.7328945115709,30.241895106324364,5.711848496483384,30.77657279277056
7,204.25911633846127,112.59188219786556,234.5519046407236,118.22830086637914,30.292788302262323,5.636418668513585,30.81269606075472
8,71.2583193012277,127.08976092692734,101.9028057877646,132.92457976885387,30.644486486536906,5.834818841926534,31.195026253261013
9,22.973279398922937,127.49635218138252,53.87436978834416,133.3154309673211,30.901090389421224,5.819078785938586,31.44422149095349
10,177.8648485544969,130.77553320323466,208.07735668337892,136.44325977796177,30.212508128882064,5.667726574727112,30.739531095376726
11,315.70748888238023,142.77466266088055,345.6848894980863,148.25234960706177,29.977400615706078,5.477686946181223,30.473752672667327
12,19.41210298548798,144.8790053484839,50.18690896597071,150.78207330522108,30.77480598048273,5.903067956737175,31.33584041378518
13,353.3999546482896,183.02692894044125,383.37069252142527,188.59747643631985,29.970737873135647,5.5705474958786,30.48403070566697
14,94.76147904394826,183.7577088575748,125.12804488749046,189.7933490751099,30.366565843542205,6.035640217535075,30.960576124576736
15,58.984998043042616,195.36316118407905,89.7723372199033,200.92416624377853,30.78733917686069,5.561005059699482,31.28554028405238
16,38.73740000385283,223.9128987920916,69.25299820621878,229.77285598842536,30.51559820236595,5.859957196333795,31.0731529135861
17,315.403391295236,227.9056068130418,345.3889490521839,233.3693293426144,29.985557756947856,5.463722529572607,30.4792706257124
18,112.11800845711086,237.57268811605664,142.51292014952438,243.2073200700709,30.394911692413515,5.634631954014253,30.912776226777407
19,110.66805392035847,261.99578847525487,141.0162998162433,267.7294893955004,30.34824589588483,5.733700920245553,30.88513162024593
20,198.43530511627725,273.4297647202993,228.6012038780601,279.1013499446946,30.16589876178284,5.671585224395301,30.694434789774363
21,317.4140839855377,278.21132363763263,347.2559696749261,283.91179589164665,29.841885689388448,5.7004722540140165,30.381466808192634
22,132.2178368454926,296.5368821061878,162.6080494414143,302.1261936477401,30.390212595921696,5.589311541552263,30.899925972950925
23,255.435702945476,307.8471452084548,285.4795874467606,313.28171284271707,30.043884501284595,5.434567634262294,30.53145134607754
24,284.945442363332,324.74710493566766,314.8852877228838,330.38034928968045,29.939845359551786,5.633244354012788,30.4651896778256
25,155.16460100956044,330.6192729387621,184.9601283992704,336.2023182562882,29.79552738970992,5.583045317526114,30.31408661742102
26,237.74841874376835,331.0613266758326,267.8236390846352,336.77909006266,30.07522034086685,5.717763386827357,30.6139134495973
27,68.99287544430165,342.2500882255918,99.55506819818515,348.0454758894474,30.562192753883508,5.795387663855593,31.10681828956313
28,66.60786248450141,350.60776859067704,97.1628104847784,356.247521368138,30.554948000276998,5.639752777460956,31.071074308599464
29,153.06759376745896,354.13808656091726,183.29545154306493,359.97032358155406,30.22785777560597,5.832237020636796,30.785359740746063
