pair_id,x,y,q,u,P,theta_deg,r_ap
2,223.84807932196625,49.28898186589897,-0.05954285994859891,-0.13443393883747,0.14703005162964167,-56.94464489744692,5
4,278.9169335822873,64.67893641073714,-0.08347562649976194,-0.026904984482241934,0.08770438078863242,-81.0676888007099,5
5,212.7648546675352,72.87135417128842,-0.004021987135192439,0.04016635427310487,0.04036721932593603,47.85907573081588,5
6,203.76005558027327,104.02104601508752,-0.001203836453889398,0.007020310032168468,0.0071227786119939344,49.86519550653745,5
7,204.25911633846127,112.59188219786556,-0.0032493265372876778,0.04283658990357921,0.04295965034207502,47.16890345755028,5
8,71.2583193012277,127.08976092692734,0.02914175508975603,0.0015521652580586184,0.02918306198293191,1.5244202576265933,5
9,22.973279398922937,127.49635218138252,-0.0086088124013617,0.09425864368718807,0.09465095647012828,47.60922470233055,5
10,177.8648485544969,130.77553320323466,-0.010147542390036382,-0.0007496343850062759,0.010175193770576019,-87.88751759896678,5
11,315.70748888238023,142.77466266088055,-0.016303345210852607,0.021111889837965723,0.026674162734650755,63.83829227503516,5
12,19.41210298548798,144.8790053484839,0.028332701584415945,0.31450402787287907,0.3157776520391148,42.42614745763004,5
13,353.3999546482896,183.02692894044125,0.026085090067581293,-0.008105815229884012,0.02731549311974521,-8.631189383253448,5
14,94.76147904394826,183.7577088575748,-0.004071750869918571,-0.31096653974980054,0.31099319606562287,-45.375089887401025,5
15,58.984998043042616,195.36316118407905,-0.06354531446379828,0.09037877329811414,0.11048225944999007,62.55552610659598,5
16,38.73740000385283,223.9128987920916,-0.028195501012031943,0.02820281522954887,0.039879632197295505,67.49628469589398,5
17,315.403391295236,227.9056068130418,-0.02972610361926204,0.020003700022335782,0.03583000489766503,73.03102837937865,5
18,112.11800845711086,237.57268811605664,0.10914899610824257,0.032558742794612135,0.1139016026393082,8.304823973750585,5
19,110.66805392035847,261.99578847525487,0.013928217207715103,-0.019154840773751194,0.023683394175097714,-26.988833392778425,5
20,198.43530511627725,273.4297647202993,0.004233828846931918,0.021472380825349295,0.021885804646252806,39.422877841864455,5
21,317.4140839855377,278.21132363763263,-0.04177825086205344,0.1067142860795865,0.11460087739004661,55.690080279972754,5
22,132.2178368454926,296.5368821061878,-0.06105754608806704,0.06992437297730146,0.09283017758555241,65.56363408713227,5
23,255.435702945476,307.8471452084548,0.3572440353727242,-0.22751845772669357,0.4235421459733629,-16.245944425294766,5
24,284.945442363332,324.74710493566766,-0.03100461230879829,0.000749178106200191,0.03101366234828928,89.30790309674572,5
25,155.16460100956044,330.6192729387621,-0.022493233061702866,-0.2954973986899187,0.2963522535194846,-47.176477362450974,5
26,237.74841874376835,331.0613266758326,-0.11934110636535959,0.010290257119613908,0.11978392655150288,87.53591349446076,5
27,68.99287544430165,342.2500882255918,-0.4717440216737316,0.029149804777692592,0.4726437697711499,88.23204969344035,5
28,66.60786248450141,350.60776859067704,-0.033864239379113995,0.35940748922111404,0.36099934905336206,47.691327536440966,5
29,153.06759376745896,354.13808656091726,-0.07202782644931557,0.34912413797702485,0.3564767474902303,50.82857102139671,5
