pair_id,x,y,q,u,P,theta_deg,r_ap,snr_est,sigma_P_est,sigma_theta_deg_est,p_over_sigma
4,278.9169335822873,64.67893641073714,-0.0834756264997619,-0.0269049844822419,0.0877043807886324,-81.0676888007099,5,5.363904411747461,0.1864313610454923,60.90070354439638,0.4704379150417246
5,212.7648546675352,72.87135417128842,-0.0040219871351924,0.0401663542731048,0.040367219325936,47.85907573081588,5,15.696077340913316,0.0637101855629498,45.217303714694,0.6336069965775029
6,203.76005558027327,104.02104601508752,-0.0012038364538893,0.0070203100321684,0.0071227786119939,49.86519550653745,5,9.708927446665111,0.1029979887576033,414.2894983337527,0.06915454076250685
7,204.25911633846127,112.59188219786556,-0.0032493265372876,0.0428365899035792,0.042959650342075,47.16890345755028,5,6.335024671806316,0.1578525817666418,105.27265542440745,0.2721504448092179
10,177.8648485544969,130.77553320323466,-0.0101475423900363,-0.0007496343850062,0.010175193770576,-87.88751759896678,5,28.88555069603927,0.0346193849832718,97.47680507460176,0.29391607550199655
11,315.70748888238023,142.77466266088055,-0.0163033452108526,0.0211118898379657,0.0266741627346507,63.83829227503516,5,12.204647023733653,0.0819360033973419,88.00525514843635,0.325548740830042
13,353.3999546482896,183.02692894044125,0.0260850900675812,-0.008105815229884,0.0273154931197452,-8.631189383253448,5,25.306451345346183,0.0395156154592136,41.44616309665333,0.6912581976089713
15,58.984998043042616,195.36316118407905,-0.0635453144637982,0.0903787732981141,0.11048225944999,62.55552610659598,5,5.705872318799022,0.1752580401607165,45.44750329691944,0.6303976659140699
16,38.73740000385283,223.9128987920916,-0.0281955010120319,0.0282028152295488,0.0398796321972955,67.49628469589398,5,15.450604125315293,0.0647223883214724,46.49733017186494,0.6161644097435905
17,315.403391295236,227.9056068130418,-0.029726103619262,0.0200037000223357,0.035830004897665,73.03102837937865,5,9.971845941251086,0.1002823354764482,80.18667370004957,0.35729128891378736
19,110.66805392035847,261.99578847525487,0.0139282172077151,-0.0191548407737511,0.0236833941750977,-26.988833392778425,5,14.934967335867771,0.0669569592963489,80.99839362794732,0.3537107184075656
20,198.43530511627725,273.4297647202993,0.0042338288469319,0.0214723808253492,0.0218858046462528,39.422877841864455,5,7.524871830861892,0.1328926289347125,173.96544840453907,0.164687874878334
22,132.2178368454926,296.5368821061878,-0.061057546088067,0.0699243729773014,0.0928301775855524,65.56363408713227,5,6.151348771545058,0.1625659732749678,50.17242512582136,0.5710307988531974
24,284.945442363332,324.74710493566766,-0.0310046123087982,0.0007491781062001,0.0310136623482892,89.30790309674572,5,8.832031121366034,0.1132242387122988,104.59501372904776,0.2739136310476283
29,153.06759376745896,354.13808656091726,-0.0720278264493155,0.3491241379770248,0.3564767474902303,50.82857102139671,5,3.992499145803844,0.2504696841453328,20.13022308267232,1.423233109853677
